Time,clock.secs,clock.nsecs
17.690452996,17,690452996
17.690452996,17,740452997
17.790452998,17,790452998
17.840452998,17,840452998
17.890452999,17,890452999
17.940453,17,940453000
17.990453001,17,990453001
18.040453001,18,40453001
18.090453002,18,90453002
18.140453003,18,140453003
18.190453004,18,190453004
18.240453004,18,240453004
18.290453005,18,290453005
18.340453006,18,340453006
18.390453007,18,390453007
18.440453007,18,440453007
18.440453007,18,490453008
18.540453009,18,540453009
18.59045301,18,590453010
18.64045301,18,640453010
18.690453011,18,690453011
18.740453012,18,740453012
18.790453013,18,790453013
18.840453013,18,840453013
18.890453014,18,890453014
18.940453015,18,940453015
18.990453016,18,990453016
19.040453016,19,40453016
19.090453017,19,90453017
19.140453018,19,140453018
19.190453018,19,190453018
19.190453018,19,240453019
19.29045302,19,290453020
19.340453021,19,340453021
19.390453021,19,390453021
19.440453022,19,440453022
19.440453022,19,490453023
19.540453024,19,540453024
19.590453024,19,590453024
19.640453025,19,640453025
19.690453026,19,690453026
19.740453027,19,740453027
19.790453027,19,790453027
19.840453028,19,840453028
19.890453029,19,890453029
19.94045303,19,940453030
19.99045303,19,990453030
20.040453031,20,40453031
20.090453032,20,90453032
20.140453033,20,140453033
20.190453033,20,190453033
20.240453034,20,240453034
20.290453035,20,290453035
20.340453036,20,340453036
20.390453036,20,390453036
20.440453037,20,440453037
20.490453038,20,490453038
20.540453039,20,540453039
20.590453039,20,590453039
20.64045304,20,640453040
20.690453041,20,690453041
20.740453042,20,740453042
20.790453042,20,790453042
20.840453043,20,840453043
20.890453044,20,890453044
20.890453044,20,940453045
20.990453045,20,990453045
21.040453046,21,40453046
21.090453047,21,90453047
21.140453048,21,140453048
21.190453048,21,190453048
21.240453049,21,240453049
21.240453049,21,290453050
21.340453051,21,340453051
21.390453051,21,390453051
21.440453052,21,440453052
21.440453052,21,490453053
21.540453054,21,540453054
21.590453054,21,590453054
21.640453055000002,21,640453055
21.690453056,21,690453056
21.690453056,21,740453056
21.790453057,21,790453057
21.790453057,21,840453058
21.890453059,21,890453059
21.940453059,21,940453059
21.99045306,21,990453060
22.040453061,22,40453061
22.090453062,22,90453062
22.140453062,22,140453062
22.190453063,22,190453063
22.240453064,22,240453064
22.290453065,22,290453065
22.340453065,22,340453065
22.390453066,22,390453066
22.440453067,22,440453067
22.490453068,22,490453068
22.540453068,22,540453068
22.590453069,22,590453069
22.64045307,22,640453070
22.690453071,22,690453071
22.740453071,22,740453071
22.790453072,22,790453072
22.840453073,22,840453073
22.840453073,22,890453074
22.940453074,22,940453074
22.990453075,22,990453075
23.040453076,23,40453076
23.090453077,23,90453077
23.140453077,23,140453077
23.190453078,23,190453078
23.240453079,23,240453079
23.29045308,23,290453080
23.34045308,23,340453080
23.390453081,23,390453081
23.440453082,23,440453082
23.490453083,23,490453083
23.540453083,23,540453083
23.590453084,23,590453084
23.640453085,23,640453085
23.690453086,23,690453086
23.740453086,23,740453086
23.790453087,23,790453087
23.840453088,23,840453088
23.890453089,23,890453089
23.940453089000002,23,940453089
23.99045309,23,990453090
24.040453091,24,40453091
24.090453092,24,90453092
24.140453092,24,140453092
24.190453093,24,190453093
24.240453094,24,240453094
24.290453094,24,290453094
24.340453095,24,340453095
24.390453096,24,390453096
24.440453097,24,440453097
24.490453097,24,490453097
24.540453098,24,540453098
24.590453099,24,590453099
