Time,clock.secs,clock.nsecs
19.213839252,19,213839252
19.263839252,19,263839252
19.313839253,19,313839253
19.363839254,19,363839254
19.413839254,19,413839254
19.413839254,19,463839255
19.513839256,19,513839256
19.563839257,19,563839257
19.613839257,19,613839257
19.663839258,19,663839258
19.713839259,19,713839259
19.76383926,19,763839260
19.81383926,19,813839260
19.863839261,19,863839261
19.913839262,19,913839262
19.963839263,19,963839263
20.013839263,20,13839263
20.063839264,20,63839264
20.113839265,20,113839265
20.163839266,20,163839266
20.213839266,20,213839266
20.213839266,20,263839267
20.313839268,20,313839268
20.363839269,20,363839269
20.413839269,20,413839269
20.46383927,20,463839270
20.513839271,20,513839271
20.563839272,20,563839272
20.613839272,20,613839272
20.663839273,20,663839273
20.713839274,20,713839274
20.763839275,20,763839275
20.813839275,20,813839275
20.863839276,20,863839276
20.913839277,20,913839277
20.963839278000002,20,963839278
21.013839278,21,13839278
21.063839279,21,63839279
21.11383928,21,113839280
21.163839281,21,163839281
21.213839281,21,213839281
21.263839282,21,263839282
21.313839283,21,313839283
21.363839284,21,363839284
21.413839284,21,413839284
21.463839285,21,463839285
21.513839286,21,513839286
21.563839287,21,563839287
21.613839287,21,613839287
21.663839288,21,663839288
21.713839289,21,713839289
21.76383929,21,763839290
21.81383929,21,813839290
21.863839291,21,863839291
21.913839292,21,913839292
21.913839292,21,963839292
22.013839293,22,13839293
22.063839294,22,63839294
22.113839295,22,113839295
22.163839295,22,163839295
22.213839296,22,213839296
22.263839297,22,263839297
22.313839298,22,313839298
22.363839298,22,363839298
22.413839299,22,413839299
22.4638393,22,463839300
22.513839301,22,513839301
22.563839301,22,563839301
22.563839301,22,613839302
22.663839303,22,663839303
22.713839304,22,713839304
22.763839304,22,763839304
22.813839305,22,813839305
22.863839306,22,863839306
22.913839307,22,913839307
22.963839307,22,963839307
23.013839308,23,13839308
23.063839309,23,63839309
23.11383931,23,113839310
23.16383931,23,163839310
23.213839311,23,213839311
23.263839312,23,263839312
23.313839313,23,313839313
23.363839313,23,363839313
23.413839314,23,413839314
23.463839315,23,463839315
23.513839316,23,513839316
23.563839316,23,563839316
23.613839317,23,613839317
23.663839318,23,663839318
23.713839319,23,713839319
23.763839319,23,763839319
23.81383932,23,813839320
23.863839321,23,863839321
23.913839322,23,913839322
23.963839322,23,963839322
24.013839323,24,13839323
24.063839324,24,63839324
24.113839325,24,113839325
24.163839325,24,163839325
24.213839326,24,213839326
24.263839327,24,263839327
24.313839328,24,313839328
24.363839328,24,363839328
24.363839328,24,413839329
24.46383933,24,463839330
24.51383933,24,513839330
24.563839331,24,563839331
24.613839332,24,613839332
24.613839332,24,663839333
24.713839333,24,713839333
24.763839334,24,763839334
24.813839335,24,813839335
24.863839336,24,863839336
24.913839336,24,913839336
