Time,clock.secs,clock.nsecs
22.622339308,22,622339308
22.672339309,22,672339309
22.722339309,22,722339309
22.77233931,22,772339310
22.822339311,22,822339311
22.872339311,22,872339311
22.922339312,22,922339312
22.972339313,22,972339313
23.022339314,23,22339314
23.072339314,23,72339314
23.122339315,23,122339315
23.172339316,23,172339316
23.222339317,23,222339317
23.222339317,23,272339317
23.322339318,23,322339318
23.322339318,23,372339319
23.42233932,23,422339320
23.47233932,23,472339320
23.47233932,23,522339321
23.572339322,23,572339322
23.622339323,23,622339323
23.672339323,23,672339323
23.722339324,23,722339324
23.772339325,23,772339325
23.822339326,23,822339326
23.872339326,23,872339326
23.922339327,23,922339327
23.972339328,23,972339328
24.022339329,24,22339329
24.072339329,24,72339329
24.12233933,24,122339330
24.172339331,24,172339331
24.222339332,24,222339332
24.272339332,24,272339332
24.322339333,24,322339333
24.372339334,24,372339334
24.422339335,24,422339335
24.472339335,24,472339335
24.522339336,24,522339336
24.572339337,24,572339337
24.622339338,24,622339338
24.672339338,24,672339338
24.722339339,24,722339339
24.77233934,24,772339340
24.822339341,24,822339341
24.872339341,24,872339341
24.922339342,24,922339342
24.972339343,24,972339343
25.022339344,25,22339344
25.072339344,25,72339344
25.122339345,25,122339345
25.172339346,25,172339346
25.222339347,25,222339347
25.272339347,25,272339347
25.322339348,25,322339348
25.322339348,25,372339349
25.422339349,25,422339349
25.47233935,25,472339350
25.47233935,25,522339351
25.572339352,25,572339352
25.622339352,25,622339352
25.672339353,25,672339353
25.722339354,25,722339354
25.772339355,25,772339355
25.822339355,25,822339355
25.872339356,25,872339356
25.922339357,25,922339357
25.972339358,25,972339358
26.022339358,26,22339358
26.072339359,26,72339359
26.12233936,26,122339360
26.12233936,26,172339361
26.222339361,26,222339361
26.272339362,26,272339362
26.322339363,26,322339363
26.372339364,26,372339364
26.422339364,26,422339364
26.472339365,26,472339365
26.472339365,26,522339366
26.572339367,26,572339367
26.622339367,26,622339367
26.672339368,26,672339368
26.722339369,26,722339369
26.77233937,26,772339370
