Time,clock.secs,clock.nsecs
21.814579793,21,814579793
21.864579793,21,864579793
21.914579794,21,914579794
21.964579795,21,964579795
22.014579796,22,14579796
22.064579796,22,64579796
22.114579797,22,114579797
22.164579798,22,164579798
22.214579799,22,214579799
22.264579799,22,264579799
22.3145798,22,314579800
22.364579801,22,364579801
22.414579802,22,414579802
22.464579802,22,464579802
22.514579803,22,514579803
22.514579803,22,564579804
22.614579805,22,614579805
22.664579805,22,664579805
22.714579806,22,714579806
22.764579807,22,764579807
22.814579808,22,814579808
22.864579808,22,864579808
22.914579809,22,914579809
22.96457981,22,964579810
23.014579811,23,14579811
23.064579811,23,64579811
23.114579812,23,114579812
23.164579813,23,164579813
23.214579814,23,214579814
23.264579814,23,264579814
23.314579815,23,314579815
23.364579816,23,364579816
23.414579817,23,414579817
23.464579817,23,464579817
23.514579818,23,514579818
23.564579819,23,564579819
23.61457982,23,614579820
23.66457982,23,664579820
23.714579821,23,714579821
23.764579822,23,764579822
23.814579823,23,814579823
23.864579823,23,864579823
23.914579824,23,914579824
23.964579825,23,964579825
24.014579826,24,14579826
24.064579826,24,64579826
24.114579827,24,114579827
24.164579828,24,164579828
24.214579829,24,214579829
24.264579829,24,264579829
24.31457983,24,314579830
24.364579831,24,364579831
24.414579831,24,414579831
24.464579832,24,464579832
24.514579833,24,514579833
24.564579834,24,564579834
24.614579834,24,614579834
24.664579835,24,664579835
24.714579836,24,714579836
24.764579837,24,764579837
24.764579837,24,814579837
24.814579837,24,864579838
24.914579839,24,914579839
24.96457984,24,964579840
25.01457984,25,14579840
25.064579841,25,64579841
25.114579842,25,114579842
25.164579843,25,164579843
25.214579843,25,214579843
25.264579844,25,264579844
25.314579845,25,314579845
25.364579846,25,364579846
25.414579846,25,414579846
25.464579847,25,464579847
25.514579848,25,514579848
25.564579849,25,564579849
25.614579849000002,25,614579849
25.66457985,25,664579850
25.714579851,25,714579851
25.764579852,25,764579852
25.814579852,25,814579852
25.864579853,25,864579853
25.914579854,25,914579854
25.964579855,25,964579855
26.014579855,26,14579855
26.064579856,26,64579856
26.114579857,26,114579857
26.164579858,26,164579858
26.214579858,26,214579858
26.264579859,26,264579859
26.31457986,26,314579860
26.364579861,26,364579861
26.414579861,26,414579861
26.464579862,26,464579862
26.514579863,26,514579863
26.514579863,26,564579864
26.614579864,26,614579864
26.614579864,26,664579865
26.714579866,26,714579866
