Time,clock.secs,clock.nsecs
14.755339118,14,755339118
14.805339119,14,805339119
14.85533912,14,855339120
14.90533912,14,905339120
14.955339121,14,955339121
15.005339122,15,5339122
15.055339123,15,55339123
15.055339123,15,105339123
15.155339124,15,155339124
15.205339125,15,205339125
15.255339126,15,255339126
15.305339126,15,305339126
15.355339127,15,355339127
15.405339128,15,405339128
15.455339129,15,455339129
15.505339129,15,505339129
15.55533913,15,555339130
15.605339131000001,15,605339131
15.655339132,15,655339132
15.705339132,15,705339132
15.755339133,15,755339133
15.805339134,15,805339134
15.855339135,15,855339135
15.905339135,15,905339135
15.955339136,15,955339136
16.005339137,16,5339137
16.055339138,16,55339138
16.105339138,16,105339138
16.155339139,16,155339139
16.20533914,16,205339140
16.255339141,16,255339141
16.255339141,16,305339141
16.355339142,16,355339142
16.405339143,16,405339143
16.405339143,16,455339143
16.505339144,16,505339144
16.555339145,16,555339145
16.605339146,16,605339146
16.655339146,16,655339146
16.655339146,16,705339147
16.755339148,16,755339148
16.805339149,16,805339149
16.855339149,16,855339149
16.90533915,16,905339150
16.955339151,16,955339151
17.005339152,17,5339152
17.055339152,17,55339152
17.105339153,17,105339153
17.105339153,17,155339154
17.205339155,17,205339155
17.255339155,17,255339155
17.305339156,17,305339156
17.355339157,17,355339157
17.405339158,17,405339158
17.455339158,17,455339158
17.505339159000002,17,505339159
17.55533916,17,555339160
17.605339161,17,605339161
17.655339161,17,655339161
17.705339162,17,705339162
17.755339163,17,755339163
17.805339164,17,805339164
17.855339164,17,855339164
17.905339165,17,905339165
17.955339166,17,955339166
18.005339167,18,5339167
18.055339167,18,55339167
18.105339168,18,105339168
18.155339169,18,155339169
18.20533917,18,205339170
18.25533917,18,255339170
18.305339171,18,305339171
18.305339171,18,355339172
18.355339172,18,405339173
18.405339173,18,455339173
18.455339173,18,505339174
18.555339175,18,555339175
18.605339176,18,605339176
18.655339176,18,655339176
18.705339177,18,705339177
18.705339177,18,755339178
18.805339179,18,805339179
18.855339179,18,855339179
18.90533918,18,905339180
18.955339181,18,955339181
19.005339181,19,5339181
19.055339182,19,55339182
19.105339183,19,105339183
19.155339184,19,155339184
19.205339184,19,205339184
19.255339185,19,255339185
19.305339186,19,305339186
19.355339187,19,355339187
19.405339187,19,405339187
19.455339188,19,455339188
19.505339189,19,505339189
19.55533919,19,555339190
19.60533919,19,605339190
19.655339191,19,655339191
19.705339192,19,705339192
19.755339193,19,755339193
19.805339193000002,19,805339193
19.855339194,19,855339194
19.905339195,19,905339195
19.955339196,19,955339196
20.005339196,20,5339196
20.055339197,20,55339197
20.105339198,20,105339198
20.155339199,20,155339199
20.205339199,20,205339199
20.2553392,20,255339200
20.305339201,20,305339201
20.355339202,20,355339202
20.405339202,20,405339202
20.455339203,20,455339203
20.505339204,20,505339204
20.555339205,20,555339205
20.605339205,20,605339205
20.605339205,20,655339206
20.705339207,20,705339207
20.755339208,20,755339208
20.805339208,20,805339208
20.855339209,20,855339209
20.90533921,20,905339210
20.955339211000002,20,955339211
21.005339211,21,5339211
21.055339212,21,55339212
21.105339213,21,105339213
21.155339214,21,155339214
21.205339214,21,205339214
21.255339215,21,255339215
21.255339215,21,305339216
21.355339216,21,355339216
21.405339217,21,405339217
21.455339218,21,455339218
21.505339219,21,505339219
21.555339219,21,555339219
21.60533922,21,605339220
21.655339221,21,655339221
21.705339222,21,705339222
21.755339222,21,755339222
21.805339223,21,805339223
21.805339223,21,855339224
21.905339225,21,905339225
21.955339225,21,955339225
22.005339226,22,5339226
22.055339227,22,55339227
22.105339228,22,105339228
22.155339228,22,155339228
22.205339229,22,205339229
22.25533923,22,255339230
22.305339231,22,305339231
22.355339231,22,355339231
22.405339232,22,405339232
22.405339232,22,455339233
22.505339234,22,505339234
22.555339234,22,555339234
22.605339235,22,605339235
22.655339236,22,655339236
22.705339237,22,705339237
22.755339237,22,755339237
22.805339238,22,805339238
22.855339239,22,855339239
22.90533924,22,905339240
22.95533924,22,955339240
23.005339241,23,5339241
23.055339242,23,55339242
23.105339243,23,105339243
23.155339243,23,155339243
23.205339244,23,205339244
23.255339245,23,255339245
23.305339246,23,305339246
23.355339246,23,355339246
23.405339247,23,405339247
23.455339248,23,455339248
23.505339249,23,505339249
23.555339249,23,555339249
23.60533925,23,605339250
23.655339251,23,655339251
23.705339252,23,705339252
23.755339252,23,755339252
23.805339253,23,805339253
23.855339254,23,855339254
23.905339254,23,905339254
23.955339255,23,955339255
23.955339255,24,5339256
24.055339257,24,55339257
24.105339257,24,105339257
24.155339258,24,155339258
24.205339259,24,205339259
24.25533926,24,255339260
24.30533926,24,305339260
24.355339261,24,355339261
24.405339262,24,405339262
24.455339263,24,455339263
24.505339263,24,505339263
24.555339264,24,555339264
24.605339265,24,605339265
24.655339266,24,655339266
24.705339266,24,705339266
24.755339267,24,755339267
24.805339268,24,805339268
24.855339269,24,855339269
24.905339269,24,905339269
24.95533927,24,955339270
25.005339271,25,5339271
25.005339271,25,55339272
25.105339272,25,105339272
25.155339273,25,155339273
25.205339274,25,205339274
25.255339275,25,255339275
25.305339275,25,305339275
25.305339275,25,355339276
25.405339277,25,405339277
25.455339278,25,455339278
25.505339278,25,505339278
25.555339279000002,25,555339279
25.60533928,25,605339280
25.655339281,25,655339281
25.705339281,25,705339281
25.755339282,25,755339282
25.805339283,25,805339283
25.855339284,25,855339284
25.905339284,25,905339284
25.955339285,25,955339285
25.955339285,26,5339286
26.055339287,26,55339287
26.105339287,26,105339287
26.155339288,26,155339288
26.205339289,26,205339289
26.25533929,26,255339290
26.30533929,26,305339290
26.30533929,26,355339291
26.405339292,26,405339292
26.455339292,26,455339292
26.505339293,26,505339293
26.555339294,26,555339294
26.605339295,26,605339295
26.655339295,26,655339295
