Time,clock.secs,clock.nsecs
13.71878425,13,718784250
13.768784251,13,768784251
13.818784251,13,818784251
13.868784252,13,868784252
13.868784252,13,918784253
13.968784254,13,968784254
14.018784254,14,18784254
14.068784255,14,68784255
14.068784255,14,118784256
14.168784257,14,168784257
14.218784257,14,218784257
14.268784258,14,268784258
14.318784259,14,318784259
14.318784259,14,368784260
14.41878426,14,418784260
14.468784261,14,468784261
14.518784262,14,518784262
14.568784262,14,568784262
14.618784263,14,618784263
14.668784264,14,668784264
14.718784265,14,718784265
14.768784265,14,768784265
14.818784266,14,818784266
14.868784267,14,868784267
14.918784268,14,918784268
14.968784268,14,968784268
15.018784269,15,18784269
15.06878427,15,68784270
15.118784271,15,118784271
15.118784271,15,168784271
15.168784271,15,218784272
15.268784273,15,268784273
15.318784274,15,318784274
15.368784274,15,368784274
15.418784275,15,418784275
15.468784276000001,15,468784276
15.518784277,15,518784277
15.568784277,15,568784277
15.618784278,15,618784278
15.668784279,15,668784279
15.71878428,15,718784280
15.76878428,15,768784280
15.818784281,15,818784281
15.868784282,15,868784282
15.918784283,15,918784283
15.968784283,15,968784283
16.018784284,16,18784284
16.068784285,16,68784285
16.118784286,16,118784286
16.168784286,16,168784286
16.218784287,16,218784287
16.268784288,16,268784288
16.318784289,16,318784289
16.368784289,16,368784289
16.41878429,16,418784290
16.468784291,16,468784291
16.518784292,16,518784292
16.568784292,16,568784292
16.618784293,16,618784293
16.668784294,16,668784294
16.718784295,16,718784295
16.768784295,16,768784295
16.768784295,16,818784296
16.868784297,16,868784297
16.918784298,16,918784298
16.968784298,16,968784298
17.018784299,17,18784299
17.0687843,17,68784300
17.1187843,17,118784300
17.168784301,17,168784301
17.218784302,17,218784302
17.268784303,17,268784303
17.318784303,17,318784303
17.368784304,17,368784304
17.418784305,17,418784305
17.468784306,17,468784306
17.518784306,17,518784306
17.568784307,17,568784307
17.618784308,17,618784308
17.668784309,17,668784309
17.718784309,17,718784309
17.76878431,17,768784310
17.76878431,17,818784311
17.868784312,17,868784312
17.918784312,17,918784312
17.918784312,17,968784313
18.018784314,18,18784314
18.068784315,18,68784315
18.118784315,18,118784315
18.168784316,18,168784316
18.218784317,18,218784317
18.268784318,18,268784318
18.318784318,18,318784318
18.368784319,18,368784319
18.41878432,18,418784320
18.468784321,18,468784321
18.518784321,18,518784321
18.568784322,18,568784322
18.618784323,18,618784323
18.668784324,18,668784324
18.718784324,18,718784324
18.768784325,18,768784325
18.818784326,18,818784326
18.818784326,18,868784327
18.918784327,18,918784327
18.968784328,18,968784328
19.018784329,19,18784329
19.06878433,19,68784330
19.11878433,19,118784330
19.168784331,19,168784331
19.218784332,19,218784332
19.268784333,19,268784333
19.318784333,19,318784333
19.318784333,19,368784334
19.368784334,19,418784335
19.468784336,19,468784336
19.518784336,19,518784336
19.568784337,19,568784337
19.618784338,19,618784338
19.668784338000002,19,668784338
19.718784339,19,718784339
19.76878434,19,768784340
19.818784341,19,818784341
19.868784341,19,868784341
19.868784341,19,918784342
19.918784342,19,968784343
20.018784344,20,18784344
20.068784344,20,68784344
20.118784345,20,118784345
20.168784346,20,168784346
20.218784347,20,218784347
20.268784347,20,268784347
20.318784348,20,318784348
20.368784349,20,368784349
20.41878435,20,418784350
20.46878435,20,468784350
20.518784351,20,518784351
20.568784352,20,568784352
20.618784353,20,618784353
20.668784353,20,668784353
20.718784354,20,718784354
20.768784355,20,768784355
20.818784356000002,20,818784356
20.868784356,20,868784356
