Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,other_actor_id,normal_impulse.x,normal_impulse.y,normal_impulse.z
53.341821771,1,53,341821771,ego_vehicle/collision,0,-1460.451171875,496.3024597167969,274.9878845214844
53.341821771,2,53,341821771,ego_vehicle/collision,0,-121.1456527709961,41.168704986572266,22.81047821044922
53.341821771,3,53,341821771,ego_vehicle/collision,0,-57.93919372558594,19.689369201660156,10.909351348876953
53.341821771,4,53,341821771,ego_vehicle/collision,0,-91.2984848022461,31.02579689025879,17.190563201904297
53.341821771,5,53,341821771,ego_vehicle/collision,0,-64.79417419433594,22.01888656616211,12.200074195861816
53.391821771,6,53,391821771,ego_vehicle/collision,0,-151.98451232910156,51.64862060546875,28.617116928100586
53.391821771,7,53,391821771,ego_vehicle/collision,0,-106.38999938964844,36.154319763183594,20.03213882446289
53.391821771,8,53,391821771,ego_vehicle/collision,0,-46.75022506713867,15.887042045593262,8.802584648132324
53.391821771,9,53,391821771,ego_vehicle/collision,0,-90.77751922607422,30.848756790161133,17.092470169067383
53.391821771,10,53,391821771,ego_vehicle/collision,0,-55.56422805786133,18.88228988647461,10.46217155456543
53.441821772,11,53,441821772,ego_vehicle/collision,0,-94.59922790527344,32.14748001098633,17.812057495117188
53.441821772,12,53,441821772,ego_vehicle/collision,0,-52.3748664855957,17.7984561920166,9.86164665222168
53.441821772,13,53,441821772,ego_vehicle/collision,0,-58.219383239746094,19.784587860107422,10.962109565734863
53.441821772,14,53,441821772,ego_vehicle/collision,0,-52.026161193847656,17.679956436157227,9.795989036560059
53.441821772,15,53,441821772,ego_vehicle/collision,0,-57.61005783081055,19.5775203704834,10.847378730773926
53.491821773,16,53,491821773,ego_vehicle/collision,0,-52.26151657104492,17.75993537902832,9.84030532836914
53.491821773,17,53,491821773,ego_vehicle/collision,0,-53.31090545654297,18.116546630859375,10.037893295288086
53.491821773,18,53,491821773,ego_vehicle/collision,0,-54.05560302734375,18.369617462158203,10.178112983703613
53.491821773,19,53,491821773,ego_vehicle/collision,0,-53.96001434326172,18.33713150024414,10.160113334655762
53.491821773,20,53,491821773,ego_vehicle/collision,0,-52.279842376708984,17.766162872314453,9.843754768371582
53.541821774,21,53,541821774,ego_vehicle/collision,0,-53.71101760864258,18.25251579284668,10.11323070526123
53.541821774,22,53,541821774,ego_vehicle/collision,0,-50.954124450683594,17.31564712524414,9.594136238098145
53.541821774,23,53,541821774,ego_vehicle/collision,0,-52.53669738769531,17.853450775146484,9.892118453979492
53.541821774,24,53,541821774,ego_vehicle/collision,0,-50.15637969970703,17.0445499420166,9.443928718566895
53.541821774,25,53,541821774,ego_vehicle/collision,0,-51.85891342163086,17.62312126159668,9.764498710632324
53.591821774,26,53,591821774,ego_vehicle/collision,0,-48.13304901123047,16.356966018676758,9.062956809997559
53.591821774,27,53,591821774,ego_vehicle/collision,0,-49.592933654785156,16.853076934814453,9.337838172912598
53.591821774,28,53,591821774,ego_vehicle/collision,0,-8.97396183013916,3.049605369567871,1.6897045373916626
53.591821774,29,53,591821774,ego_vehicle/collision,0,-21.75941276550293,7.394461631774902,4.097073078155518
53.591821774,30,53,591821774,ego_vehicle/collision,0,-44.496620178222656,15.12120532989502,8.378254890441895
53.641821775,31,53,641821775,ego_vehicle/collision,0,-21.156646728515625,7.189625263214111,3.9835784435272217
53.641821775,32,53,641821775,ego_vehicle/collision,0,-44.35519027709961,15.073143005371094,8.351625442504883
53.641821775,33,53,641821775,ego_vehicle/collision,0,-18.338632583618164,6.2319841384887695,3.452975273132324
53.641821775,34,53,641821775,ego_vehicle/collision,0,-27.9337158203125,9.49266242980957,5.25963020324707
53.641821775,35,53,641821775,ego_vehicle/collision,0,-9.452825546264648,3.212336540222168,1.7798696756362915
53.691821776,36,53,691821776,ego_vehicle/collision,0,-6.655892848968506,2.261859893798828,1.253235936164856
53.691821776,37,53,691821776,ego_vehicle/collision,0,-4.2693772315979,1.450854778289795,0.8038796782493591
53.691821776,38,53,691821776,ego_vehicle/collision,0,-1.0780034065246582,0.3663358986377716,0.20297691226005554
53.741821777,39,53,741821777,ego_vehicle/collision,0,-9.862954139709473,3.3517096042633057,1.8570923805236816
53.741821777,40,53,741821777,ego_vehicle/collision,0,-9.080108642578125,3.085676431655884,1.7096906900405884
53.741821777,41,53,741821777,ego_vehicle/collision,0,-9.228568077087402,3.136127471923828,1.7376443147659302
53.791821777,42,53,791821777,ego_vehicle/collision,0,-1.1344021558761597,0.3855018615722656,0.21359623968601227
53.791821777,43,53,791821777,ego_vehicle/collision,0,-8.558156967163086,2.9083027839660645,1.6114126443862915
53.791821777,44,53,791821777,ego_vehicle/collision,0,-2.2384729385375977,0.7606961727142334,0.42148134112358093
53.791821777,45,53,791821777,ego_vehicle/collision,0,-12.83700942993164,4.362377166748047,2.417076349258423
53.791821777,46,53,791821777,ego_vehicle/collision,0,-4.559798240661621,1.549547791481018,0.8585628867149353
53.841821778,47,53,841821778,ego_vehicle/collision,0,-20.84636116027832,7.084181308746338,3.9251549243927
53.841821778,48,53,841821778,ego_vehicle/collision,0,-11.442353248596191,3.8884341716766357,2.154477119445801
53.841821778,49,53,841821778,ego_vehicle/collision,0,-10.243619918823242,3.4810705184936523,1.9287679195404053
53.841821778,50,53,841821778,ego_vehicle/collision,0,-5.419116497039795,1.8415685892105103,1.020363688468933
53.841821778,51,53,841821778,ego_vehicle/collision,0,-22.024293899536133,7.484475612640381,4.146947383880615
53.891821779,52,53,891821779,ego_vehicle/collision,0,-47.95206832885742,16.29546546936035,9.02888011932373
53.891821779,53,53,891821779,ego_vehicle/collision,0,-8.292969703674316,2.8181848526000977,1.5614806413650513
53.891821779,54,53,891821779,ego_vehicle/collision,0,-4.31764554977417,1.4672576189041138,0.8129681348800659
53.891821779,55,53,891821779,ego_vehicle/collision,0,-20.38081169128418,6.925973892211914,3.837496519088745
53.891821779,56,53,891821779,ego_vehicle/collision,0,-11.21449089050293,3.810999631881714,2.111572742462158
53.94182178,57,53,941821780,ego_vehicle/collision,0,-10.076533317565918,3.424290180206299,1.8973073959350586
53.94182178,58,53,941821780,ego_vehicle/collision,0,-2.4819138050079346,0.8434242010116577,0.46731874346733093
53.94182178,59,53,941821780,ego_vehicle/collision,0,-18.602563858032227,6.3216753005981445,3.5026707649230957
53.94182178,60,53,941821780,ego_vehicle/collision,0,-35.5921516418457,12.095216751098633,6.701635360717773
53.94182178,61,53,941821780,ego_vehicle/collision,0,-41.29545211791992,14.033357620239258,7.77550745010376
53.99182178,62,53,991821780,ego_vehicle/collision,0,-36.08301544189453,12.262025833129883,6.794059753417969
53.99182178,63,53,991821780,ego_vehicle/collision,0,-42.293212890625,14.372424125671387,7.963375091552734
53.99182178,64,53,991821780,ego_vehicle/collision,0,-21.52562713623047,7.315014362335205,4.053053379058838
53.99182178,65,53,991821780,ego_vehicle/collision,0,-9.118142127990723,3.0986015796661377,1.7168521881103516
54.041821781,66,54,41821781,ego_vehicle/collision,0,-7.375417709350586,2.5063748359680176,1.3887150287628174
54.041821781,67,54,41821781,ego_vehicle/collision,0,-0.5679867267608643,0.1930178850889206,0.10694603621959686
54.041821781,68,54,41821781,ego_vehicle/collision,0,-10.905529975891113,3.6610679626464844,2.021030902862549
54.091821782,69,54,91821782,ego_vehicle/collision,0,-5.666722297668457,1.902361273765564,1.0501664876937866
54.091821782,70,54,91821782,ego_vehicle/collision,0,-34.581974029541016,11.609428405761719,6.40878963470459
54.091821782,71,54,91821782,ego_vehicle/collision,0,-17.0482120513916,5.723212718963623,3.1594033241271973
54.091821782,72,54,91821782,ego_vehicle/collision,0,-47.94403076171875,16.095172882080078,8.885068893432617
54.141821783,73,54,141821783,ego_vehicle/collision,0,-10.23967456817627,3.437535524368286,1.897633671760559
54.141821783,74,54,141821783,ego_vehicle/collision,0,-15.676335334777832,5.2626633644104,2.9051647186279297
54.141821783,75,54,141821783,ego_vehicle/collision,0,-20.73225212097168,6.9599738121032715,3.8421361446380615
54.141821783,76,54,141821783,ego_vehicle/collision,0,-33.288509368896484,11.175203323364258,6.1690826416015625
54.141821783,77,54,141821783,ego_vehicle/collision,0,-38.16950988769531,12.813791275024414,7.07363748550415
