Time,clock.secs,clock.nsecs
23.76702318,23,767023180
23.817023181,23,817023181
23.867023182,23,867023182
23.917023182,23,917023182
23.967023183,23,967023183
24.017023184,24,17023184
24.067023185,24,67023185
24.117023185,24,117023185
24.167023186,24,167023186
24.217023187,24,217023187
24.267023188,24,267023188
24.317023188,24,317023188
24.367023189,24,367023189
24.41702319,24,417023190
24.467023191,24,467023191
24.517023191,24,517023191
24.567023192,24,567023192
24.617023193,24,617023193
24.667023194,24,667023194
24.717023194,24,717023194
24.767023195,24,767023195
24.767023195,24,817023196
24.867023197,24,867023197
24.917023197,24,917023197
24.967023198,24,967023198
25.017023199,25,17023199
25.067023199,25,67023199
25.1170232,25,117023200
25.167023201,25,167023201
25.217023202,25,217023202
25.267023202,25,267023202
25.317023203,25,317023203
25.317023203,25,367023204
25.417023205,25,417023205
25.467023205,25,467023205
25.517023206,25,517023206
25.567023207,25,567023207
25.617023208,25,617023208
25.667023208,25,667023208
25.667023208,25,717023209
25.76702321,25,767023210
25.76702321,25,817023211
25.867023211,25,867023211
25.917023212,25,917023212
25.967023213,25,967023213
26.017023214,26,17023214
26.067023214,26,67023214
26.117023215,26,117023215
26.167023216,26,167023216
26.217023217,26,217023217
26.217023217,26,267023217
26.317023218,26,317023218
26.367023219,26,367023219
26.41702322,26,417023220
26.46702322,26,467023220
26.517023221,26,517023221
26.567023222,26,567023222
26.567023222,26,617023223
26.667023223,26,667023223
26.717023224000002,26,717023224
26.767023225,26,767023225
26.767023225,26,817023226
26.867023226,26,867023226
26.917023227,26,917023227
26.967023228,26,967023228
26.967023228,27,17023229
27.067023229,27,67023229
27.11702323,27,117023230
27.167023231,27,167023231
27.217023232,27,217023232
27.267023232,27,267023232
27.317023233,27,317023233
27.367023234,27,367023234
27.417023235,27,417023235
27.467023235,27,467023235
27.517023236,27,517023236
27.567023237,27,567023237
27.617023237,27,617023237
27.667023238,27,667023238
27.717023239,27,717023239
27.76702324,27,767023240
27.81702324,27,817023240
27.867023241,27,867023241
27.917023242,27,917023242
27.967023243,27,967023243
28.017023243,28,17023243
28.067023244,28,67023244
28.117023245,28,117023245
28.167023246,28,167023246
28.217023246,28,217023246
28.267023247,28,267023247
28.317023248,28,317023248
28.367023249,28,367023249
28.417023249,28,417023249
28.46702325,28,467023250
28.517023251,28,517023251
28.567023252,28,567023252
28.617023252,28,617023252
28.667023253,28,667023253
28.717023254,28,717023254
28.767023255,28,767023255
28.767023255,28,817023255
28.817023255,28,867023256
28.917023257,28,917023257
28.967023258,28,967023258
28.967023258,29,17023258
29.067023259,29,67023259
29.11702326,29,117023260
29.167023261,29,167023261
29.217023261,29,217023261
29.267023262,29,267023262
29.317023263,29,317023263
29.367023264,29,367023264
29.417023264,29,417023264
29.467023265,29,467023265
29.517023266,29,517023266
29.567023267,29,567023267
29.617023267,29,617023267
29.667023268,29,667023268
29.717023269,29,717023269
29.76702327,29,767023270
29.81702327,29,817023270
29.867023271,29,867023271
29.917023272,29,917023272
29.967023272,29,967023272
30.017023273,30,17023273
30.067023274,30,67023274
30.117023275,30,117023275
30.167023275,30,167023275
30.167023275,30,217023276
30.267023277,30,267023277
30.317023278,30,317023278
30.367023278,30,367023278
30.417023279,30,417023279
30.46702328,30,467023280
30.46702328,30,517023281
30.517023281,30,567023281
30.617023282,30,617023282
30.667023283,30,667023283
30.717023284,30,717023284
30.767023284,30,767023284
30.817023285,30,817023285
30.867023286,30,867023286
30.917023287,30,917023287
30.967023287,30,967023287
31.017023288,31,17023288
31.067023289,31,67023289
31.11702329,31,117023290
31.16702329,31,167023290
31.217023291,31,217023291
31.267023292,31,267023292
31.267023292,31,317023293
31.367023293,31,367023293
31.417023294,31,417023294
31.467023295,31,467023295
31.517023296,31,517023296
31.567023296,31,567023296
31.617023297,31,617023297
31.667023298,31,667023298
31.717023299,31,717023299
31.767023299,31,767023299
31.8170233,31,817023300
31.8170233,31,867023301
31.917023302,31,917023302
31.917023302,31,967023302
31.967023302,32,17023303
32.067023304,32,67023304
32.117023305,32,117023305
32.167023305,32,167023305
32.217023306,32,217023306
32.267023307,32,267023307
32.317023308,32,317023308
32.317023308,32,367023308
32.417023309,32,417023309
32.46702331,32,467023310
32.51702331,32,517023310
32.51702331,32,567023311
32.617023312,32,617023312
32.667023313,32,667023313
32.717023313,32,717023313
32.717023313,32,767023314
32.817023315,32,817023315
32.867023316,32,867023316
32.917023316,32,917023316
32.967023317,32,967023317
33.017023318,33,17023318
33.067023319,33,67023319
33.117023319,33,117023319
33.16702332,33,167023320
33.217023321,33,217023321
33.267023322,33,267023322
33.267023322,33,317023322
33.367023323,33,367023323
33.417023324,33,417023324
33.467023325,33,467023325
33.517023325,33,517023325
33.567023326,33,567023326
33.617023327,33,617023327
33.667023328,33,667023328
33.667023328,33,717023328
33.717023328,33,767023329
33.81702333,33,817023330
33.867023331,33,867023331
33.867023331,33,917023331
33.967023332,33,967023332
34.017023333,34,17023333
34.067023334,34,67023334
34.117023334,34,117023334
34.167023335,34,167023335
34.217023336,34,217023336
34.267023337,34,267023337
34.317023337,34,317023337
34.367023338,34,367023338
34.417023339,34,417023339
34.46702334,34,467023340
34.51702334,34,517023340
34.567023341,34,567023341
34.617023342,34,617023342
34.667023343,34,667023343
34.717023343,34,717023343
34.767023344,34,767023344
34.817023345,34,817023345
34.817023345,34,867023346
34.917023346,34,917023346
34.967023347,34,967023347
35.017023348,35,17023348
35.067023348,35,67023348
35.117023349,35,117023349
35.16702335,35,167023350
35.217023351,35,217023351
35.267023351,35,267023351
35.317023352,35,317023352
35.317023352,35,367023353
35.417023354,35,417023354
35.467023354,35,467023354
35.517023355,35,517023355
35.567023356,35,567023356
35.567023356,35,617023357
35.617023357,35,667023357
35.717023358,35,717023358
35.767023359,35,767023359
35.81702336,35,817023360
35.86702336,35,867023360
35.917023361,35,917023361
35.967023362,35,967023362
36.017023363,36,17023363
36.017023363,36,67023363
36.117023364,36,117023364
36.167023365,36,167023365
36.217023366,36,217023366
36.267023366,36,267023366
36.317023367,36,317023367
36.367023368,36,367023368
36.417023369,36,417023369
36.467023369,36,467023369
36.51702337,36,517023370
36.567023371,36,567023371
36.567023371,36,617023372
