Time,clock.secs,clock.nsecs
11.747744988,11,747744988
11.797744989,11,797744989
11.84774499,11,847744990
11.89774499,11,897744990
11.947744991,11,947744991
11.997744992,11,997744992
12.047744993,12,47744993
12.097744993,12,97744993
12.147744994,12,147744994
12.197744995,12,197744995
12.247744996,12,247744996
12.297744996,12,297744996
12.347744997,12,347744997
12.397744998,12,397744998
12.447744999,12,447744999
12.497744999,12,497744999
12.547745,12,547745000
12.597745001,12,597745001
12.647745002,12,647745002
12.697745002,12,697745002
12.747745003,12,747745003
12.747745003,12,797745004
12.847745005,12,847745005
12.897745005,12,897745005
12.897745005,12,947745006
12.997745007,12,997745007
13.047745008,13,47745008
13.047745008,13,97745008
13.147745009,13,147745009
13.19774501,13,197745010
13.247745011,13,247745011
13.297745011,13,297745011
13.347745012,13,347745012
13.397745013,13,397745013
13.447745013,13,447745013
13.497745014,13,497745014
13.547745015,13,547745015
13.597745016,13,597745016
13.647745016,13,647745016
13.697745017,13,697745017
13.747745018,13,747745018
13.797745019,13,797745019
13.847745019,13,847745019
13.89774502,13,897745020
13.947745021,13,947745021
13.997745022,13,997745022
14.047745022,14,47745022
14.097745023,14,97745023
14.097745023,14,147745024
14.197745025,14,197745025
14.247745025,14,247745025
14.297745026,14,297745026
14.347745027,14,347745027
14.347745027,14,397745028
14.447745028,14,447745028
14.497745029,14,497745029
14.497745029,14,547745030
14.597745031,14,597745031
14.647745031,14,647745031
14.697745032,14,697745032
14.747745033,14,747745033
14.797745034,14,797745034
14.847745034,14,847745034
14.897745035,14,897745035
14.947745036,14,947745036
14.997745037,14,997745037
15.047745037,15,47745037
15.097745038,15,97745038
15.147745039,15,147745039
15.19774504,15,197745040
15.24774504,15,247745040
15.297745041,15,297745041
15.347745042,15,347745042
15.347745042,15,397745043
15.397745043,15,447745043
15.497745044,15,497745044
15.547745045,15,547745045
15.547745045,15,597745046
15.647745046,15,647745046
15.697745047,15,697745047
15.747745048,15,747745048
15.797745048,15,797745048
15.847745049,15,847745049
15.89774505,15,897745050
15.947745051,15,947745051
15.997745051,15,997745051
16.047745052,16,47745052
16.097745053,16,97745053
16.147745054,16,147745054
16.197745054,16,197745054
16.247745055,16,247745055
16.297745056,16,297745056
16.347745057,16,347745057
16.397745057,16,397745057
16.447745058,16,447745058
16.497745059,16,497745059
16.497745059,16,547745060
16.54774506,16,597745060
16.647745061,16,647745061
16.697745062,16,697745062
16.747745063,16,747745063
16.797745063,16,797745063
16.847745064,16,847745064
16.897745065,16,897745065
16.947745066,16,947745066
16.997745066,16,997745066
16.997745066,17,47745067
17.047745067,17,97745068
17.147745069,17,147745069
17.197745069,17,197745069
17.24774507,17,247745070
17.297745071,17,297745071
17.347745072,17,347745072
17.397745072,17,397745072
17.447745073,17,447745073
17.497745074,17,497745074
17.547745075,17,547745075
17.597745075,17,597745075
17.647745076,17,647745076
17.697745077,17,697745077
17.747745078,17,747745078
17.797745078,17,797745078
17.847745079,17,847745079
17.89774508,17,897745080
17.947745081,17,947745081
17.997745081,17,997745081
18.047745082,18,47745082
18.097745083,18,97745083
18.147745084,18,147745084
18.197745084,18,197745084
18.247745085,18,247745085
18.297745086,18,297745086
18.347745086,18,347745086
18.397745087,18,397745087
18.447745088,18,447745088
18.497745089,18,497745089
18.547745089,18,547745089
18.59774509,18,597745090
18.59774509,18,647745091
18.697745092,18,697745092
18.747745092,18,747745092
18.797745093,18,797745093
18.847745094,18,847745094
18.897745095,18,897745095
18.947745095,18,947745095
18.997745096,18,997745096
19.047745097,19,47745097
19.097745098,19,97745098
19.147745098,19,147745098
19.197745099,19,197745099
19.2477451,19,247745100
19.297745101,19,297745101
19.347745101,19,347745101
19.397745102000002,19,397745102
19.447745103,19,447745103
19.497745104,19,497745104
19.547745104,19,547745104
19.597745105,19,597745105
19.647745106,19,647745106
19.697745107,19,697745107
19.747745107,19,747745107
19.797745108,19,797745108
19.847745109,19,847745109
19.89774511,19,897745110
19.94774511,19,947745110
19.997745111,19,997745111
20.047745112,20,47745112
20.097745113,20,97745113
20.147745113,20,147745113
20.197745114,20,197745114
20.247745115,20,247745115
20.297745116,20,297745116
20.347745116,20,347745116
20.397745117,20,397745117
20.447745118,20,447745118
20.497745119,20,497745119
20.497745119,20,547745119
20.59774512,20,597745120
20.647745121,20,647745121
20.697745122,20,697745122
20.747745122,20,747745122
20.797745123,20,797745123
20.847745124,20,847745124
20.897745124,20,897745124
20.947745125,20,947745125
20.997745126,20,997745126
21.047745127,21,47745127
21.097745127,21,97745127
21.147745128,21,147745128
21.197745129,21,197745129
21.24774513,21,247745130
21.29774513,21,297745130
21.29774513,21,347745131
21.397745132,21,397745132
21.447745133,21,447745133
21.497745133,21,497745133
21.547745134,21,547745134
21.597745135,21,597745135
21.647745136,21,647745136
21.697745136,21,697745136
21.747745137,21,747745137
21.797745138,21,797745138
21.847745139,21,847745139
21.897745139,21,897745139
21.94774514,21,947745140
21.997745141,21,997745141
22.047745142,22,47745142
22.097745142,22,97745142
22.147745143,22,147745143
22.197745144,22,197745144
22.247745145,22,247745145
22.297745145,22,297745145
