Time,clock.secs,clock.nsecs
15.283985109,15,283985109
15.33398511,15,333985110
15.383985111,15,383985111
15.433985112,15,433985112
15.433985112,15,483985112
15.533985113,15,533985113
15.533985113,15,583985114
15.633985115,15,633985115
15.683985115,15,683985115
15.733985116,15,733985116
15.783985117,15,783985117
15.833985118,15,833985118
15.883985118,15,883985118
15.933985119,15,933985119
15.98398512,15,983985120
16.033985121,16,33985121
16.083985121,16,83985121
16.133985122,16,133985122
16.183985123,16,183985123
16.233985124,16,233985124
16.283985124,16,283985124
16.333985125,16,333985125
16.383985126,16,383985126
16.433985127,16,433985127
16.483985127,16,483985127
16.533985128,16,533985128
16.583985129,16,583985129
16.63398513,16,633985130
16.68398513,16,683985130
16.733985131,16,733985131
16.783985132,16,783985132
16.833985133,16,833985133
16.883985133,16,883985133
16.933985134,16,933985134
16.983985135,16,983985135
17.033985136,17,33985136
17.033985136,17,83985136
17.133985137,17,133985137
17.183985138,17,183985138
17.233985139,17,233985139
17.283985139,17,283985139
17.33398514,17,333985140
17.383985141,17,383985141
17.433985142,17,433985142
17.483985142,17,483985142
17.533985143,17,533985143
17.583985144,17,583985144
17.633985145,17,633985145
17.683985145,17,683985145
17.733985146,17,733985146
17.783985147,17,783985147
17.833985147,17,833985147
17.883985148,17,883985148
17.933985149,17,933985149
17.98398515,17,983985150
18.03398515,18,33985150
18.083985151,18,83985151
18.133985152,18,133985152
18.183985153,18,183985153
18.233985153,18,233985153
18.283985154,18,283985154
18.333985155,18,333985155
18.383985156,18,383985156
18.383985156,18,433985156
18.483985157,18,483985157
18.483985157,18,533985158
18.583985159,18,583985159
18.633985159,18,633985159
18.68398516,18,683985160
18.733985161,18,733985161
18.783985162,18,783985162
18.783985162,18,833985162
18.883985163,18,883985163
18.933985164,18,933985164
18.983985165,18,983985165
19.033985165,19,33985165
19.083985166,19,83985166
19.133985167,19,133985167
19.183985168,19,183985168
19.233985168,19,233985168
19.283985169,19,283985169
19.33398517,19,333985170
19.383985171,19,383985171
19.433985171,19,433985171
19.483985172,19,483985172
19.533985173,19,533985173
19.583985174,19,583985174
19.633985174,19,633985174
19.683985175,19,683985175
19.733985176,19,733985176
19.783985177,19,783985177
19.783985177,19,833985177
19.833985177,19,883985178
19.883985178,19,933985179
19.933985179,19,983985180
20.03398518,20,33985180
20.083985181,20,83985181
20.133985182,20,133985182
20.183985183,20,183985183
20.233985183,20,233985183
20.233985183,20,283985184
20.333985185,20,333985185
20.383985185,20,383985185
20.433985186,20,433985186
20.483985187000002,20,483985187
20.533985188,20,533985188
20.533985188,20,583985188
20.633985189,20,633985189
20.68398519,20,683985190
20.733985191,20,733985191
20.783985191,20,783985191
20.833985192,20,833985192
20.883985193,20,883985193
20.933985194,20,933985194
20.983985194,20,983985194
