Time,clock.secs,clock.nsecs
10.8854792,10,885479200
10.8854792,10,935479201
10.985479202,10,985479202
11.035479202,11,35479202
11.085479203,11,85479203
11.135479204,11,135479204
11.185479205,11,185479205
11.235479205,11,235479205
11.285479206,11,285479206
11.335479207,11,335479207
11.385479208,11,385479208
11.435479208,11,435479208
11.485479209,11,485479209
11.53547921,11,535479210
11.585479210999999,11,585479211
11.635479211,11,635479211
11.685479212,11,685479212
11.735479213,11,735479213
11.785479214,11,785479214
11.835479214,11,835479214
11.885479215,11,885479215
11.935479216000001,11,935479216
11.985479217,11,985479217
12.035479217,12,35479217
12.085479218,12,85479218
12.085479218,12,135479219
12.18547922,12,185479220
12.18547922,12,235479220
12.285479221,12,285479221
12.335479222,12,335479222
12.385479222,12,385479222
12.435479223,12,435479223
12.485479224,12,485479224
12.535479225,12,535479225
12.585479225,12,585479225
12.635479226,12,635479226
12.685479227,12,685479227
12.735479228,12,735479228
12.785479228,12,785479228
12.785479228,12,835479229
12.88547923,12,885479230
12.935479231,12,935479231
12.985479231,12,985479231
13.035479232,13,35479232
13.085479233,13,85479233
13.135479234,13,135479234
13.185479234,13,185479234
13.235479235,13,235479235
13.235479235,13,285479236
13.335479237,13,335479237
13.385479237,13,385479237
13.435479238,13,435479238
13.485479239,13,485479239
13.53547924,13,535479240
13.58547924,13,585479240
13.635479241,13,635479241
13.685479242,13,685479242
13.735479243,13,735479243
13.785479243,13,785479243
13.835479244,13,835479244
13.885479245,13,885479245
13.885479245,13,935479246
13.985479246,13,985479246
14.035479247,14,35479247
14.035479247,14,85479248
14.135479249,14,135479249
14.185479249,14,185479249
14.23547925,14,235479250
14.285479251,14,285479251
14.335479252,14,335479252
14.385479252,14,385479252
14.435479253,14,435479253
14.485479254,14,485479254
14.535479255,14,535479255
14.585479255,14,585479255
14.635479256,14,635479256
14.685479257,14,685479257
14.735479258,14,735479258
14.785479258,14,785479258
14.835479259,14,835479259
14.88547926,14,885479260
14.93547926,14,935479260
14.985479261,14,985479261
15.035479262,15,35479262
15.085479263,15,85479263
15.135479263,15,135479263
15.185479264,15,185479264
15.235479265,15,235479265
15.285479266,15,285479266
15.335479266,15,335479266
15.385479267000001,15,385479267
15.435479268,15,435479268
15.485479269,15,485479269
15.535479269,15,535479269
15.58547927,15,585479270
15.635479271,15,635479271
15.685479272,15,685479272
15.735479272,15,735479272
15.735479272,15,785479273
15.835479274,15,835479274
15.885479275,15,885479275
15.935479275,15,935479275
15.985479276,15,985479276
16.035479277,16,35479277
16.085479278,16,85479278
16.135479278,16,135479278
16.185479279,16,185479279
16.23547928,16,235479280
16.285479281,16,285479281
16.335479281,16,335479281
16.385479282,16,385479282
16.435479283,16,435479283
16.485479284,16,485479284
16.535479284,16,535479284
16.585479285,16,585479285
16.635479286,16,635479286
16.685479287,16,685479287
16.735479287,16,735479287
16.785479288,16,785479288
16.835479289,16,835479289
16.88547929,16,885479290
16.93547929,16,935479290
16.985479291,16,985479291
17.035479292,17,35479292
17.085479293,17,85479293
17.135479293,17,135479293
17.135479293,17,185479294
17.235479295,17,235479295
17.285479295000002,17,285479295
17.335479296,17,335479296
17.385479297,17,385479297
17.435479298,17,435479298
17.485479298,17,485479298
17.535479299,17,535479299
17.5854793,17,585479300
17.635479301,17,635479301
17.685479301,17,685479301
17.735479302,17,735479302
17.785479303,17,785479303
17.835479304,17,835479304
17.885479304,17,885479304
17.935479305,17,935479305
17.985479306,17,985479306
18.035479307,18,35479307
18.035479307,18,85479307
18.135479308,18,135479308
18.185479309,18,185479309
18.23547931,18,235479310
18.28547931,18,285479310
18.335479311,18,335479311
18.385479312,18,385479312
18.385479312,18,435479313
18.485479313,18,485479313
18.535479314,18,535479314
18.585479315,18,585479315
18.635479316,18,635479316
18.685479316,18,685479316
18.735479317,18,735479317
18.785479318,18,785479318
18.835479319,18,835479319
18.885479319,18,885479319
18.93547932,18,935479320
18.985479321,18,985479321
19.035479322,19,35479322
19.085479322,19,85479322
19.135479323,19,135479323
19.185479324,19,185479324
19.235479325,19,235479325
19.285479325,19,285479325
19.335479326,19,335479326
19.385479327,19,385479327
19.435479328,19,435479328
19.485479328,19,485479328
19.535479329,19,535479329
19.58547933,19,585479330
19.635479331,19,635479331
19.685479331,19,685479331
19.735479332,19,735479332
19.785479333,19,785479333
19.835479333,19,835479333
19.885479334,19,885479334
19.935479335,19,935479335
