Time,clock.secs,clock.nsecs
14.820906478,14,820906478
14.870906479,14,870906479
14.92090648,14,920906480
14.970906481,14,970906481
15.020906481,15,20906481
15.070906482,15,70906482
15.120906483,15,120906483
15.170906484,15,170906484
15.220906484,15,220906484
15.270906485,15,270906485
15.320906486,15,320906486
15.370906487,15,370906487
15.420906487,15,420906487
15.470906488,15,470906488
15.520906489,15,520906489
15.57090649,15,570906490
15.62090649,15,620906490
15.670906491,15,670906491
15.670906491,15,720906492
15.770906493,15,770906493
15.820906493,15,820906493
15.870906494,15,870906494
15.870906494,15,920906495
15.970906496,15,970906496
16.020906496,16,20906496
16.070906497,16,70906497
16.120906498,16,120906498
16.170906499,16,170906499
16.220906499,16,220906499
16.2709065,16,270906500
16.320906501,16,320906501
16.370906502,16,370906502
16.420906502,16,420906502
16.470906503,16,470906503
16.520906504,16,520906504
16.520906504,16,570906504
16.620906505,16,620906505
16.670906506,16,670906506
16.720906507,16,720906507
16.770906507,16,770906507
16.820906508,16,820906508
16.870906509,16,870906509
16.920906510000002,16,920906510
16.97090651,16,970906510
17.020906511,17,20906511
17.070906512,17,70906512
17.120906513,17,120906513
17.170906513,17,170906513
17.220906514,17,220906514
17.270906515,17,270906515
17.320906516,17,320906516
17.370906516,17,370906516
17.370906516,17,420906517
17.470906518,17,470906518
17.520906519,17,520906519
17.520906519,17,570906519
17.62090652,17,620906520
17.670906521,17,670906521
17.720906522,17,720906522
17.770906522,17,770906522
17.820906523,17,820906523
17.870906524,17,870906524
17.920906525,17,920906525
17.970906525,17,970906525
18.020906526,18,20906526
18.070906527,18,70906527
18.120906528,18,120906528
18.120906528,18,170906528
18.220906529,18,220906529
18.220906529,18,270906530
18.320906531,18,320906531
18.370906531,18,370906531
18.420906532,18,420906532
18.470906533,18,470906533
18.470906533,18,520906534
18.570906534,18,570906534
18.570906534,18,620906535
18.670906536,18,670906536
18.720906537,18,720906537
18.770906537,18,770906537
18.820906538,18,820906538
18.870906539,18,870906539
18.92090654,18,920906540
18.97090654,18,970906540
19.020906541,19,20906541
19.070906542,19,70906542
19.120906542,19,120906542
19.170906543,19,170906543
19.220906544,19,220906544
19.270906545,19,270906545
19.320906545,19,320906545
19.370906546,19,370906546
19.420906547,19,420906547
19.470906548,19,470906548
19.470906548,19,520906548
19.570906549,19,570906549
19.62090655,19,620906550
19.670906551,19,670906551
19.670906551,19,720906551
19.770906552,19,770906552
19.820906553,19,820906553
19.870906554,19,870906554
19.920906554,19,920906554
19.970906555,19,970906555
20.020906556,20,20906556
20.070906557,20,70906557
20.120906557,20,120906557
20.170906558,20,170906558
20.220906559,20,220906559
20.27090656,20,270906560
20.32090656,20,320906560
20.370906561,20,370906561
20.420906562,20,420906562
20.470906563,20,470906563
20.520906563,20,520906563
20.570906564,20,570906564
20.620906565,20,620906565
20.620906565,20,670906566
20.720906566,20,720906566
20.770906567,20,770906567
20.820906568,20,820906568
20.870906569,20,870906569
20.920906569,20,920906569
20.97090657,20,970906570
21.020906571,21,20906571
21.020906571,21,70906572
21.120906572,21,120906572
21.120906572,21,170906573
21.220906574,21,220906574
21.270906575,21,270906575
21.320906575,21,320906575
21.370906576,21,370906576
21.420906577,21,420906577
21.470906578,21,470906578
21.520906578,21,520906578
21.570906579,21,570906579
21.62090658,21,620906580
21.67090658,21,670906580
21.720906581,21,720906581
21.770906582,21,770906582
21.820906583,21,820906583
21.820906583,21,870906583
21.870906583,21,920906584
21.970906585,21,970906585
22.020906586,22,20906586
22.020906586,22,70906586
22.120906587,22,120906587
22.170906588,22,170906588
22.220906589,22,220906589
22.270906589,22,270906589
22.32090659,22,320906590
22.370906591,22,370906591
22.420906592,22,420906592
22.470906592,22,470906592
22.520906593,22,520906593
22.570906594,22,570906594
22.620906595,22,620906595
22.670906595,22,670906595
22.720906596,22,720906596
22.770906597,22,770906597
22.820906598,22,820906598
22.870906598,22,870906598
22.920906599,22,920906599
22.9709066,22,970906600
22.9709066,23,20906601
23.020906601,23,70906601
23.120906602,23,120906602
23.120906602,23,170906603
23.220906604,23,220906604
23.270906604,23,270906604
23.320906605,23,320906605
23.370906606,23,370906606
23.420906607,23,420906607
23.470906607,23,470906607
23.520906608,23,520906608
