Time,clock.secs,clock.nsecs
13.302220389,13,302220389
13.352220389,13,352220389
13.352220389,13,402220390
13.452220391,13,452220391
13.502220392,13,502220392
13.502220392,13,552220392
13.602220393,13,602220393
13.602220393,13,652220394
13.702220395,13,702220395
13.752220395,13,752220395
13.802220396,13,802220396
13.802220396,13,852220397
13.902220398,13,902220398
13.952220398,13,952220398
14.002220399,14,2220399
14.0522204,14,52220400
14.102220401,14,102220401
14.152220401,14,152220401
14.202220402,14,202220402
14.252220403,14,252220403
14.302220404,14,302220404
14.352220404,14,352220404
14.402220405,14,402220405
14.452220406,14,452220406
14.502220407,14,502220407
14.552220407,14,552220407
14.602220408,14,602220408
14.602220408,14,652220409
14.70222041,14,702220410
14.70222041,14,752220410
14.802220411,14,802220411
14.852220412,14,852220412
14.902220413,14,902220413
14.952220413,14,952220413
14.952220413,15,2220414
15.052220415,15,52220415
15.102220416,15,102220416
15.152220416,15,152220416
15.202220417,15,202220417
15.252220418,15,252220418
15.302220419,15,302220419
15.352220419,15,352220419
15.40222042,15,402220420
15.452220421,15,452220421
15.502220422,15,502220422
15.552220422,15,552220422
15.602220423,15,602220423
15.602220423,15,652220424
15.702220425,15,702220425
15.752220425,15,752220425
15.802220426,15,802220426
15.852220427,15,852220427
15.902220427,15,902220427
15.902220427,15,952220428
16.002220429,16,2220429
16.05222043,16,52220430
16.10222043,16,102220430
16.152220431,16,152220431
16.202220432,16,202220432
16.202220432,16,252220433
16.302220433,16,302220433
16.352220434,16,352220434
16.402220435,16,402220435
16.452220436,16,452220436
16.502220436,16,502220436
16.552220437,16,552220437
16.602220438,16,602220438
16.652220439,16,652220439
16.702220439,16,702220439
16.75222044,16,752220440
16.802220441,16,802220441
16.852220442,16,852220442
16.902220442,16,902220442
16.902220442,16,952220443
16.952220443,17,2220444
17.052220445,17,52220445
17.102220445,17,102220445
17.152220446,17,152220446
17.202220447,17,202220447
17.252220448,17,252220448
17.302220448,17,302220448
17.352220449,17,352220449
17.40222045,17,402220450
