Time,clock.secs,clock.nsecs
20.435479986,20,435479986
20.485479987,20,485479987
20.535479987,20,535479987
20.585479988,20,585479988
20.635479989,20,635479989
20.68547999,20,685479990
20.73547999,20,735479990
20.785479991,20,785479991
20.835479992,20,835479992
20.885479993,20,885479993
20.935479993,20,935479993
20.935479993,20,985479994
21.035479995,21,35479995
21.085479996,21,85479996
21.135479996,21,135479996
21.185479997,21,185479997
21.235479998,21,235479998
21.285479999,21,285479999
21.335479999,21,335479999
21.38548,21,385480000
21.38548,21,435480001
21.485480002,21,485480002
21.535480002,21,535480002
21.585480003,21,585480003
21.635480004,21,635480004
21.685480005,21,685480005
21.735480005,21,735480005
21.785480006,21,785480006
21.835480007,21,835480007
21.885480008000002,21,885480008
21.935480008,21,935480008
21.985480009,21,985480009
22.03548001,22,35480010
22.085480011,22,85480011
22.135480011,22,135480011
22.185480012,22,185480012
22.235480013,22,235480013
22.285480014,22,285480014
22.335480014,22,335480014
22.385480015,22,385480015
22.385480015,22,435480016
22.485480017,22,485480017
22.535480017,22,535480017
22.585480018,22,585480018
22.635480019,22,635480019
22.68548002,22,685480020
22.68548002,22,735480020
22.785480021,22,785480021
22.835480022,22,835480022
22.835480022,22,885480022
22.935480023,22,935480023
22.985480024,22,985480024
23.035480025,23,35480025
23.085480025,23,85480025
23.135480026,23,135480026
23.185480027,23,185480027
23.235480028,23,235480028
23.285480028,23,285480028
23.335480029,23,335480029
23.38548003,23,385480030
23.435480031,23,435480031
23.485480031,23,485480031
23.535480032,23,535480032
23.585480033,23,585480033
23.635480034,23,635480034
23.685480034,23,685480034
23.735480035,23,735480035
23.785480036,23,785480036
23.835480037,23,835480037
23.885480037,23,885480037
23.935480038,23,935480038
23.985480039,23,985480039
24.03548004,24,35480040
24.08548004,24,85480040
24.135480041,24,135480041
24.185480042000002,24,185480042
24.235480043,24,235480043
24.285480043,24,285480043
24.335480044,24,335480044
24.335480044,24,385480045
24.435480046,24,435480046
24.485480046,24,485480046
24.535480047,24,535480047
24.585480048,24,585480048
24.635480049,24,635480049
24.685480049,24,685480049
24.73548005,24,735480050
24.73548005,24,785480051
24.835480052,24,835480052
24.885480052,24,885480052
24.935480053,24,935480053
24.985480054,24,985480054
25.035480055,25,35480055
25.085480055,25,85480055
25.135480056,25,135480056
25.185480057,25,185480057
25.185480057,25,235480058
25.285480058,25,285480058
25.335480058999998,25,335480059
25.335480058999998,25,385480060
25.43548006,25,435480060
25.485480061,25,485480061
25.535480062,25,535480062
25.585480063,25,585480063
25.635480063,25,635480063
25.685480064,25,685480064
25.735480065,25,735480065
25.785480066,25,785480066
25.835480066,25,835480066
25.835480066,25,885480067
25.935480068,25,935480068
25.985480069,25,985480069
26.035480069,26,35480069
26.08548007,26,85480070
26.135480071,26,135480071
26.185480072,26,185480072
26.235480072,26,235480072
26.285480073,26,285480073
26.335480074,26,335480074
26.385480075,26,385480075
26.435480075,26,435480075
26.485480076,26,485480076
26.535480077,26,535480077
26.535480077,26,585480078
26.635480078,26,635480078
26.685480079,26,685480079
26.73548008,26,735480080
26.785480081,26,785480081
26.835480081,26,835480081
26.885480082,26,885480082
26.935480083,26,935480083
26.985480084,26,985480084
27.035480084,27,35480084
27.085480085,27,85480085
27.135480086,27,135480086
27.185480087,27,185480087
27.235480087,27,235480087
27.285480088,27,285480088
27.285480088,27,335480089
27.38548009,27,385480090
27.43548009,27,435480090
27.485480091,27,485480091
27.535480092,27,535480092
27.585480093,27,585480093
27.635480093,27,635480093
27.685480094,27,685480094
27.735480095,27,735480095
27.785480096,27,785480096
27.835480096,27,835480096
27.885480097,27,885480097
27.935480098,27,935480098
27.985480098,27,985480098
28.035480099,28,35480099
28.0854801,28,85480100
28.135480101,28,135480101
28.185480101,28,185480101
28.235480102,28,235480102
28.235480102,28,285480103
28.335480104,28,335480104
28.385480104,28,385480104
28.385480104,28,435480105
28.485480106,28,485480106
28.535480107,28,535480107
28.585480107,28,585480107
28.635480108,28,635480108
28.685480109,28,685480109
28.73548011,28,735480110
28.78548011,28,785480110
28.835480111,28,835480111
28.885480112,28,885480112
28.935480113,28,935480113
28.985480113,28,985480113
29.035480114,29,35480114
29.085480115,29,85480115
29.135480116,29,135480116
29.185480116,29,185480116
29.235480117,29,235480117
29.285480118,29,285480118
29.335480119,29,335480119
29.385480119,29,385480119
29.43548012,29,435480120
29.485480121,29,485480121
29.535480122,29,535480122
29.585480122,29,585480122
29.635480123,29,635480123
29.685480124,29,685480124
29.735480125,29,735480125
29.785480125,29,785480125
29.835480126,29,835480126
29.885480127,29,885480127
29.935480128000002,29,935480128
29.935480128000002,29,985480128
30.035480129,30,35480129
30.08548013,30,85480130
30.135480131,30,135480131
30.185480131,30,185480131
30.235480132,30,235480132
30.235480132,30,285480133
30.335480134,30,335480134
30.385480134,30,385480134
30.435480135,30,435480135
30.485480136,30,485480136
30.535480136,30,535480136
30.585480137,30,585480137
30.635480138,30,635480138
30.685480139,30,685480139
30.735480139,30,735480139
30.78548014,30,785480140
30.835480141,30,835480141
30.885480142,30,885480142
30.935480142,30,935480142
30.985480143,30,985480143
31.035480144,31,35480144
31.085480145,31,85480145
31.085480145,31,135480145
31.185480146,31,185480146
31.235480147,31,235480147
31.285480148,31,285480148
31.335480148,31,335480148
31.385480149,31,385480149
31.43548015,31,435480150
31.485480151,31,485480151
31.535480151,31,535480151
31.585480152,31,585480152
31.635480153,31,635480153
31.635480153,31,685480154
31.735480154,31,735480154
31.785480155,31,785480155
31.835480156,31,835480156
31.885480157,31,885480157
31.935480157,31,935480157
31.985480158,31,985480158
32.035480159,32,35480159
32.08548016,32,85480160
32.13548016,32,135480160
32.185480161,32,185480161
32.235480162,32,235480162
32.285480163,32,285480163
32.335480163,32,335480163
32.385480164,32,385480164
32.435480165,32,435480165
32.485480166,32,485480166
32.535480166,32,535480166
32.585480167,32,585480167
32.635480168,32,635480168
32.685480169,32,685480169
32.735480169,32,735480169
32.78548017,32,785480170
32.835480171,32,835480171
32.835480171,32,885480172
32.935480172,32,935480172
32.985480173,32,985480173
32.985480173,33,35480174
33.035480174,33,85480174
33.135480175,33,135480175
33.185480176,33,185480176
33.235480177,33,235480177
33.285480177,33,285480177
33.335480178,33,335480178
33.385480179,33,385480179
33.43548018,33,435480180
33.48548018,33,485480180
33.535480181,33,535480181
33.585480182,33,585480182
33.585480182,33,635480183
33.685480183,33,685480183
33.735480184,33,735480184
33.785480185,33,785480185
33.835480186,33,835480186
33.885480186,33,885480186
