Time,clock.secs,clock.nsecs
17.417077929,17,417077929
17.467077929,17,467077929
17.51707793,17,517077930
17.51707793,17,567077931
17.617077932,17,617077932
17.667077932,17,667077932
17.717077933,17,717077933
17.717077933,17,767077934
17.817077935,17,817077935
17.867077935,17,867077935
17.917077936,17,917077936
17.967077937,17,967077937
18.017077938,18,17077938
18.067077938,18,67077938
18.117077939,18,117077939
18.16707794,18,167077940
18.217077941,18,217077941
18.267077941,18,267077941
18.317077942,18,317077942
18.367077943,18,367077943
18.417077944,18,417077944
18.467077944,18,467077944
18.517077945,18,517077945
18.567077946,18,567077946
18.567077946,18,617077947
18.617077947,18,667077947
18.717077948,18,717077948
18.767077949,18,767077949
18.767077949,18,817077950
18.86707795,18,867077950
18.917077951,18,917077951
18.917077951,18,967077952
19.017077953,19,17077953
19.067077953,19,67077953
19.117077954,19,117077954
19.167077955,19,167077955
19.217077956,19,217077956
19.267077956,19,267077956
19.317077957,19,317077957
19.367077958,19,367077958
19.417077959,19,417077959
19.467077959,19,467077959
19.51707796,19,517077960
19.567077961,19,567077961
19.617077962,19,617077962
19.667077962,19,667077962
19.667077962,19,717077963
19.717077963,19,767077964
19.767077964,19,817077965
19.867077965,19,867077965
19.917077966,19,917077966
19.967077967,19,967077967
20.017077967,20,17077967
20.067077968,20,67077968
20.117077969,20,117077969
20.16707797,20,167077970
20.16707797,20,217077970
20.267077971,20,267077971
20.267077971,20,317077972
20.367077973,20,367077973
20.417077973,20,417077973
20.467077974,20,467077974
20.517077975,20,517077975
20.567077976,20,567077976
20.617077976,20,617077976
20.667077977,20,667077977
20.717077978,20,717077978
20.717077978,20,767077979
20.817077979,20,817077979
20.86707798,20,867077980
20.917077981,20,917077981
20.967077982,20,967077982
21.017077982,21,17077982
21.067077983,21,67077983
21.117077984,21,117077984
21.167077985,21,167077985
21.217077985,21,217077985
21.267077986,21,267077986
21.317077987,21,317077987
21.367077988,21,367077988
21.417077988,21,417077988
21.467077989,21,467077989
21.51707799,21,517077990
21.567077991,21,567077991
21.617077991,21,617077991
21.667077992,21,667077992
21.717077993,21,717077993
21.767077994,21,767077994
21.817077994,21,817077994
21.867077995,21,867077995
21.917077996,21,917077996
21.967077997,21,967077997
22.017077997,22,17077997
22.067077998,22,67077998
22.117077999,22,117077999
22.167078,22,167078000
22.217078,22,217078000
22.267078001,22,267078001
22.317078002,22,317078002
22.367078003,22,367078003
22.417078003,22,417078003
22.467078004,22,467078004
22.517078005,22,517078005
22.567078005,22,567078005
22.617078006,22,617078006
22.667078007,22,667078007
22.717078008,22,717078008
22.767078008,22,767078008
22.817078009,22,817078009
22.86707801,22,867078010
22.917078011,22,917078011
22.967078011,22,967078011
23.017078012,23,17078012
23.067078013,23,67078013
23.117078014,23,117078014
23.117078014,23,167078014
23.217078015,23,217078015
23.267078016,23,267078016
23.317078017,23,317078017
23.367078017,23,367078017
23.417078018,23,417078018
23.467078019,23,467078019
23.51707802,23,517078020
23.56707802,23,567078020
23.617078021,23,617078021
23.667078022,23,667078022
23.717078023,23,717078023
23.767078023,23,767078023
23.817078024,23,817078024
23.817078024,23,867078025
23.917078026,23,917078026
23.917078026,23,967078026
24.017078027,24,17078027
24.067078028,24,67078028
24.117078029,24,117078029
24.167078029,24,167078029
24.21707803,24,217078030
24.267078031,24,267078031
24.317078032,24,317078032
24.367078032,24,367078032
24.417078033,24,417078033
24.467078034,24,467078034
24.517078035,24,517078035
24.567078035,24,567078035
24.617078036,24,617078036
24.667078037,24,667078037
24.717078038,24,717078038
24.767078038,24,767078038
24.767078038,24,817078039
24.86707804,24,867078040
24.917078041,24,917078041
24.967078041,24,967078041
25.017078042,25,17078042
25.067078043,25,67078043
25.117078043,25,117078043
25.167078044,25,167078044
25.167078044,25,217078045
25.267078046,25,267078046
25.317078046,25,317078046
25.367078047,25,367078047
25.417078048,25,417078048
25.417078048,25,467078049
25.517078049,25,517078049
25.56707805,25,567078050
25.617078051,25,617078051
25.667078052,25,667078052
25.667078052,25,717078052
25.717078052,25,767078053
25.767078053,25,817078054
25.817078054,25,867078055
25.917078055,25,917078055
25.967078056,25,967078056
26.017078057,26,17078057
26.067078058,26,67078058
26.067078058,26,117078058
26.167078059,26,167078059
26.21707806,26,217078060
26.267078061,26,267078061
26.317078061,26,317078061
26.367078062,26,367078062
26.417078063,26,417078063
26.467078064,26,467078064
26.517078064,26,517078064
26.567078065,26,567078065
26.617078066,26,617078066
26.667078067,26,667078067
26.717078067,26,717078067
26.767078068,26,767078068
26.817078069,26,817078069
26.86707807,26,867078070
26.91707807,26,917078070
26.967078071,26,967078071
27.017078072,27,17078072
27.067078073,27,67078073
27.117078073,27,117078073
27.167078074,27,167078074
27.217078075,27,217078075
27.267078076,27,267078076
27.317078076,27,317078076
27.367078077,27,367078077
27.417078078,27,417078078
27.417078078,27,467078079
27.517078079,27,517078079
27.56707808,27,567078080
27.617078081,27,617078081
27.667078081,27,667078081
27.717078082,27,717078082
27.767078083,27,767078083
27.817078084,27,817078084
27.867078084,27,867078084
27.917078085,27,917078085
27.967078086,27,967078086
28.017078087,28,17078087
28.067078087,28,67078087
28.117078088,28,117078088
28.167078089,28,167078089
28.21707809,28,217078090
28.26707809,28,267078090
28.317078091,28,317078091
28.367078092,28,367078092
28.417078093,28,417078093
28.417078093,28,467078093
28.517078094,28,517078094
