Time,clock.secs,clock.nsecs
31.787807422,31,787807422
31.837807423,31,837807423
31.887807424000002,31,887807424
31.937807424,31,937807424
31.987807425,31,987807425
32.037807426,32,37807426
32.087807427,32,87807427
32.137807427,32,137807427
32.187807428,32,187807428
32.237807429,32,237807429
32.28780743,32,287807430
32.33780743,32,337807430
32.33780743,32,387807431
32.437807432,32,437807432
32.487807433,32,487807433
32.537807433,32,537807433
32.587807434,32,587807434
32.637807435,32,637807435
32.637807435,32,687807436
32.737807436,32,737807436
32.787807437,32,787807437
32.837807438,32,837807438
32.887807439,32,887807439
32.937807439,32,937807439
32.98780744,32,987807440
32.98780744,33,37807441
33.087807442,33,87807442
33.137807442,33,137807442
33.187807443,33,187807443
33.237807444,33,237807444
33.287807445,33,287807445
33.337807445,33,337807445
33.387807446,33,387807446
33.437807447,33,437807447
33.437807447,33,487807448
33.537807448,33,537807448
33.587807449,33,587807449
33.63780745,33,637807450
33.687807451,33,687807451
33.737807451,33,737807451
33.787807452,33,787807452
33.837807453,33,837807453
33.837807453,33,887807453
33.937807454,33,937807454
33.987807455,33,987807455
34.037807456,34,37807456
34.087807456,34,87807456
34.137807457,34,137807457
34.137807457,34,187807458
34.237807459,34,237807459
34.237807459,34,287807459
34.33780746,34,337807460
34.387807461,34,387807461
34.437807462,34,437807462
34.487807462,34,487807462
34.537807463,34,537807463
34.537807463,34,587807464
34.637807465,34,637807465
34.687807465,34,687807465
34.737807466,34,737807466
34.787807467,34,787807467
34.837807468,34,837807468
34.887807468,34,887807468
34.937807469,34,937807469
34.98780747,34,987807470
35.037807471,35,37807471
35.087807471,35,87807471
35.137807472,35,137807472
35.187807473,35,187807473
35.237807474,35,237807474
35.287807474,35,287807474
35.337807475,35,337807475
35.387807476,35,387807476
35.437807477,35,437807477
35.487807477,35,487807477
35.537807478,35,537807478
35.587807479,35,587807479
35.63780748,35,637807480
35.687807480000004,35,687807480
35.687807480000004,35,737807481
35.737807481,35,787807482
35.787807482,35,837807483
35.887807483,35,887807483
35.937807484,35,937807484
35.937807484,35,987807485
36.037807486,36,37807486
36.087807486,36,87807486
36.137807487,36,137807487
36.187807488,36,187807488
36.187807488,36,237807489
36.287807489,36,287807489
36.33780749,36,337807490
36.387807491,36,387807491
36.437807491,36,437807491
36.487807492,36,487807492
36.537807493,36,537807493
36.587807494,36,587807494
36.637807494,36,637807494
36.637807494,36,687807495
36.737807496,36,737807496
36.787807497,36,787807497
36.837807497,36,837807497
36.887807498,36,887807498
36.937807499,36,937807499
36.9878075,36,987807500
37.0378075,37,37807500
37.087807501,37,87807501
37.137807502,37,137807502
37.187807503,37,187807503
37.237807503,37,237807503
37.287807504,37,287807504
37.337807505,37,337807505
37.387807506,37,387807506
37.437807506,37,437807506
37.487807507,37,487807507
37.537807508,37,537807508
37.587807509,37,587807509
37.637807509,37,637807509
