Time,clock.secs,clock.nsecs
26.848138626,26,848138626
26.898138627,26,898138627
26.948138628,26,948138628
26.998138628,26,998138628
27.048138629,27,48138629
27.09813863,27,98138630
27.148138631,27,148138631
27.198138631,27,198138631
27.248138632,27,248138632
27.298138633,27,298138633
27.348138634,27,348138634
27.398138634,27,398138634
27.448138635,27,448138635
27.448138635,27,498138636
27.548138637,27,548138637
27.598138637,27,598138637
27.648138638,27,648138638
27.698138639,27,698138639
27.74813864,27,748138640
27.79813864,27,798138640
27.848138641,27,848138641
27.898138642,27,898138642
27.948138643,27,948138643
27.998138643,27,998138643
28.048138644,28,48138644
28.098138645,28,98138645
28.148138646,28,148138646
28.198138646,28,198138646
28.248138647,28,248138647
28.298138648,28,298138648
28.348138649,28,348138649
28.398138649,28,398138649
28.44813865,28,448138650
28.498138651,28,498138651
28.548138651,28,548138651
28.598138652,28,598138652
28.648138653,28,648138653
28.698138654,28,698138654
28.748138654,28,748138654
28.748138654,28,798138655
28.848138656,28,848138656
28.898138657,28,898138657
28.948138657,28,948138657
28.998138658,28,998138658
29.048138659,29,48138659
29.048138659,29,98138660
29.09813866,29,148138660
29.198138661,29,198138661
29.198138661,29,248138662
29.298138663,29,298138663
29.348138663,29,348138663
29.398138664,29,398138664
29.448138665,29,448138665
29.498138666,29,498138666
29.548138666,29,548138666
29.598138667,29,598138667
29.648138668,29,648138668
29.698138669,29,698138669
29.748138669,29,748138669
29.748138669,29,798138670
29.848138671,29,848138671
29.898138672,29,898138672
29.948138672,29,948138672
29.998138673,29,998138673
30.048138674,30,48138674
30.098138675,30,98138675
30.098138675,30,148138675
30.198138676,30,198138676
30.248138677,30,248138677
30.298138678,30,298138678
30.348138678,30,348138678
30.398138679,30,398138679
30.44813868,30,448138680
30.498138681,30,498138681
30.548138681,30,548138681
30.548138681,30,598138682
30.648138683,30,648138683
30.698138684,30,698138684
30.748138684,30,748138684
30.798138685,30,798138685
30.848138686,30,848138686
30.898138687,30,898138687
