Time,clock.secs,clock.nsecs
25.70352238,25,703522380
25.753522381,25,753522381
25.803522381,25,803522381
25.853522382,25,853522382
25.903522383,25,903522383
25.953522384,25,953522384
26.003522384,26,3522384
26.053522385,26,53522385
26.103522386,26,103522386
26.153522387,26,153522387
26.203522387,26,203522387
26.253522388,26,253522388
26.303522389,26,303522389
26.35352239,26,353522390
26.35352239,26,403522390
26.453522391,26,453522391
26.503522392,26,503522392
26.553522393,26,553522393
26.553522393,26,603522393
26.653522394,26,653522394
26.703522395,26,703522395
26.753522396,26,753522396
26.803522396,26,803522396
26.853522397,26,853522397
26.903522398,26,903522398
26.953522399,26,953522399
27.003522399,27,3522399
27.0535224,27,53522400
27.103522401,27,103522401
27.153522402,27,153522402
27.203522402,27,203522402
27.253522403,27,253522403
27.253522403,27,303522404
27.353522405,27,353522405
27.403522405,27,403522405
27.453522406,27,453522406
27.503522407,27,503522407
27.553522408,27,553522408
27.603522408,27,603522408
27.653522409,27,653522409
27.70352241,27,703522410
27.75352241,27,753522410
27.803522411,27,803522411
27.853522412,27,853522412
27.903522413,27,903522413
27.953522413,27,953522413
28.003522414,28,3522414
28.053522415,28,53522415
28.103522416,28,103522416
28.153522416,28,153522416
28.203522417,28,203522417
28.253522418,28,253522418
28.253522418,28,303522419
28.353522419,28,353522419
28.40352242,28,403522420
28.453522421,28,453522421
28.503522422,28,503522422
28.553522422,28,553522422
28.603522423,28,603522423
28.653522424,28,653522424
28.703522425,28,703522425
28.753522425,28,753522425
28.803522426,28,803522426
28.853522427,28,853522427
28.903522428,28,903522428
28.953522428,28,953522428
29.003522429,29,3522429
29.05352243,29,53522430
29.103522431,29,103522431
29.153522431,29,153522431
29.203522432,29,203522432
29.253522433,29,253522433
29.303522434,29,303522434
29.353522434,29,353522434
29.403522435,29,403522435
29.453522436,29,453522436
29.503522437,29,503522437
29.553522437,29,553522437
29.603522438,29,603522438
29.653522439,29,653522439
29.70352244,29,703522440
29.75352244,29,753522440
29.803522441,29,803522441
29.853522442,29,853522442
29.903522443,29,903522443
29.953522443,29,953522443
30.003522444,30,3522444
30.053522445,30,53522445
30.103522446,30,103522446
30.103522446,30,153522446
30.203522447,30,203522447
30.253522448,30,253522448
30.303522448,30,303522448
30.353522449,30,353522449
30.40352245,30,403522450
30.453522451,30,453522451
30.503522451,30,503522451
30.553522452,30,553522452
30.603522453,30,603522453
30.653522454,30,653522454
30.653522454,30,703522454
30.753522455,30,753522455
30.803522456,30,803522456
30.853522457,30,853522457
30.903522457,30,903522457
30.953522458,30,953522458
31.003522459,31,3522459
31.05352246,31,53522460
31.10352246,31,103522460
31.153522461,31,153522461
31.203522462,31,203522462
31.253522463,31,253522463
31.303522463,31,303522463
31.353522464,31,353522464
31.403522465,31,403522465
31.453522466,31,453522466
31.503522466,31,503522466
31.553522467,31,553522467
31.603522468,31,603522468
31.653522469,31,653522469
31.703522469,31,703522469
31.75352247,31,753522470
31.803522471,31,803522471
31.853522472,31,853522472
31.903522472,31,903522472
31.953522473,31,953522473
32.003522474,32,3522474
32.053522475,32,53522475
32.103522475,32,103522475
32.153522476,32,153522476
32.203522477,32,203522477
32.253522478,32,253522478
32.303522478,32,303522478
32.353522479,32,353522479
32.353522479,32,403522480
32.40352248,32,453522481
32.453522481,32,503522481
32.503522481,32,553522482
32.553522482,32,603522483
32.603522483,32,653522484
32.703522484,32,703522484
32.703522484,32,753522485
32.803522486,32,803522486
32.853522486,32,853522486
32.903522487000004,32,903522487
32.953522488,32,953522488
33.003522489,33,3522489
33.053522489,33,53522489
33.10352249,33,103522490
33.153522491,33,153522491
33.203522492,33,203522492
33.253522492,33,253522492
33.303522493,33,303522493
33.353522494,33,353522494
33.403522495,33,403522495
33.453522495,33,453522495
33.503522496,33,503522496
33.553522497,33,553522497
33.603522498,33,603522498
33.603522498,33,653522498
33.703522499,33,703522499
33.7535225,33,753522500
33.803522501,33,803522501
33.853522501,33,853522501
33.903522502,33,903522502
33.953522503,33,953522503
34.003522504,34,3522504
34.053522504,34,53522504
34.103522505,34,103522505
34.153522506,34,153522506
34.203522507,34,203522507
34.253522507,34,253522507
34.303522508,34,303522508
34.353522509,34,353522509
34.40352251,34,403522510
34.45352251,34,453522510
34.503522511,34,503522511
34.553522512,34,553522512
34.603522513,34,603522513
34.653522513,34,653522513
34.703522514,34,703522514
34.753522515,34,753522515
34.803522516,34,803522516
34.853522516,34,853522516
34.903522517,34,903522517
34.953522518,34,953522518
35.003522519,35,3522519
35.053522519,35,53522519
35.10352252,35,103522520
35.153522521,35,153522521
35.203522522,35,203522522
35.253522522,35,253522522
35.303522523,35,303522523
35.353522524,35,353522524
35.403522524,35,403522524
35.453522525,35,453522525
35.503522526,35,503522526
35.503522526,35,553522527
35.603522527,35,603522527
35.653522528,35,653522528
35.703522529,35,703522529
35.75352253,35,753522530
35.80352253,35,803522530
35.853522531,35,853522531
35.903522532,35,903522532
35.953522533,35,953522533
36.003522533,36,3522533
36.053522534,36,53522534
36.103522535,36,103522535
36.153522536,36,153522536
36.203522536,36,203522536
36.253522537,36,253522537
36.303522538,36,303522538
36.303522538,36,353522539
36.353522539,36,403522539
36.403522539,36,453522540
36.45352254,36,503522541
36.553522542,36,553522542
36.603522542,36,603522542
36.653522543,36,653522543
36.703522544,36,703522544
36.753522545,36,753522545
36.803522545,36,803522545
36.853522546,36,853522546
36.903522547,36,903522547
36.953522548,36,953522548
37.003522548,37,3522548
37.053522549,37,53522549
37.10352255,37,103522550
37.153522551,37,153522551
37.203522551,37,203522551
37.253522552,37,253522552
37.303522553,37,303522553
37.353522554,37,353522554
37.403522554,37,403522554
37.453522555,37,453522555
37.503522556,37,503522556
37.553522557,37,553522557
37.603522557,37,603522557
37.653522558,37,653522558
37.703522559,37,703522559
37.75352256,37,753522560
37.80352256,37,803522560
37.853522561,37,853522561
37.903522562,37,903522562
37.953522562,37,953522562
38.003522563,38,3522563
38.053522564,38,53522564
38.103522565,38,103522565
38.103522565,38,153522565
38.203522566,38,203522566
38.253522567,38,253522567
38.253522567,38,303522568
38.353522568,38,353522568
38.403522569,38,403522569
38.45352257,38,453522570
38.503522571,38,503522571
38.553522571,38,553522571
38.603522572,38,603522572
38.653522573000004,38,653522573
38.703522574,38,703522574
38.703522574,38,753522574
38.803522575,38,803522575
38.853522576,38,853522576
38.903522577,38,903522577
38.953522577,38,953522577
39.003522578,39,3522578
39.053522579,39,53522579
39.10352258,39,103522580
39.10352258,39,153522580
39.203522581,39,203522581
39.253522582,39,253522582
39.303522583,39,303522583
39.353522583,39,353522583
39.403522584,39,403522584
39.453522585,39,453522585
39.503522586,39,503522586
39.553522586,39,553522586
39.603522587,39,603522587
39.653522588,39,653522588
39.703522589,39,703522589
39.703522589,39,753522589
39.80352259,39,803522590
39.853522591,39,853522591
39.903522592,39,903522592
39.903522592,39,953522592
40.003522593,40,3522593
40.053522594,40,53522594
40.103522595,40,103522595
40.153522595,40,153522595
40.203522596,40,203522596
40.253522597,40,253522597
40.303522597,40,303522597
40.353522598,40,353522598
40.403522599,40,403522599
40.4535226,40,453522600
40.5035226,40,503522600
40.553522601,40,553522601
40.603522602,40,603522602
40.653522603,40,653522603
40.703522603,40,703522603
40.753522604,40,753522604
40.753522604,40,803522605
40.853522606,40,853522606
40.903522606,40,903522606
40.953522607,40,953522607
41.003522608,41,3522608
41.053522609,41,53522609
41.103522609,41,103522609
41.15352261,41,153522610
41.203522611,41,203522611
41.253522612,41,253522612
41.303522612,41,303522612
41.353522613,41,353522613
41.403522614,41,403522614
41.453522615,41,453522615
41.503522615,41,503522615
41.553522616,41,553522616
41.603522617,41,603522617
41.603522617,41,653522618
41.703522618,41,703522618
41.753522619,41,753522619
41.80352262,41,803522620
41.853522621,41,853522621
41.903522621,41,903522621
41.903522621,41,953522622
42.003522623,42,3522623
42.053522624,42,53522624
42.103522624,42,103522624
42.153522625,42,153522625
42.203522626,42,203522626
42.253522627,42,253522627
42.303522627,42,303522627
42.303522627,42,353522628
42.403522629,42,403522629
42.45352263,42,453522630
42.50352263,42,503522630
42.553522631,42,553522631
42.603522632,42,603522632
42.653522633,42,653522633
42.703522633,42,703522633
42.753522634,42,753522634
42.803522635,42,803522635
42.853522635,42,853522635
42.903522636,42,903522636
42.953522637,42,953522637
43.003522638,43,3522638
43.053522638,43,53522638
43.103522639,43,103522639
43.15352264,43,153522640
43.203522641,43,203522641
43.253522641,43,253522641
43.303522642,43,303522642
43.353522643,43,353522643
43.403522644,43,403522644
43.453522644,43,453522644
43.503522645,43,503522645
43.553522646,43,553522646
43.603522647,43,603522647
43.653522647,43,653522647
43.703522648,43,703522648
43.753522649,43,753522649
43.80352265,43,803522650
43.85352265,43,853522650
43.903522651,43,903522651
43.953522652,43,953522652
44.003522653,44,3522653
44.053522653,44,53522653
44.103522654,44,103522654
44.153522655,44,153522655
44.203522656,44,203522656
44.253522656,44,253522656
44.303522657,44,303522657
44.353522658,44,353522658
44.353522658,44,403522659
44.453522659,44,453522659
44.50352266,44,503522660
44.553522661,44,553522661
44.603522662,44,603522662
44.653522662,44,653522662
44.703522663,44,703522663
44.753522664,44,753522664
44.753522664,44,803522665
