Time,clock.secs,clock.nsecs
19.425531923,19,425531923
19.475531924,19,475531924
19.525531925,19,525531925
19.575531926,19,575531926
19.625531926,19,625531926
19.675531927,19,675531927
19.725531928,19,725531928
19.775531928,19,775531928
19.825531929,19,825531929
19.87553193,19,875531930
19.925531931000002,19,925531931
19.975531931,19,975531931
20.025531932,20,25531932
20.075531933,20,75531933
20.075531933,20,125531934
20.175531934,20,175531934
20.225531935,20,225531935
20.275531936,20,275531936
20.325531937,20,325531937
20.375531937,20,375531937
20.425531938,20,425531938
20.425531938,20,475531939
20.475531939,20,525531940
20.57553194,20,575531940
20.625531941,20,625531941
20.675531942,20,675531942
20.725531943,20,725531943
20.775531943,20,775531943
20.825531944,20,825531944
20.875531945,20,875531945
20.925531946,20,925531946
20.975531946,20,975531946
21.025531947,21,25531947
21.075531948,21,75531948
21.125531949,21,125531949
21.175531949,21,175531949
21.22553195,21,225531950
21.275531951,21,275531951
21.325531952,21,325531952
21.375531952,21,375531952
21.425531953,21,425531953
21.475531954,21,475531954
21.525531955,21,525531955
21.575531955,21,575531955
21.625531956,21,625531956
21.675531957,21,675531957
21.725531958,21,725531958
21.775531958,21,775531958
21.825531959,21,825531959
21.87553196,21,875531960
21.925531961,21,925531961
21.975531961,21,975531961
22.025531962,22,25531962
22.075531963,22,75531963
22.075531963,22,125531964
22.175531964,22,175531964
22.225531965,22,225531965
22.275531966,22,275531966
22.325531966,22,325531966
22.375531967,22,375531967
22.425531968,22,425531968
22.475531969,22,475531969
22.525531969,22,525531969
22.57553197,22,575531970
22.625531971,22,625531971
22.675531972,22,675531972
22.725531972,22,725531972
22.775531973,22,775531973
22.825531974,22,825531974
22.875531975,22,875531975
22.875531975,22,925531975
22.975531976,22,975531976
23.025531977,23,25531977
23.075531978,23,75531978
23.125531978,23,125531978
23.175531979,23,175531979
23.22553198,23,225531980
23.275531981,23,275531981
23.325531981,23,325531981
23.375531982,23,375531982
23.425531983,23,425531983
23.475531984,23,475531984
23.525531984,23,525531984
23.575531985,23,575531985
23.625531986,23,625531986
23.675531987,23,675531987
23.725531987,23,725531987
23.775531988,23,775531988
23.825531989,23,825531989
23.87553199,23,875531990
23.92553199,23,925531990
23.975531991,23,975531991
24.025531992,24,25531992
24.075531993,24,75531993
24.125531993,24,125531993
24.175531994,24,175531994
24.225531995,24,225531995
24.225531995,24,275531996
24.325531996,24,325531996
24.375531997,24,375531997
24.425531998,24,425531998
24.475531999,24,475531999
24.525531999000002,24,525531999
24.575532,24,575532000
24.575532,24,625532001
24.675532002,24,675532002
24.725532002,24,725532002
24.775532003,24,775532003
24.825532004,24,825532004
24.875532004,24,875532004
24.925532005,24,925532005
24.975532006,24,975532006
25.025532007,25,25532007
25.075532007,25,75532007
25.125532008,25,125532008
25.175532009,25,175532009
25.22553201,25,225532010
25.27553201,25,275532010
25.325532011,25,325532011
25.375532012,25,375532012
25.425532013,25,425532013
25.475532013,25,475532013
25.475532013,25,525532014
25.575532015,25,575532015
25.625532016,25,625532016
25.675532016,25,675532016
25.725532017,25,725532017
25.775532018,25,775532018
25.775532018,25,825532019
25.875532019,25,875532019
25.92553202,25,925532020
25.975532021,25,975532021
26.025532022,26,25532022
26.075532022,26,75532022
26.125532023,26,125532023
26.175532024,26,175532024
26.225532025,26,225532025
26.225532025,26,275532025
26.275532025,26,325532026
26.375532027,26,375532027
26.425532028,26,425532028
26.475532028,26,475532028
26.525532029,26,525532029
26.57553203,26,575532030
26.625532031,26,625532031
26.675532031,26,675532031
26.725532032,26,725532032
26.775532033,26,775532033
26.825532034,26,825532034
26.875532034,26,875532034
26.925532035,26,925532035
26.975532036,26,975532036
27.025532037,27,25532037
27.075532037,27,75532037
27.125532038,27,125532038
27.175532039,27,175532039
27.225532039,27,225532039
27.27553204,27,275532040
27.325532041,27,325532041
27.375532042,27,375532042
27.375532042,27,425532042
27.475532043,27,475532043
27.525532044,27,525532044
27.575532045,27,575532045
27.625532045,27,625532045
27.675532046,27,675532046
