Time,clock.secs,clock.nsecs
19.960175536,19,960175536
20.010175537,20,10175537
20.060175538,20,60175538
20.110175538,20,110175538
20.160175539,20,160175539
20.21017554,20,210175540
20.21017554,20,260175541
20.310175541,20,310175541
20.360175542,20,360175542
20.410175543,20,410175543
20.460175544,20,460175544
20.510175544,20,510175544
20.560175545,20,560175545
20.610175546,20,610175546
20.660175547,20,660175547
20.710175547,20,710175547
20.760175548,20,760175548
20.810175549,20,810175549
20.860175549,20,860175549
20.91017555,20,910175550
20.960175551,20,960175551
21.010175552,21,10175552
21.060175552,21,60175552
21.060175552,21,110175553
21.160175554,21,160175554
21.160175554,21,210175555
21.260175555,21,260175555
21.310175556,21,310175556
21.360175557,21,360175557
21.410175558,21,410175558
21.460175558,21,460175558
21.510175559,21,510175559
21.56017556,21,560175560
21.610175561,21,610175561
21.660175561,21,660175561
21.710175562,21,710175562
21.760175563,21,760175563
21.810175564,21,810175564
21.860175564,21,860175564
21.910175565,21,910175565
21.960175566,21,960175566
22.010175567,22,10175567
22.060175567,22,60175567
22.110175568,22,110175568
22.160175569,22,160175569
22.21017557,22,210175570
22.26017557,22,260175570
22.310175571,22,310175571
22.360175572,22,360175572
22.410175573,22,410175573
22.410175573,22,460175573
22.510175574,22,510175574
22.560175575,22,560175575
22.610175576,22,610175576
22.660175576,22,660175576
22.710175577,22,710175577
22.760175578,22,760175578
22.810175579,22,810175579
22.860175579,22,860175579
22.91017558,22,910175580
22.960175581,22,960175581
23.010175582,23,10175582
23.060175582,23,60175582
23.110175583,23,110175583
23.160175584,23,160175584
23.210175585,23,210175585
23.260175585,23,260175585
23.310175586,23,310175586
23.360175587,23,360175587
23.410175587,23,410175587
23.460175588,23,460175588
23.510175589,23,510175589
23.56017559,23,560175590
23.61017559,23,610175590
23.660175591,23,660175591
23.710175592,23,710175592
23.760175593,23,760175593
23.810175593,23,810175593
23.860175594,23,860175594
23.910175595,23,910175595
23.960175596,23,960175596
24.010175596,24,10175596
24.060175597,24,60175597
24.110175598,24,110175598
24.160175599,24,160175599
24.210175599,24,210175599
24.2601756,24,260175600
24.310175601,24,310175601
24.360175602,24,360175602
24.410175602,24,410175602
24.460175603,24,460175603
24.510175604,24,510175604
24.560175605,24,560175605
24.610175605,24,610175605
24.660175606,24,660175606
24.710175607,24,710175607
24.760175608,24,760175608
24.810175608,24,810175608
24.860175609,24,860175609
24.91017561,24,910175610
24.960175611,24,960175611
25.010175611,25,10175611
25.060175612,25,60175612
25.110175613,25,110175613
25.160175614,25,160175614
25.210175614,25,210175614
25.260175615,25,260175615
25.310175616,25,310175616
25.360175617,25,360175617
25.410175617,25,410175617
25.460175618,25,460175618
25.510175619,25,510175619
25.56017562,25,560175620
25.61017562,25,610175620
25.660175621,25,660175621
25.710175622,25,710175622
25.760175622,25,760175622
25.810175623,25,810175623
25.860175624,25,860175624
25.910175625,25,910175625
25.960175625,25,960175625
26.010175626,26,10175626
26.060175627,26,60175627
26.110175628,26,110175628
26.160175628,26,160175628
26.210175629,26,210175629
26.26017563,26,260175630
26.310175631,26,310175631
26.360175631,26,360175631
26.410175632,26,410175632
26.460175633,26,460175633
26.510175634,26,510175634
26.560175634,26,560175634
26.610175635,26,610175635
26.660175636,26,660175636
26.710175637,26,710175637
26.760175637,26,760175637
26.810175638,26,810175638
26.860175639,26,860175639
26.860175639,26,910175640
26.91017564,26,960175640
26.96017564,27,10175641
27.010175641,27,60175642
27.110175643,27,110175643
27.160175643,27,160175643
27.160175643,27,210175644
27.260175645,27,260175645
27.310175646,27,310175646
27.360175646,27,360175646
27.410175647,27,410175647
27.460175648,27,460175648
27.460175648,27,510175649
27.560175649,27,560175649
27.61017565,27,610175650
27.660175651,27,660175651
27.710175652,27,710175652
27.760175652,27,760175652
27.810175653,27,810175653
27.860175654,27,860175654
27.910175655,27,910175655
27.960175655,27,960175655
28.010175656,28,10175656
28.060175657,28,60175657
28.110175658,28,110175658
28.160175658,28,160175658
28.210175659,28,210175659
28.26017566,28,260175660
28.26017566,28,310175660
28.31017566,28,360175661
28.410175662,28,410175662
28.460175663,28,460175663
28.510175663,28,510175663
28.560175664,28,560175664
28.610175665,28,610175665
28.660175666,28,660175666
28.710175666,28,710175666
28.760175667,28,760175667
28.810175668,28,810175668
28.810175668,28,860175669
28.910175669,28,910175669
28.96017567,28,960175670
29.010175671,29,10175671
29.060175672,29,60175672
29.110175672,29,110175672
29.160175673,29,160175673
29.210175674,29,210175674
29.260175675,29,260175675
29.310175675,29,310175675
29.360175676,29,360175676
29.410175677,29,410175677
29.460175678,29,460175678
29.510175678,29,510175678
29.560175679,29,560175679
29.61017568,29,610175680
29.660175681,29,660175681
29.710175681,29,710175681
29.760175682,29,760175682
29.810175683,29,810175683
29.860175684,29,860175684
29.910175684,29,910175684
29.960175685,29,960175685
30.010175686,30,10175686
30.060175687,30,60175687
30.110175687,30,110175687
30.160175688,30,160175688
30.210175689,30,210175689
30.26017569,30,260175690
30.31017569,30,310175690
30.360175691,30,360175691
30.410175692,30,410175692
30.460175693,30,460175693
30.510175693,30,510175693
30.510175693,30,560175694
30.610175695,30,610175695
30.660175696,30,660175696
30.710175696,30,710175696
30.710175696,30,760175697
30.810175698,30,810175698
30.860175698,30,860175698
30.910175699,30,910175699
30.9601757,30,960175700
31.010175701,31,10175701
31.060175701,31,60175701
31.110175702,31,110175702
31.160175703,31,160175703
31.210175704,31,210175704
31.260175704,31,260175704
31.310175705,31,310175705
31.310175705,31,360175706
31.410175707,31,410175707
31.460175707,31,460175707
31.510175708,31,510175708
31.560175709,31,560175709
31.61017571,31,610175710
31.66017571,31,660175710
31.710175711,31,710175711
31.760175712,31,760175712
31.810175713,31,810175713
31.810175713,31,860175713
31.910175714,31,910175714
31.960175715,31,960175715
31.960175715,32,10175716
32.060175716,32,60175716
32.110175717,32,110175717
32.160175718,32,160175718
32.210175719,32,210175719
32.260175719,32,260175719
32.31017572,32,310175720
32.360175721,32,360175721
32.410175722,32,410175722
32.460175722,32,460175722
32.510175723,32,510175723
32.560175724,32,560175724
32.610175725,32,610175725
32.660175725,32,660175725
32.660175725,32,710175726
32.760175727000004,32,760175727
32.810175728,32,810175728
32.860175728,32,860175728
32.910175729,32,910175729
32.96017573,32,960175730
33.010175731,33,10175731
33.060175731,33,60175731
33.110175732,33,110175732
33.160175733,33,160175733
33.210175734,33,210175734
33.260175734,33,260175734
33.310175735,33,310175735
33.360175736,33,360175736
33.410175736,33,410175736
33.460175737,33,460175737
33.510175738,33,510175738
33.560175739,33,560175739
33.610175739,33,610175739
33.66017574,33,660175740
33.710175741,33,710175741
33.760175742,33,760175742
33.810175742,33,810175742
33.860175743,33,860175743
33.910175744,33,910175744
33.960175745,33,960175745
34.010175745,34,10175745
34.060175746,34,60175746
34.060175746,34,110175747
34.110175747,34,160175748
34.160175748,34,210175748
34.210175748,34,260175749
34.260175749,34,310175750
34.360175751,34,360175751
34.410175751,34,410175751
34.460175752,34,460175752
34.510175753,34,510175753
34.560175754,34,560175754
34.610175754,34,610175754
34.660175755,34,660175755
34.710175756,34,710175756
34.760175757,34,760175757
34.810175757,34,810175757
34.860175758,34,860175758
34.910175759,34,910175759
34.96017576,34,960175760
35.01017576,35,10175760
35.01017576,35,60175761
35.110175762,35,110175762
35.160175763,35,160175763
35.210175763,35,210175763
35.260175764,35,260175764
35.310175765,35,310175765
35.360175766,35,360175766
35.410175766,35,410175766
35.460175767,35,460175767
35.510175768,35,510175768
35.560175769,35,560175769
35.610175769,35,610175769
35.66017577,35,660175770
35.710175771,35,710175771
35.760175772,35,760175772
35.760175772,35,810175772
35.860175773,35,860175773
35.910175774,35,910175774
35.960175774,35,960175774
36.010175775,36,10175775
36.060175776,36,60175776
36.110175777,36,110175777
36.110175777,36,160175777
36.210175778,36,210175778
36.260175779,36,260175779
36.31017578,36,310175780
36.36017578,36,360175780
36.410175781,36,410175781
36.460175782,36,460175782
36.510175783,36,510175783
36.560175783,36,560175783
36.610175784,36,610175784
36.660175785,36,660175785
36.710175786,36,710175786
36.760175786,36,760175786
36.810175787,36,810175787
36.860175788,36,860175788
36.910175789,36,910175789
36.960175789,36,960175789
37.01017579,37,10175790
37.060175791,37,60175791
37.060175791,37,110175792
37.160175792,37,160175792
37.160175792,37,210175793
37.260175794,37,260175794
37.310175795,37,310175795
37.360175795,37,360175795
37.410175796,37,410175796
37.460175797,37,460175797
37.510175798,37,510175798
37.560175798,37,560175798
37.610175799,37,610175799
37.6601758,37,660175800
37.710175801,37,710175801
37.760175801,37,760175801
37.810175802,37,810175802
37.860175803,37,860175803
37.910175804,37,910175804
37.960175804,37,960175804
38.010175805,38,10175805
38.060175806,38,60175806
38.060175806,38,110175807
38.160175807,38,160175807
38.210175808,38,210175808
38.260175809,38,260175809
38.31017581,38,310175810
38.36017581,38,360175810
38.410175811,38,410175811
38.460175812,38,460175812
38.510175812,38,510175812
38.560175813,38,560175813
38.610175814,38,610175814
38.660175815,38,660175815
38.710175815,38,710175815
38.760175816,38,760175816
38.810175817,38,810175817
38.860175818,38,860175818
38.910175818,38,910175818
38.960175819,38,960175819
39.01017582,39,10175820
39.060175821,39,60175821
39.110175821,39,110175821
39.160175822,39,160175822
39.210175823,39,210175823
39.260175824,39,260175824
39.310175824,39,310175824
39.310175824,39,360175825
39.410175826,39,410175826
39.460175827,39,460175827
39.510175827,39,510175827
39.560175828,39,560175828
39.610175829,39,610175829
39.66017583,39,660175830
39.71017583,39,710175830
39.760175831,39,760175831
39.760175831,39,810175832
39.860175833,39,860175833
39.910175833,39,910175833
39.960175834,39,960175834
40.010175835,40,10175835
40.060175836,40,60175836
40.110175836,40,110175836
40.160175837,40,160175837
40.210175838,40,210175838
40.260175839,40,260175839
40.310175839,40,310175839
40.36017584,40,360175840
40.410175841,40,410175841
40.460175842,40,460175842
40.510175842,40,510175842
40.560175843,40,560175843
40.610175844,40,610175844
40.660175845,40,660175845
40.710175845,40,710175845
40.760175846,40,760175846
40.810175847,40,810175847
40.860175848,40,860175848
40.910175848,40,910175848
40.960175849,40,960175849
41.01017585,41,10175850
41.06017585,41,60175850
41.110175851,41,110175851
41.160175852,41,160175852
41.210175853,41,210175853
41.260175853,41,260175853
41.310175854,41,310175854
41.360175855,41,360175855
41.410175856,41,410175856
41.460175856,41,460175856
41.510175857,41,510175857
41.560175858,41,560175858
41.610175859,41,610175859
41.660175859,41,660175859
41.71017586,41,710175860
41.760175861,41,760175861
41.810175862,41,810175862
41.860175862,41,860175862
41.910175863,41,910175863
41.960175864,41,960175864
42.010175865,42,10175865
42.060175865,42,60175865
42.060175865,42,110175866
42.110175866,42,160175867
42.160175867,42,210175868
42.260175868,42,260175868
42.260175868,42,310175869
42.36017587,42,360175870
42.410175871,42,410175871
42.460175871,42,460175871
42.510175872,42,510175872
42.560175873,42,560175873
42.610175874,42,610175874
42.660175874,42,660175874
42.710175875,42,710175875
42.760175876,42,760175876
42.810175877,42,810175877
42.860175877,42,860175877
42.910175878,42,910175878
42.960175879,42,960175879
43.01017588,43,10175880
43.06017588,43,60175880
43.110175881,43,110175881
43.160175882,43,160175882
43.210175883,43,210175883
43.260175883,43,260175883
43.260175883,43,310175884
43.310175884,43,360175885
43.410175886,43,410175886
43.460175886,43,460175886
43.510175887,43,510175887
43.560175888,43,560175888
43.610175888,43,610175888
43.660175889,43,660175889
43.71017589,43,710175890
43.760175891,43,760175891
43.810175891,43,810175891
43.860175892,43,860175892
43.910175893,43,910175893
43.960175894,43,960175894
44.010175894,44,10175894
44.060175895,44,60175895
44.110175896,44,110175896
44.160175897,44,160175897
44.210175897,44,210175897
44.260175898,44,260175898
44.310175899,44,310175899
44.3601759,44,360175900
44.4101759,44,410175900
44.460175901,44,460175901
44.510175902,44,510175902
44.560175903,44,560175903
44.560175903,44,610175903
44.610175903,44,660175904
44.710175905,44,710175905
44.710175905,44,760175906
44.810175906,44,810175906
44.860175907,44,860175907
44.910175908,44,910175908
44.960175909,44,960175909
45.010175909,45,10175909
45.06017591,45,60175910
45.110175911,45,110175911
45.160175912,45,160175912
45.210175912,45,210175912
45.260175913,45,260175913
45.310175914,45,310175914
45.360175915,45,360175915
45.410175915,45,410175915
45.410175915,45,460175916
45.510175917,45,510175917
45.560175918,45,560175918
45.560175918,45,610175918
45.660175919,45,660175919
45.71017592,45,710175920
45.760175921,45,760175921
45.810175921,45,810175921
45.860175922,45,860175922
45.910175923,45,910175923
45.910175923,45,960175924
46.010175924,46,10175924
46.060175925,46,60175925
46.110175926,46,110175926
46.160175926,46,160175926
46.210175927,46,210175927
46.210175927,46,260175928
46.260175928,46,310175929
46.360175929,46,360175929
46.41017593,46,410175930
46.460175931,46,460175931
46.510175932,46,510175932
46.560175932,46,560175932
46.610175933,46,610175933
46.660175934,46,660175934
46.710175935,46,710175935
46.760175935,46,760175935
46.810175936,46,810175936
46.860175937,46,860175937
46.910175938,46,910175938
46.960175938,46,960175938
47.010175939,47,10175939
47.06017594,47,60175940
47.110175941,47,110175941
47.160175941,47,160175941
47.210175942,47,210175942
47.260175943,47,260175943
47.310175944,47,310175944
47.310175944,47,360175944
47.410175945,47,410175945
47.460175946,47,460175946
47.510175947,47,510175947
47.560175947,47,560175947
47.610175948,47,610175948
47.660175949,47,660175949
47.71017595,47,710175950
47.71017595,47,760175950
47.810175951,47,810175951
47.860175952,47,860175952
47.910175953,47,910175953
47.960175953,47,960175953
48.010175954,48,10175954
48.060175955,48,60175955
48.110175956,48,110175956
48.160175956,48,160175956
48.210175957,48,210175957
48.260175958,48,260175958
48.310175959,48,310175959
48.360175959,48,360175959
48.41017596,48,410175960
48.460175961,48,460175961
48.510175962,48,510175962
48.560175962,48,560175962
48.610175963,48,610175963
48.660175964,48,660175964
48.710175964,48,710175964
48.760175965,48,760175965
48.810175966,48,810175966
48.860175967,48,860175967
48.910175967,48,910175967
48.960175968,48,960175968
49.010175969,49,10175969
49.06017597,49,60175970
49.11017597,49,110175970
49.160175971,49,160175971
49.210175972,49,210175972
49.260175973,49,260175973
49.260175973,49,310175973
49.360175974,49,360175974
49.410175975,49,410175975
49.460175976,49,460175976
49.510175976,49,510175976
49.560175977,49,560175977
49.560175977,49,610175978
49.660175979,49,660175979
49.710175979,49,710175979
49.710175979,49,760175980
49.810175981,49,810175981
49.860175982,49,860175982
49.910175982,49,910175982
49.960175983,49,960175983
50.010175984,50,10175984
50.060175985,50,60175985
50.060175985,50,110175985
50.160175986,50,160175986
50.210175987,50,210175987
50.210175987,50,260175988
50.310175988,50,310175988
50.360175989,50,360175989
50.41017599,50,410175990
50.460175991,50,460175991
50.510175991,50,510175991
50.560175992,50,560175992
50.610175993,50,610175993
50.660175994,50,660175994
50.710175994,50,710175994
50.710175994,50,760175995
50.810175996,50,810175996
50.860175997,50,860175997
50.910175997,50,910175997
50.960175998,50,960175998
51.010175999,51,10175999
51.060175999,51,60175999
51.110176,51,110176000
51.160176001,51,160176001
51.210176002,51,210176002
51.260176002,51,260176002
51.310176003,51,310176003
51.310176003,51,360176004
51.410176005,51,410176005
51.460176005,51,460176005
51.510176006,51,510176006
51.560176007,51,560176007
51.610176008,51,610176008
51.660176008,51,660176008
51.710176009,51,710176009
51.76017601,51,760176010
51.810176011,51,810176011
51.860176011,51,860176011
51.910176012,51,910176012
51.960176013,51,960176013
52.010176014,52,10176014
52.060176014,52,60176014
52.110176015,52,110176015
52.160176016,52,160176016
52.210176017,52,210176017
52.260176017,52,260176017
52.310176018,52,310176018
52.360176019,52,360176019
52.41017602,52,410176020
52.46017602,52,460176020
52.510176021,52,510176021
52.560176022,52,560176022
52.610176023,52,610176023
52.660176023,52,660176023
52.710176024,52,710176024
52.710176024,52,760176025
52.810176026,52,810176026
52.860176026,52,860176026
52.910176027,52,910176027
52.960176028,52,960176028
53.010176029,53,10176029
53.060176029,53,60176029
53.11017603,53,110176030
53.160176031,53,160176031
53.210176032,53,210176032
53.260176032,53,260176032
53.310176033,53,310176033
53.360176034,53,360176034
53.410176035,53,410176035
53.460176035,53,460176035
53.510176036,53,510176036
53.560176037,53,560176037
53.610176037,53,610176037
53.660176038,53,660176038
53.710176039,53,710176039
53.76017604,53,760176040
53.81017604,53,810176040
53.860176041,53,860176041
53.910176042,53,910176042
53.960176043,53,960176043
54.010176043,54,10176043
54.060176044,54,60176044
54.110176045,54,110176045
54.160176046,54,160176046
54.210176046,54,210176046
54.260176047,54,260176047
54.310176048,54,310176048
54.360176049,54,360176049
54.410176049,54,410176049
54.46017605,54,460176050
54.510176051,54,510176051
54.560176052,54,560176052
54.610176052,54,610176052
54.660176053,54,660176053
54.710176054,54,710176054
54.760176055,54,760176055
54.810176055,54,810176055
54.810176055,54,860176056
54.910176057,54,910176057
54.960176058,54,960176058
55.010176058,55,10176058
55.010176058,55,60176059
55.11017606,55,110176060
55.160176061,55,160176061
55.210176061,55,210176061
55.260176062,55,260176062
55.310176063,55,310176063
55.360176064,55,360176064
55.360176064,55,410176064
55.460176065,55,460176065
55.460176065,55,510176066
55.560176067,55,560176067
55.610176067,55,610176067
55.660176068,55,660176068
55.710176069,55,710176069
55.76017607,55,760176070
55.81017607,55,810176070
55.860176071,55,860176071
55.910176072,55,910176072
55.960176073,55,960176073
56.010176073,56,10176073
56.010176073,56,60176074
56.110176075,56,110176075
56.160176075,56,160176075
56.210176076,56,210176076
56.260176077,56,260176077
56.310176078,56,310176078
56.360176078,56,360176078
56.410176079,56,410176079
56.46017608,56,460176080
56.510176081,56,510176081
56.560176081,56,560176081
56.610176082,56,610176082
56.660176083,56,660176083
56.710176084,56,710176084
56.760176084,56,760176084
56.760176084,56,810176085
56.860176086,56,860176086
56.910176087,56,910176087
56.960176087,56,960176087
57.010176088,57,10176088
57.060176089,57,60176089
57.11017609,57,110176090
57.16017609,57,160176090
57.210176091,57,210176091
57.260176092,57,260176092
57.310176093,57,310176093
57.310176093,57,360176093
57.410176094,57,410176094
57.460176095,57,460176095
57.510176096,57,510176096
57.560176096,57,560176096
57.610176097,57,610176097
57.660176098,57,660176098
57.710176099,57,710176099
57.760176099,57,760176099
57.8101761,57,810176100
57.860176101,57,860176101
57.910176102,57,910176102
57.960176102,57,960176102
58.010176103,58,10176103
58.060176104,58,60176104
58.110176105,58,110176105
58.160176105,58,160176105
58.210176106,58,210176106
58.260176107,58,260176107
58.310176108,58,310176108
58.360176108,58,360176108
58.360176108,58,410176109
58.46017611,58,460176110
58.46017611,58,510176111
58.560176111,58,560176111
58.610176112,58,610176112
58.660176113,58,660176113
58.710176113,58,710176113
58.760176114000004,58,760176114
58.810176115,58,810176115
58.860176116,58,860176116
58.910176116,58,910176116
58.960176117,58,960176117
59.010176118,59,10176118
59.060176119,59,60176119
59.110176119,59,110176119
59.16017612,59,160176120
59.210176121,59,210176121
59.260176122,59,260176122
59.310176122,59,310176122
59.360176123,59,360176123
59.410176124,59,410176124
59.460176125,59,460176125
59.510176125,59,510176125
59.560176126,59,560176126
59.610176127,59,610176127
59.610176127,59,660176128
59.710176128,59,710176128
59.760176129,59,760176129
59.81017613,59,810176130
59.860176131,59,860176131
59.910176131,59,910176131
59.960176132,59,960176132
60.010176133,60,10176133
60.060176134,60,60176134
60.060176134,60,110176134
60.160176135,60,160176135
60.210176136,60,210176136
60.260176137,60,260176137
60.310176137,60,310176137
60.360176138,60,360176138
60.410176139,60,410176139
60.46017614,60,460176140
60.51017614,60,510176140
60.560176141,60,560176141
60.610176142,60,610176142
60.660176143,60,660176143
60.710176143,60,710176143
60.710176143,60,760176144
60.810176145,60,810176145
60.860176146,60,860176146
60.910176146,60,910176146
60.960176147,60,960176147
60.960176147,61,10176148
61.060176149,61,60176149
61.060176149,61,110176149
61.16017615,61,160176150
61.16017615,61,210176151
61.210176151,61,260176151
61.310176152,61,310176152
61.360176153,61,360176153
61.410176154,61,410176154
61.460176154,61,460176154
61.510176155,61,510176155
61.560176156,61,560176156
61.610176157,61,610176157
61.660176157,61,660176157
61.710176158,61,710176158
61.760176159,61,760176159
61.81017616,61,810176160
61.86017616,61,860176160
61.910176161,61,910176161
61.910176161,61,960176162
62.010176163,62,10176163
62.060176163,62,60176163
62.110176164,62,110176164
62.160176165,62,160176165
62.210176166,62,210176166
62.260176166,62,260176166
62.310176167,62,310176167
62.360176168,62,360176168
62.410176169,62,410176169
62.460176169,62,460176169
62.51017617,62,510176170
62.560176171,62,560176171
62.610176172,62,610176172
62.660176172,62,660176172
62.710176173,62,710176173
62.760176174,62,760176174
62.810176175,62,810176175
62.860176175,62,860176175
62.910176176,62,910176176
62.960176177,62,960176177
63.010176178,63,10176178
63.060176178,63,60176178
63.110176179,63,110176179
63.16017618,63,160176180
63.210176181,63,210176181
63.260176181,63,260176181
63.310176182,63,310176182
63.360176183,63,360176183
63.410176184,63,410176184
63.460176184,63,460176184
63.510176185,63,510176185
63.560176186,63,560176186
63.560176186,63,610176187
63.660176187,63,660176187
63.710176188,63,710176188
63.760176189,63,760176189
63.810176189,63,810176189
63.86017619,63,860176190
63.910176191,63,910176191
63.960176192,63,960176192
64.010176192,64,10176192
64.060176193,64,60176193
64.110176194,64,110176194
64.160176195,64,160176195
64.210176195,64,210176195
64.260176196,64,260176196
64.260176196,64,310176197
64.360176198,64,360176198
64.410176198,64,410176198
64.460176199,64,460176199
64.5101762,64,510176200
64.560176201,64,560176201
64.610176201,64,610176201
64.660176202,64,660176202
64.710176203,64,710176203
64.760176204,64,760176204
64.810176204,64,810176204
64.860176205,64,860176205
64.910176206,64,910176206
64.960176207,64,960176207
64.960176207,65,10176207
65.060176208,65,60176208
65.110176209,65,110176209
65.16017621,65,160176210
65.21017621,65,210176210
65.260176211,65,260176211
65.310176212,65,310176212
65.360176213,65,360176213
65.410176213,65,410176213
65.460176214,65,460176214
65.510176215,65,510176215
65.560176216,65,560176216
65.610176216,65,610176216
65.660176217,65,660176217
65.710176218,65,710176218
65.760176219,65,760176219
65.810176219,65,810176219
65.86017622,65,860176220
65.910176221,65,910176221
65.960176222,65,960176222
66.010176222,66,10176222
66.010176222,66,60176223
66.110176224,66,110176224
66.160176225,66,160176225
66.210176225,66,210176225
66.260176226,66,260176226
66.310176227,66,310176227
66.360176227,66,360176227
66.410176228,66,410176228
66.410176228,66,460176229
66.51017623,66,510176230
66.56017623,66,560176230
66.610176231,66,610176231
66.660176232,66,660176232
66.710176233,66,710176233
66.710176233,66,760176233
66.810176234,66,810176234
66.810176234,66,860176235
66.910176236,66,910176236
66.910176236,66,960176236
67.010176237,67,10176237
67.060176238,67,60176238
67.110176239,67,110176239
67.160176239,67,160176239
67.21017624,67,210176240
67.260176241,67,260176241
67.310176242,67,310176242
67.360176242,67,360176242
67.410176243,67,410176243
67.460176244,67,460176244
67.510176245,67,510176245
67.560176245,67,560176245
67.610176246,67,610176246
67.610176246,67,660176247
67.710176248,67,710176248
67.760176248,67,760176248
67.810176249,67,810176249
67.86017625,67,860176250
67.910176251,67,910176251
67.96017625100001,67,960176251
68.010176252,68,10176252
68.060176253,68,60176253
68.110176254,68,110176254
68.160176254,68,160176254
68.210176255,68,210176255
68.260176256,68,260176256
68.310176257,68,310176257
68.360176257,68,360176257
68.360176257,68,410176258
68.460176259,68,460176259
68.51017626,68,510176260
68.56017626,68,560176260
68.610176261,68,610176261
68.660176262,68,660176262
68.710176263,68,710176263
68.760176263,68,760176263
68.810176264,68,810176264
68.860176265,68,860176265
68.910176265,68,910176265
68.960176266,68,960176266
69.010176267,69,10176267
69.060176268,69,60176268
69.110176268,69,110176268
69.160176269,69,160176269
69.21017627,69,210176270
69.260176271,69,260176271
69.310176271,69,310176271
69.360176272,69,360176272
69.410176273,69,410176273
69.460176274,69,460176274
69.510176274,69,510176274
69.560176275,69,560176275
69.610176276,69,610176276
69.660176277,69,660176277
69.710176277,69,710176277
69.760176278,69,760176278
