Time,clock.secs,clock.nsecs
12.628420017,12,628420017
12.678420018,12,678420018
12.728420019,12,728420019
12.778420019,12,778420019
12.82842002,12,828420020
12.878420021,12,878420021
12.928420022000001,12,928420022
12.978420022,12,978420022
13.028420023,13,28420023
13.078420024,13,78420024
13.128420025,13,128420025
13.178420025,13,178420025
13.228420026,13,228420026
13.278420027,13,278420027
13.328420028,13,328420028
13.378420028,13,378420028
13.428420029,13,428420029
13.47842003,13,478420030
13.528420031,13,528420031
13.578420031,13,578420031
13.628420032,13,628420032
13.678420033,13,678420033
13.728420033999999,13,728420034
13.778420034,13,778420034
13.828420035,13,828420035
13.878420036,13,878420036
13.928420037,13,928420037
13.978420037,13,978420037
14.028420038,14,28420038
14.078420039,14,78420039
14.12842004,14,128420040
14.17842004,14,178420040
14.17842004,14,228420041
14.278420042,14,278420042
14.328420042,14,328420042
14.378420043,14,378420043
14.428420044,14,428420044
14.478420045,14,478420045
14.528420045,14,528420045
14.578420046,14,578420046
14.628420047,14,628420047
14.678420048,14,678420048
14.728420048,14,728420048
14.778420049,14,778420049
14.82842005,14,828420050
14.878420051,14,878420051
14.928420051,14,928420051
14.978420052,14,978420052
15.028420053,15,28420053
15.078420054,15,78420054
15.128420054,15,128420054
15.178420055,15,178420055
15.228420056,15,228420056
15.278420057,15,278420057
15.328420057,15,328420057
15.378420058,15,378420058
15.428420059,15,428420059
15.47842006,15,478420060
15.52842006,15,528420060
15.578420061,15,578420061
15.628420062,15,628420062
15.628420062,15,678420063
15.728420063,15,728420063
15.778420064,15,778420064
15.828420065,15,828420065
15.878420066,15,878420066
15.928420066,15,928420066
15.978420067,15,978420067
16.028420068,16,28420068
16.078420069,16,78420069
16.128420069,16,128420069
16.17842007,16,178420070
16.228420071,16,228420071
16.278420072,16,278420072
16.278420072,16,328420072
16.378420073,16,378420073
16.428420074,16,428420074
16.478420075,16,478420075
16.528420075,16,528420075
16.578420076,16,578420076
16.628420077,16,628420077
16.678420078,16,678420078
16.728420078,16,728420078
16.778420079,16,778420079
16.82842008,16,828420080
16.87842008,16,878420080
16.928420081,16,928420081
16.978420082,16,978420082
17.028420083,17,28420083
17.078420083,17,78420083
17.128420084,17,128420084
17.178420085,17,178420085
17.228420086,17,228420086
17.278420086,17,278420086
17.328420087,17,328420087
17.378420088,17,378420088
17.428420089,17,428420089
17.428420089,17,478420089
17.52842009,17,528420090
17.578420091,17,578420091
17.628420092,17,628420092
17.678420092,17,678420092
17.728420093,17,728420093
17.778420094,17,778420094
17.828420095,17,828420095
17.878420095,17,878420095
17.928420096,17,928420096
17.978420097,17,978420097
18.028420098,18,28420098
18.078420098,18,78420098
18.128420099,18,128420099
18.1784201,18,178420100
18.228420101,18,228420101
18.278420101000002,18,278420101
18.328420102,18,328420102
18.378420103,18,378420103
18.428420104,18,428420104
18.478420104,18,478420104
18.528420105,18,528420105
18.578420106,18,578420106
18.628420107,18,628420107
18.678420107,18,678420107
18.728420108,18,728420108
18.778420109,18,778420109
18.82842011,18,828420110
18.87842011,18,878420110
18.87842011,18,928420111
18.978420112,18,978420112
18.978420112,19,28420113
19.078420113,19,78420113
19.128420114,19,128420114
19.178420115,19,178420115
19.228420116,19,228420116
19.278420116,19,278420116
19.328420117,19,328420117
19.378420118,19,378420118
19.428420118,19,428420118
19.428420118,19,478420119
19.52842012,19,528420120
19.578420121,19,578420121
19.628420121,19,628420121
19.678420122,19,678420122
19.728420123,19,728420123
19.778420124,19,778420124
19.828420124,19,828420124
19.878420125,19,878420125
19.928420126,19,928420126
19.978420127,19,978420127
20.028420127,20,28420127
20.078420128,20,78420128
20.128420129,20,128420129
20.17842013,20,178420130
20.22842013,20,228420130
20.278420131,20,278420131
20.328420132,20,328420132
20.378420133,20,378420133
20.378420133,20,428420133
20.478420134,20,478420134
20.528420135,20,528420135
20.578420136,20,578420136
20.628420136,20,628420136
20.678420137,20,678420137
20.678420137,20,728420138
20.778420139,20,778420139
20.828420139,20,828420139
20.87842014,20,878420140
20.928420141,20,928420141
20.978420142,20,978420142
21.028420142,21,28420142
21.078420143,21,78420143
21.128420144,21,128420144
21.178420145,21,178420145
21.228420145,21,228420145
21.278420146,21,278420146
21.328420147,21,328420147
21.378420148,21,378420148
21.428420148,21,428420148
21.478420149,21,478420149
21.52842015,21,528420150
21.578420151,21,578420151
21.628420151,21,628420151
21.678420152,21,678420152
21.728420153000002,21,728420153
21.778420154,21,778420154
21.828420154,21,828420154
21.878420155,21,878420155
21.928420156,21,928420156
21.978420156,21,978420156
21.978420156,22,28420157
22.078420158,22,78420158
22.128420159,22,128420159
22.178420159,22,178420159
22.22842016,22,228420160
22.278420161,22,278420161
22.328420162,22,328420162
22.378420162,22,378420162
22.428420163,22,428420163
22.478420164,22,478420164
22.528420165,22,528420165
22.578420165,22,578420165
22.628420166,22,628420166
22.678420167,22,678420167
22.728420168,22,728420168
22.778420168,22,778420168
22.828420169,22,828420169
22.87842017,22,878420170
22.928420171,22,928420171
22.978420171,22,978420171
23.028420172,23,28420172
23.078420173,23,78420173
23.128420174,23,128420174
23.178420174,23,178420174
23.228420175,23,228420175
23.278420176,23,278420176
23.328420177,23,328420177
23.328420177,23,378420177
