Time,clock.secs,clock.nsecs
15.954352308,15,954352308
16.004352308,16,4352308
16.054352309,16,54352309
16.10435231,16,104352310
16.154352311,16,154352311
16.204352311,16,204352311
16.254352312,16,254352312
16.304352313,16,304352313
16.354352314,16,354352314
16.404352314,16,404352314
16.454352315,16,454352315
16.504352316,16,504352316
16.554352317,16,554352317
16.604352317,16,604352317
16.654352318,16,654352318
16.704352319,16,704352319
16.754352319,16,754352319
16.80435232,16,804352320
16.854352321,16,854352321
16.904352322,16,904352322
16.954352322,16,954352322
17.004352323,17,4352323
17.054352324,17,54352324
17.104352325,17,104352325
17.154352325,17,154352325
17.204352326,17,204352326
17.254352327,17,254352327
17.304352328,17,304352328
17.354352328,17,354352328
17.404352329,17,404352329
17.45435233,17,454352330
17.504352331,17,504352331
17.554352331,17,554352331
17.554352331,17,604352332
17.654352333,17,654352333
17.704352334,17,704352334
17.754352334,17,754352334
17.804352335,17,804352335
17.854352336,17,854352336
17.904352337,17,904352337
17.904352337,17,954352337
18.004352338,18,4352338
18.054352339,18,54352339
18.10435234,18,104352340
18.10435234,18,154352340
18.204352341,18,204352341
18.254352342,18,254352342
18.304352343,18,304352343
18.354352343,18,354352343
18.404352344,18,404352344
18.454352345,18,454352345
18.504352346,18,504352346
18.554352346,18,554352346
18.604352347,18,604352347
18.654352348,18,654352348
18.704352349,18,704352349
18.754352349,18,754352349
18.80435235,18,804352350
18.80435235,18,854352351
18.904352352,18,904352352
18.954352352,18,954352352
19.004352353,19,4352353
19.054352354,19,54352354
19.104352355,19,104352355
19.154352355,19,154352355
19.204352356,19,204352356
19.254352357,19,254352357
19.304352357,19,304352357
19.354352358,19,354352358
19.404352359,19,404352359
19.45435236,19,454352360
19.50435236,19,504352360
19.554352361,19,554352361
19.604352362,19,604352362
19.654352363,19,654352363
19.704352363,19,704352363
19.754352364,19,754352364
19.804352365,19,804352365
19.854352366,19,854352366
19.904352366,19,904352366
19.904352366,19,954352367
19.954352367,20,4352368
20.054352369,20,54352369
20.104352369,20,104352369
20.15435237,20,154352370
20.204352371,20,204352371
20.254352372,20,254352372
20.304352372,20,304352372
20.354352373,20,354352373
20.404352374,20,404352374
20.454352375,20,454352375
20.504352375,20,504352375
20.554352376,20,554352376
20.604352377,20,604352377
20.654352378,20,654352378
20.704352378,20,704352378
20.754352379,20,754352379
20.80435238,20,804352380
20.854352381,20,854352381
20.904352381,20,904352381
20.954352382,20,954352382
20.954352382,21,4352383
21.054352384,21,54352384
21.054352384,21,104352384
21.154352385,21,154352385
21.204352386,21,204352386
21.254352387,21,254352387
21.304352387,21,304352387
21.354352388,21,354352388
21.404352389,21,404352389
21.45435239,21,454352390
21.50435239,21,504352390
21.554352391,21,554352391
21.604352392,21,604352392
21.654352393,21,654352393
21.704352393,21,704352393
21.754352394,21,754352394
21.804352395,21,804352395
21.854352395,21,854352395
21.904352396,21,904352396
21.954352397,21,954352397
22.004352398,22,4352398
22.054352398,22,54352398
22.104352399,22,104352399
22.104352399,22,154352400
22.204352401,22,204352401
22.254352401,22,254352401
22.304352402,22,304352402
22.354352403,22,354352403
22.404352404,22,404352404
22.454352404,22,454352404
22.504352405,22,504352405
22.554352406,22,554352406
22.604352407,22,604352407
22.654352407,22,654352407
22.704352408,22,704352408
22.754352409,22,754352409
22.80435241,22,804352410
22.85435241,22,854352410
22.904352411,22,904352411
22.954352412,22,954352412
23.004352413,23,4352413
23.054352413,23,54352413
23.104352414,23,104352414
23.154352415,23,154352415
23.204352416,23,204352416
23.254352416,23,254352416
23.304352417,23,304352417
23.354352418,23,354352418
23.404352419,23,404352419
23.454352419,23,454352419
23.50435242,23,504352420
23.554352421,23,554352421
23.604352422,23,604352422
23.604352422,23,654352422
23.704352423,23,704352423
23.704352423,23,754352424
23.804352425,23,804352425
23.854352425000002,23,854352425
23.904352426,23,904352426
23.954352427,23,954352427
24.004352428,24,4352428
24.054352428,24,54352428
24.104352429,24,104352429
24.15435243,24,154352430
24.20435243,24,204352430
24.254352431,24,254352431
24.304352432,24,304352432
24.354352433,24,354352433
24.404352433,24,404352433
24.454352434,24,454352434
24.504352435,24,504352435
24.554352436,24,554352436
24.604352436,24,604352436
24.604352436,24,654352437
24.704352438,24,704352438
24.754352439,24,754352439
24.804352439,24,804352439
24.85435244,24,854352440
24.904352441,24,904352441
24.954352442,24,954352442
