Time,clock.secs,clock.nsecs
16.811553321,16,811553321
16.861553322,16,861553322
16.911553323,16,911553323
16.961553324,16,961553324
17.011553324,17,11553324
17.061553325,17,61553325
17.061553325,17,111553326
17.161553326,17,161553326
17.211553327,17,211553327
17.261553328,17,261553328
17.261553328,17,311553329
17.361553329,17,361553329
17.41155333,17,411553330
17.461553331,17,461553331
17.511553332,17,511553332
17.561553332,17,561553332
17.611553333,17,611553333
17.661553334,17,661553334
17.711553335,17,711553335
17.761553335,17,761553335
17.811553336,17,811553336
17.861553337,17,861553337
17.911553338,17,911553338
17.961553338,17,961553338
18.011553339,18,11553339
18.06155334,18,61553340
18.111553341,18,111553341
18.161553341,18,161553341
18.161553341,18,211553342
18.261553343,18,261553343
18.311553344,18,311553344
18.361553344,18,361553344
18.411553345,18,411553345
18.461553346,18,461553346
18.511553347,18,511553347
18.561553347,18,561553347
18.611553348,18,611553348
18.661553349000002,18,661553349
18.661553349000002,18,711553350
18.76155335,18,761553350
18.76155335,18,811553351
18.861553352,18,861553352
18.911553353,18,911553353
18.961553353,18,961553353
19.011553354,19,11553354
19.061553355,19,61553355
19.061553355,19,111553356
19.111553356,19,161553356
19.211553357,19,211553357
19.211553357,19,261553358
19.311553359,19,311553359
19.311553359,19,361553359
19.41155336,19,411553360
19.461553361,19,461553361
19.511553362,19,511553362
19.561553362,19,561553362
19.561553362,19,611553363
19.661553364,19,661553364
19.711553364,19,711553364
19.761553365,19,761553365
19.761553365,19,811553366
19.861553367,19,861553367
19.911553367,19,911553367
19.961553368,19,961553368
20.011553369,20,11553369
20.06155337,20,61553370
20.11155337,20,111553370
20.11155337,20,161553371
20.211553372,20,211553372
20.261553373,20,261553373
20.311553373,20,311553373
20.361553374,20,361553374
20.411553375,20,411553375
20.411553375,20,461553376
20.511553376,20,511553376
20.561553377,20,561553377
20.611553378,20,611553378
20.661553379,20,661553379
20.711553379,20,711553379
20.76155338,20,761553380
20.76155338,20,811553381
20.861553382,20,861553382
20.911553382,20,911553382
20.961553383000002,20,961553383
21.011553384,21,11553384
21.061553385,21,61553385
21.111553385,21,111553385
21.161553386,21,161553386
21.211553387,21,211553387
21.261553388,21,261553388
21.311553388,21,311553388
21.361553389,21,361553389
21.41155339,21,411553390
21.461553391,21,461553391
21.511553391,21,511553391
21.561553392,21,561553392
21.611553393,21,611553393
21.661553394,21,661553394
21.711553394,21,711553394
21.761553395,21,761553395
21.811553396,21,811553396
21.861553397,21,861553397
21.911553397,21,911553397
21.961553398,21,961553398
22.011553399,22,11553399
22.0615534,22,61553400
22.1115534,22,111553400
22.161553401,22,161553401
22.211553402,22,211553402
22.261553402,22,261553402
22.311553403,22,311553403
22.361553404,22,361553404
22.411553405,22,411553405
22.461553405,22,461553405
22.511553406,22,511553406
22.561553407,22,561553407
22.611553408,22,611553408
22.661553408,22,661553408
22.711553409,22,711553409
22.76155341,22,761553410
22.811553411,22,811553411
22.861553411,22,861553411
22.911553412,22,911553412
22.961553413,22,961553413
23.011553414,23,11553414
23.011553414,23,61553414
23.111553415,23,111553415
23.161553416,23,161553416
23.211553417,23,211553417
23.261553417000002,23,261553417
23.311553418,23,311553418
23.361553419,23,361553419
23.41155342,23,411553420
23.46155342,23,461553420
23.511553421,23,511553421
23.561553422,23,561553422
23.611553423,23,611553423
23.661553423,23,661553423
23.711553424,23,711553424
23.761553425,23,761553425
23.811553426,23,811553426
23.861553426,23,861553426
23.911553427,23,911553427
23.961553428,23,961553428
24.011553429,24,11553429
24.061553429,24,61553429
24.11155343,24,111553430
24.161553431,24,161553431
24.211553432,24,211553432
24.211553432,24,261553432
24.311553433,24,311553433
24.361553434,24,361553434
24.411553435,24,411553435
24.461553435,24,461553435
24.511553436,24,511553436
24.561553437,24,561553437
24.611553438,24,611553438
24.661553438,24,661553438
24.711553439,24,711553439
24.76155344,24,761553440
24.81155344,24,811553440
24.861553441,24,861553441
24.911553442,24,911553442
24.961553443,24,961553443
24.961553443,25,11553443
25.061553444,25,61553444
25.111553445,25,111553445
25.161553446,25,161553446
25.211553446,25,211553446
25.261553447,25,261553447
25.311553448,25,311553448
25.361553449,25,361553449
25.411553449,25,411553449
25.46155345,25,461553450
25.511553451,25,511553451
25.561553452,25,561553452
25.611553452,25,611553452
25.611553452,25,661553453
25.711553454,25,711553454
25.761553455,25,761553455
25.811553455,25,811553455
25.861553456,25,861553456
25.911553457,25,911553457
25.961553458,25,961553458
26.011553458,26,11553458
26.061553459,26,61553459
26.061553459,26,111553460
26.161553461,26,161553461
26.211553461,26,211553461
26.261553462,26,261553462
26.311553463,26,311553463
26.361553464,26,361553464
26.411553464,26,411553464
26.461553465,26,461553465
26.461553465,26,511553466
26.561553467,26,561553467
26.611553467,26,611553467
26.661553468,26,661553468
26.711553469000002,26,711553469
26.76155347,26,761553470
26.81155347,26,811553470
26.861553471,26,861553471
26.911553472,26,911553472
26.961553473,26,961553473
26.961553473,27,11553473
27.061553474,27,61553474
27.111553475,27,111553475
27.161553476,27,161553476
27.211553476,27,211553476
27.261553477,27,261553477
27.311553478,27,311553478
27.361553478,27,361553478
27.411553479,27,411553479
27.46155348,27,461553480
27.511553481,27,511553481
27.561553481,27,561553481
27.611553482,27,611553482
27.661553483,27,661553483
27.711553484,27,711553484
27.761553484,27,761553484
27.811553485,27,811553485
27.861553486,27,861553486
27.911553487,27,911553487
27.961553487,27,961553487
28.011553488,28,11553488
28.061553489,28,61553489
28.11155349,28,111553490
28.16155349,28,161553490
28.211553491,28,211553491
28.261553492,28,261553492
28.311553493,28,311553493
28.361553493,28,361553493
28.411553494,28,411553494
28.461553495,28,461553495
28.511553496,28,511553496
28.561553496,28,561553496
28.611553497,28,611553497
28.661553498,28,661553498
28.711553499,28,711553499
28.761553499,28,761553499
28.8115535,28,811553500
28.861553501,28,861553501
28.911553502,28,911553502
28.961553502,28,961553502
29.011553503,29,11553503
29.011553503,29,61553504
29.111553505,29,111553505
29.161553505,29,161553505
29.211553506,29,211553506
29.261553507,29,261553507
29.311553508,29,311553508
29.361553508,29,361553508
29.361553508,29,411553509
29.46155351,29,461553510
29.511553511,29,511553511
29.561553511,29,561553511
29.611553512,29,611553512
29.661553513,29,661553513
29.711553514,29,711553514
29.761553514,29,761553514
29.811553515,29,811553515
29.861553516,29,861553516
29.911553516,29,911553516
29.961553517,29,961553517
30.011553518,30,11553518
30.011553518,30,61553519
30.111553519,30,111553519
30.16155352,30,161553520
30.211553521,30,211553521
30.261553522,30,261553522
30.311553522,30,311553522
30.311553522,30,361553523
30.411553524,30,411553524
30.461553525,30,461553525
30.511553525,30,511553525
30.561553526,30,561553526
30.611553527,30,611553527
30.611553527,30,661553528
30.711553528,30,711553528
30.761553529,30,761553529
30.81155353,30,811553530
30.861553531,30,861553531
30.911553531,30,911553531
30.961553532,30,961553532
31.011553533,31,11553533
31.061553534,31,61553534
31.111553534,31,111553534
31.161553535,31,161553535
31.211553536,31,211553536
31.261553537,31,261553537
31.311553537,31,311553537
31.361553538,31,361553538
31.411553539,31,411553539
31.46155354,31,461553540
31.51155354,31,511553540
31.561553541,31,561553541
31.611553542,31,611553542
31.661553543,31,661553543
31.711553543,31,711553543
31.711553543,31,761553544
31.811553545,31,811553545
31.861553546,31,861553546
31.911553546,31,911553546
31.961553547,31,961553547
32.011553548,32,11553548
32.061553549,32,61553549
32.061553549,32,111553549
32.16155355,32,161553550
32.211553551,32,211553551
32.261553552,32,261553552
32.311553552,32,311553552
32.361553553,32,361553553
32.411553554,32,411553554
32.411553554,32,461553554
32.511553555,32,511553555
32.561553556,32,561553556
32.611553557,32,611553557
32.661553557,32,661553557
32.711553558,32,711553558
32.761553559,32,761553559
32.81155356,32,811553560
32.86155356,32,861553560
32.911553561,32,911553561
32.961553562,32,961553562
33.011553563,33,11553563
33.061553563,33,61553563
33.061553563,33,111553564
33.161553565,33,161553565
33.211553566,33,211553566
33.261553566,33,261553566
33.311553567,33,311553567
33.361553568,33,361553568
33.411553569,33,411553569
33.461553569,33,461553569
33.51155357,33,511553570
33.561553571,33,561553571
33.611553572,33,611553572
33.661553572,33,661553572
33.711553573,33,711553573
33.761553574,33,761553574
33.811553575,33,811553575
33.861553575,33,861553575
33.911553576,33,911553576
33.961553577000004,33,961553577
34.011553578,34,11553578
34.061553578,34,61553578
34.111553579,34,111553579
34.16155358,34,161553580
34.211553581,34,211553581
34.211553581,34,261553581
34.311553582,34,311553582
34.361553583,34,361553583
34.411553584,34,411553584
34.411553584,34,461553584
34.511553585,34,511553585
34.561553586,34,561553586
34.611553587,34,611553587
34.661553587,34,661553587
34.661553587,34,711553588
34.761553589,34,761553589
34.811553589,34,811553589
34.811553589,34,861553590
34.86155359,34,911553591
34.961553592,34,961553592
35.011553592,35,11553592
35.061553593,35,61553593
35.111553594,35,111553594
35.161553595,35,161553595
35.211553595,35,211553595
35.261553596,35,261553596
35.311553597,35,311553597
35.361553598,35,361553598
35.361553598,35,411553598
35.411553598,35,461553599
35.5115536,35,511553600
35.561553601,35,561553601
35.611553601,35,611553601
35.611553601,35,661553602
35.711553603,35,711553603
35.761553604,35,761553604
35.811553604,35,811553604
35.861553605,35,861553605
35.911553606,35,911553606
35.961553607,35,961553607
36.011553607,36,11553607
36.061553608,36,61553608
36.111553609,36,111553609
36.16155361,36,161553610
36.21155361,36,211553610
36.261553611,36,261553611
36.311553612,36,311553612
36.361553613,36,361553613
36.411553613,36,411553613
36.461553614,36,461553614
36.511553615,36,511553615
36.561553616,36,561553616
36.561553616,36,611553616
36.661553617,36,661553617
36.711553618,36,711553618
36.761553619,36,761553619
36.811553619,36,811553619
36.86155362,36,861553620
36.911553621,36,911553621
36.911553621,36,961553622
37.011553622,37,11553622
37.061553623,37,61553623
37.111553624,37,111553624
37.161553625,37,161553625
37.211553625,37,211553625
37.261553626,37,261553626
37.261553626,37,311553627
37.361553627,37,361553627
37.411553628,37,411553628
37.461553629,37,461553629
37.51155363,37,511553630
37.56155363,37,561553630
37.611553631,37,611553631
37.661553632,37,661553632
37.711553633,37,711553633
37.711553633,37,761553633
37.811553634,37,811553634
37.861553635,37,861553635
37.911553636,37,911553636
37.961553636,37,961553636
38.011553637,38,11553637
38.061553638,38,61553638
38.111553639,38,111553639
38.161553639,38,161553639
38.161553639,38,211553640
38.261553641,38,261553641
38.261553641,38,311553642
38.361553642,38,361553642
38.361553642,38,411553643
38.461553644,38,461553644
38.511553645,38,511553645
38.561553645000004,38,561553645
38.611553646,38,611553646
38.661553647,38,661553647
38.711553648,38,711553648
38.761553648,38,761553648
38.811553649,38,811553649
38.86155365,38,861553650
38.911553651,38,911553651
38.961553651,38,961553651
39.011553652,39,11553652
39.061553653,39,61553653
39.111553654,39,111553654
39.161553654,39,161553654
39.211553655,39,211553655
39.261553656,39,261553656
39.311553657,39,311553657
39.361553657,39,361553657
39.411553658,39,411553658
39.461553659,39,461553659
39.51155366,39,511553660
39.56155366,39,561553660
39.611553661,39,611553661
39.661553662,39,661553662
39.711553663,39,711553663
39.761553663,39,761553663
39.811553664,39,811553664
39.861553665,39,861553665
39.911553665,39,911553665
39.961553666,39,961553666
40.011553667,40,11553667
40.061553668,40,61553668
