Time,clock.secs,clock.nsecs
14.600215196,14,600215196
14.650215197,14,650215197
14.700215198,14,700215198
14.750215198,14,750215198
14.800215199,14,800215199
14.850215200000001,14,850215200
14.900215201,14,900215201
14.950215201,14,950215201
15.000215202,15,215202
15.050215203,15,50215203
15.050215203,15,100215204
15.150215204,15,150215204
15.200215205,15,200215205
15.250215206,15,250215206
15.300215207,15,300215207
15.350215207,15,350215207
15.400215208,15,400215208
15.450215209,15,450215209
15.50021521,15,500215210
15.55021521,15,550215210
15.600215211,15,600215211
15.650215211999999,15,650215212
15.700215213,15,700215213
15.750215213,15,750215213
15.800215214,15,800215214
15.850215215,15,850215215
15.900215215,15,900215215
15.950215216,15,950215216
16.000215217,16,215217
16.050215218,16,50215218
16.100215218,16,100215218
16.150215219,16,150215219
16.20021522,16,200215220
16.250215221,16,250215221
16.300215221,16,300215221
16.350215222,16,350215222
16.400215223,16,400215223
16.450215224,16,450215224
16.500215224,16,500215224
16.550215225,16,550215225
16.600215226,16,600215226
16.650215227,16,650215227
16.700215227,16,700215227
16.750215228000002,16,750215228
16.800215229,16,800215229
16.85021523,16,850215230
16.90021523,16,900215230
16.950215231,16,950215231
17.000215232,17,215232
17.050215233,17,50215233
17.100215233,17,100215233
17.100215233,17,150215234
17.150215234,17,200215235
17.250215236,17,250215236
17.250215236,17,300215236
17.350215237,17,350215237
17.400215238,17,400215238
17.450215239,17,450215239
17.500215239,17,500215239
17.55021524,17,550215240
17.600215241,17,600215241
17.650215242,17,650215242
17.700215242,17,700215242
17.750215243,17,750215243
17.800215244,17,800215244
17.850215245,17,850215245
17.900215245,17,900215245
17.950215246,17,950215246
18.000215247,18,215247
18.000215247,18,50215248
18.100215248,18,100215248
18.150215249,18,150215249
18.20021525,18,200215250
18.25021525,18,250215250
18.300215251,18,300215251
18.350215252,18,350215252
18.350215252,18,400215253
18.450215253,18,450215253
18.450215253,18,500215254
18.550215255,18,550215255
18.550215255,18,600215256
18.650215256,18,650215256
18.700215257,18,700215257
18.750215258,18,750215258
18.750215258,18,800215259
18.850215259,18,850215259
18.850215259,18,900215260
18.950215261,18,950215261
19.000215262,19,215262
19.050215262,19,50215262
19.100215263,19,100215263
19.150215264,19,150215264
19.150215264,19,200215265
19.250215265,19,250215265
19.250215265,19,300215266
19.350215267,19,350215267
19.400215268,19,400215268
19.450215268,19,450215268
19.500215269,19,500215269
19.500215269,19,550215270
19.600215271,19,600215271
19.650215271,19,650215271
19.700215272,19,700215272
19.750215273,19,750215273
19.800215274,19,800215274
19.850215274,19,850215274
19.900215275,19,900215275
19.900215275,19,950215276
20.000215277,20,215277
20.050215277,20,50215277
20.050215277,20,100215278
20.150215279,20,150215279
20.20021528,20,200215280
20.25021528,20,250215280
20.25021528,20,300215281
20.350215282,20,350215282
20.400215283,20,400215283
20.450215283,20,450215283
20.500215284,20,500215284
20.550215285,20,550215285
20.550215285,20,600215286
20.650215286,20,650215286
20.650215286,20,700215287
20.750215288,20,750215288
20.800215288,20,800215288
20.850215289,20,850215289
20.90021529,20,900215290
20.950215291,20,950215291
21.000215291,21,215291
21.000215291,21,50215292
21.100215293,21,100215293
21.150215294,21,150215294
21.200215294,21,200215294
21.250215295,21,250215295
21.300215296,21,300215296
21.350215297,21,350215297
21.400215297,21,400215297
21.450215298,21,450215298
21.500215299,21,500215299
21.5502153,21,550215300
21.6002153,21,600215300
21.650215301,21,650215301
21.700215302,21,700215302
21.700215302,21,750215303
21.800215303,21,800215303
21.850215304,21,850215304
21.900215305,21,900215305
21.950215306,21,950215306
22.000215306,22,215306
22.050215307,22,50215307
22.100215308,22,100215308
22.150215309,22,150215309
22.200215309,22,200215309
22.25021531,22,250215310
22.300215311,22,300215311
22.350215312,22,350215312
22.400215312,22,400215312
22.450215313,22,450215313
22.500215314000002,22,500215314
22.550215315,22,550215315
22.600215315,22,600215315
22.650215316,22,650215316
22.700215317,22,700215317
22.750215318,22,750215318
22.750215318,22,800215318
22.850215319,22,850215319
22.90021532,22,900215320
22.950215321,22,950215321
23.000215321,23,215321
23.050215322,23,50215322
23.100215323,23,100215323
23.150215324,23,150215324
23.200215324,23,200215324
23.250215325,23,250215325
23.300215326,23,300215326
23.300215326,23,350215326
23.400215327,23,400215327
23.450215328,23,450215328
23.500215329,23,500215329
23.550215329,23,550215329
23.60021533,23,600215330
23.650215331,23,650215331
23.700215332,23,700215332
23.750215332,23,750215332
23.750215332,23,800215333
23.850215334,23,850215334
23.900215335,23,900215335
23.950215335,23,950215335
24.000215336,24,215336
24.050215337,24,50215337
24.100215338,24,100215338
24.150215338,24,150215338
24.200215339,24,200215339
24.25021534,24,250215340
24.300215341,24,300215341
24.350215341,24,350215341
24.400215342,24,400215342
24.450215343,24,450215343
24.450215343,24,500215344
24.550215344,24,550215344
24.600215345,24,600215345
24.650215346,24,650215346
24.700215347,24,700215347
24.750215347,24,750215347
24.800215348000002,24,800215348
24.850215349,24,850215349
24.90021535,24,900215350
24.95021535,24,950215350
25.000215351,25,215351
25.050215352,25,50215352
25.100215353,25,100215353
25.150215353,25,150215353
25.200215354,25,200215354
25.250215355,25,250215355
25.250215355,25,300215356
25.350215356,25,350215356
25.350215356,25,400215357
25.450215358,25,450215358
25.500215359,25,500215359
25.550215359,25,550215359
25.60021536,25,600215360
25.650215361,25,650215361
25.700215362,25,700215362
25.750215362,25,750215362
25.750215362,25,800215363
25.850215364,25,850215364
25.900215364,25,900215364
25.950215365,25,950215365
26.000215366,26,215366
26.050215367,26,50215367
26.100215367,26,100215367
26.150215368,26,150215368
26.200215369,26,200215369
26.25021537,26,250215370
26.30021537,26,300215370
26.350215371,26,350215371
26.400215372,26,400215372
26.450215373,26,450215373
26.500215373,26,500215373
26.550215374,26,550215374
26.600215375,26,600215375
26.650215376,26,650215376
26.700215376,26,700215376
26.750215377,26,750215377
26.800215378,26,800215378
26.800215378,26,850215379
26.900215379,26,900215379
26.95021538,26,950215380
27.000215381,27,215381
27.050215382,27,50215382
27.100215382,27,100215382
27.150215383,27,150215383
27.200215384,27,200215384
27.250215385,27,250215385
27.300215385,27,300215385
27.300215385,27,350215386
27.400215387,27,400215387
27.450215388,27,450215388
27.500215388,27,500215388
27.550215389,27,550215389
27.550215389,27,600215390
27.650215391,27,650215391
27.700215391,27,700215391
27.750215392,27,750215392
27.800215393,27,800215393
27.850215394,27,850215394
27.900215394,27,900215394
27.950215395,27,950215395
28.000215396,28,215396
28.050215397,28,50215397
28.100215397,28,100215397
28.150215398,28,150215398
28.200215399,28,200215399
28.2502154,28,250215400
28.3002154,28,300215400
28.350215401,28,350215401
28.350215401,28,400215402
28.450215402,28,450215402
28.500215403,28,500215403
28.550215404,28,550215404
28.600215405,28,600215405
28.650215405,28,650215405
28.700215406,28,700215406
28.750215407,28,750215407
28.800215408,28,800215408
28.800215408,28,850215408
28.900215409,28,900215409
28.95021541,28,950215410
29.000215411,29,215411
29.050215411,29,50215411
29.100215412,29,100215412
29.150215413,29,150215413
29.150215413,29,200215414
29.250215414,29,250215414
29.300215415,29,300215415
29.350215416,29,350215416
29.400215417,29,400215417
29.450215417,29,450215417
29.500215418,29,500215418
29.550215419,29,550215419
29.60021542,29,600215420
29.65021542,29,650215420
29.700215421,29,700215421
29.750215422,29,750215422
29.800215423,29,800215423
29.850215423,29,850215423
29.900215424,29,900215424
29.950215425,29,950215425
29.950215425,30,215426
30.050215426,30,50215426
30.100215427,30,100215427
30.150215428,30,150215428
30.200215429,30,200215429
30.250215429,30,250215429
30.30021543,30,300215430
30.350215431,30,350215431
30.350215431,30,400215432
30.450215432,30,450215432
30.500215433,30,500215433
30.550215434000002,30,550215434
30.600215435,30,600215435
30.650215435,30,650215435
30.700215436,30,700215436
30.750215437,30,750215437
30.800215438,30,800215438
30.850215438,30,850215438
30.900215439,30,900215439
30.95021544,30,950215440
31.00021544,31,215440
31.050215441,31,50215441
31.050215441,31,100215442
31.150215443,31,150215443
31.200215443,31,200215443
31.250215444,31,250215444
31.300215445,31,300215445
31.350215446,31,350215446
31.350215446,31,400215446
31.450215447,31,450215447
31.500215448,31,500215448
31.550215449,31,550215449
31.600215449,31,600215449
31.65021545,31,650215450
31.700215451,31,700215451
31.700215451,31,750215452
31.800215452,31,800215452
31.850215453,31,850215453
31.900215454,31,900215454
31.950215455,31,950215455
32.000215455,32,215455
32.050215456,32,50215456
32.100215457,32,100215457
32.100215457,32,150215458
32.200215458,32,200215458
32.250215459,32,250215459
32.30021546,32,300215460
32.350215461,32,350215461
32.350215461,32,400215461
32.450215462,32,450215462
32.500215463,32,500215463
32.550215464,32,550215464
32.600215464,32,600215464
32.650215465,32,650215465
32.700215466,32,700215466
32.750215467,32,750215467
32.750215467,32,800215467
32.850215468,32,850215468
32.900215469,32,900215469
32.95021547,32,950215470
33.00021547,33,215470
33.050215471,33,50215471
33.100215472,33,100215472
33.150215473,33,150215473
33.200215473,33,200215473
33.250215474,33,250215474
33.300215475,33,300215475
33.350215476,33,350215476
33.350215476,33,400215476
33.450215477,33,450215477
33.500215478,33,500215478
33.550215478,33,550215478
33.600215479,33,600215479
33.65021548,33,650215480
33.700215481,33,700215481
33.700215481,33,750215481
