Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
24.53260561,1,24,532605610,ego_vehicle/lane_invasion,1
24.932605616,2,24,932605616,ego_vehicle/lane_invasion,1
24.982605617,3,24,982605617,ego_vehicle/lane_invasion,10
25.482605624,4,25,482605624,ego_vehicle/lane_invasion,10
121.18260705,5,121,182607050,ego_vehicle/lane_invasion,1
121.582607056,6,121,582607056,ego_vehicle/lane_invasion,1
129.18260717,7,129,182607170,ego_vehicle/lane_invasion,1
129.582607176,8,129,582607176,ego_vehicle/lane_invasion,1
129.632607176,9,129,632607176,ego_vehicle/lane_invasion,10
130.032607182,10,130,32607182,ego_vehicle/lane_invasion,10
