Time,clock.secs,clock.nsecs
18.182605516,18,182605516
18.232605516,18,232605516
18.282605517,18,282605517
18.332605518,18,332605518
18.382605519,18,382605519
18.432605519,18,432605519
18.48260552,18,482605520
18.532605521,18,532605521
18.582605522,18,582605522
18.632605522,18,632605522
18.682605523,18,682605523
18.732605524,18,732605524
18.782605525,18,782605525
18.832605525,18,832605525
18.882605526,18,882605526
18.932605527,18,932605527
18.982605528,18,982605528
19.032605528,19,32605528
19.082605529,19,82605529
19.13260553,19,132605530
19.13260553,19,182605531
19.232605531,19,232605531
19.282605532,19,282605532
19.332605533,19,332605533
19.382605534,19,382605534
19.432605534,19,432605534
19.482605535,19,482605535
19.532605536,19,532605536
19.582605537,19,582605537
19.632605537,19,632605537
19.682605538,19,682605538
19.732605539,19,732605539
19.78260554,19,782605540
19.83260554,19,832605540
19.882605541,19,882605541
19.932605542,19,932605542
19.982605542,19,982605542
20.032605543,20,32605543
20.082605544,20,82605544
20.082605544,20,132605545
20.182605545,20,182605545
20.232605546,20,232605546
20.282605547,20,282605547
20.332605548,20,332605548
20.382605548,20,382605548
20.432605549,20,432605549
20.48260555,20,482605550
20.532605551,20,532605551
20.582605551,20,582605551
20.632605552,20,632605552
20.682605553,20,682605553
20.682605553,20,732605554
20.782605554,20,782605554
20.832605555,20,832605555
20.882605556,20,882605556
20.932605557,20,932605557
20.982605557,20,982605557
21.032605558,21,32605558
21.082605559,21,82605559
21.132605560000002,21,132605560
21.18260556,21,182605560
21.232605561,21,232605561
21.282605562,21,282605562
21.332605563,21,332605563
21.382605563,21,382605563
21.432605564,21,432605564
21.482605565,21,482605565
21.532605566,21,532605566
21.582605566,21,582605566
21.632605567,21,632605567
21.682605568,21,682605568
21.732605569,21,732605569
21.782605569,21,782605569
21.83260557,21,832605570
21.882605571,21,882605571
21.932605572,21,932605572
21.982605572,21,982605572
22.032605573,22,32605573
22.082605574,22,82605574
22.132605575,22,132605575
22.132605575,22,182605575
22.182605575,22,232605576
22.282605576999998,22,282605577
22.332605578,22,332605578
22.382605578,22,382605578
22.432605579,22,432605579
22.48260558,22,482605580
22.53260558,22,532605580
22.582605581,22,582605581
22.632605582,22,632605582
22.682605583,22,682605583
22.732605583,22,732605583
22.782605584,22,782605584
22.832605585,22,832605585
22.882605586,22,882605586
22.932605586,22,932605586
22.982605587000002,22,982605587
23.032605588,23,32605588
23.082605589,23,82605589
23.132605589,23,132605589
23.18260559,23,182605590
23.232605591,23,232605591
23.282605592,23,282605592
23.332605592,23,332605592
23.382605593,23,382605593
23.432605594,23,432605594
23.432605594,23,482605595
23.532605595,23,532605595
23.582605596,23,582605596
23.632605597,23,632605597
23.632605597,23,682605598
23.732605598,23,732605598
23.732605598,23,782605599
23.8326056,23,832605600
23.882605601,23,882605601
23.932605601,23,932605601
23.982605602,23,982605602
24.032605603,24,32605603
24.082605604,24,82605604
24.132605604,24,132605604
24.182605605,24,182605605
24.232605606,24,232605606
24.282605607,24,282605607
24.332605607,24,332605607
24.382605608,24,382605608
24.432605609,24,432605609
24.48260561,24,482605610
24.53260561,24,532605610
24.582605611,24,582605611
24.632605612,24,632605612
24.682605613,24,682605613
24.732605613,24,732605613
24.782605614,24,782605614
24.832605615,24,832605615
24.882605616,24,882605616
24.932605616,24,932605616
24.982605617,24,982605617
25.032605618,25,32605618
25.082605618,25,82605618
25.132605619,25,132605619
25.18260562,25,182605620
25.232605621,25,232605621
25.282605621,25,282605621
25.332605622,25,332605622
25.382605623,25,382605623
25.432605624,25,432605624
25.482605624,25,482605624
25.532605625,25,532605625
25.582605626,25,582605626
25.632605627,25,632605627
25.682605627,25,682605627
25.732605628,25,732605628
25.782605629,25,782605629
25.83260563,25,832605630
25.88260563,25,882605630
25.932605631,25,932605631
25.932605631,25,982605632
26.032605633,26,32605633
26.082605633,26,82605633
26.132605634,26,132605634
26.182605635,26,182605635
26.232605636,26,232605636
26.282605636,26,282605636
26.332605637,26,332605637
26.382605638,26,382605638
26.432605639,26,432605639
26.482605639,26,482605639
26.53260564,26,532605640
26.582605641,26,582605641
26.632605642,26,632605642
26.632605642,26,682605642
26.732605643,26,732605643
26.782605644,26,782605644
26.832605645,26,832605645
26.882605645,26,882605645
26.932605646,26,932605646
26.982605647,26,982605647
27.032605648,27,32605648
27.082605648,27,82605648
27.132605649,27,132605649
27.18260565,27,182605650
27.232605651,27,232605651
27.282605651,27,282605651
27.332605652,27,332605652
27.382605653,27,382605653
27.432605654,27,432605654
27.482605654,27,482605654
27.532605655,27,532605655
27.582605656,27,582605656
27.632605656,27,632605656
27.682605657,27,682605657
27.732605658,27,732605658
27.782605659,27,782605659
27.782605659,27,832605659
27.88260566,27,882605660
27.932605661,27,932605661
27.982605662,27,982605662
28.032605662,28,32605662
28.082605663,28,82605663
28.132605664,28,132605664
28.182605665,28,182605665
28.232605665,28,232605665
28.282605666,28,282605666
28.332605667,28,332605667
28.382605668,28,382605668
28.432605668,28,432605668
28.482605669,28,482605669
28.482605669,28,532605670
28.582605671,28,582605671
28.632605671,28,632605671
28.682605672,28,682605672
28.732605673,28,732605673
28.782605674,28,782605674
28.832605674,28,832605674
28.832605674,28,882605675
28.932605676,28,932605676
28.982605677,28,982605677
29.032605677,29,32605677
29.082605678,29,82605678
29.132605679,29,132605679
29.18260568,29,182605680
29.18260568,29,232605680
29.23260568,29,282605681
29.332605682,29,332605682
29.382605683,29,382605683
29.432605683,29,432605683
29.482605684,29,482605684
29.532605685,29,532605685
29.582605686,29,582605686
29.632605686,29,632605686
29.682605687,29,682605687
29.732605688,29,732605688
29.782605689,29,782605689
29.832605689,29,832605689
29.88260569,29,882605690
29.932605691,29,932605691
29.982605691,29,982605691
30.032605692,30,32605692
30.082605693,30,82605693
30.132605694,30,132605694
30.182605694,30,182605694
30.232605695,30,232605695
30.282605696,30,282605696
30.332605697,30,332605697
30.382605697,30,382605697
30.432605698,30,432605698
30.482605699,30,482605699
30.5326057,30,532605700
30.5826057,30,582605700
30.632605701,30,632605701
30.682605702,30,682605702
30.732605703,30,732605703
30.782605703,30,782605703
30.832605704,30,832605704
30.882605705,30,882605705
30.932605706,30,932605706
30.982605706,30,982605706
31.032605707,31,32605707
31.082605708,31,82605708
31.132605709,31,132605709
31.182605709,31,182605709
31.23260571,31,232605710
31.282605711,31,282605711
31.332605712,31,332605712
31.382605712,31,382605712
31.432605713,31,432605713
31.482605714,31,482605714
31.532605715,31,532605715
31.582605715,31,582605715
31.632605716,31,632605716
31.682605717,31,682605717
31.732605718,31,732605718
31.782605718,31,782605718
31.832605719,31,832605719
31.88260572,31,882605720
31.932605721,31,932605721
31.932605721,31,982605721
32.032605722,32,32605722
32.082605723,32,82605723
32.132605724,32,132605724
32.182605724,32,182605724
32.232605725,32,232605725
32.282605726,32,282605726
32.332605727,32,332605727
32.382605727,32,382605727
32.432605728,32,432605728
32.482605729,32,482605729
32.532605729,32,532605729
32.58260573,32,582605730
32.632605731,32,632605731
32.682605732,32,682605732
32.732605732,32,732605732
32.782605733,32,782605733
32.832605734,32,832605734
32.832605734,32,882605735
32.932605735,32,932605735
32.982605736,32,982605736
33.032605737,33,32605737
33.082605738,33,82605738
33.132605738,33,132605738
33.182605739,33,182605739
33.23260574,33,232605740
33.23260574,33,282605741
33.332605741,33,332605741
33.382605742,33,382605742
33.432605743,33,432605743
33.482605744,33,482605744
33.532605744,33,532605744
33.582605745,33,582605745
33.582605745,33,632605746
33.682605747,33,682605747
33.732605747,33,732605747
33.782605748,33,782605748
33.832605749,33,832605749
33.88260575,33,882605750
33.93260575,33,932605750
33.982605751,33,982605751
33.982605751,34,32605752
34.082605753,34,82605753
34.082605753,34,132605753
34.182605754,34,182605754
34.232605755,34,232605755
34.282605756,34,282605756
34.332605756,34,332605756
34.382605757,34,382605757
34.432605758,34,432605758
34.482605759,34,482605759
34.532605759,34,532605759
34.58260576,34,582605760
34.632605761,34,632605761
34.682605762,34,682605762
34.732605762,34,732605762
34.782605763,34,782605763
34.832605764,34,832605764
34.882605765,34,882605765
34.932605765,34,932605765
34.982605766,34,982605766
35.032605767,35,32605767
35.082605767,35,82605767
35.132605768,35,132605768
35.182605769,35,182605769
35.182605769,35,232605770
35.28260577,35,282605770
35.332605771,35,332605771
35.382605772,35,382605772
35.432605773,35,432605773
35.482605773,35,482605773
35.482605773,35,532605774
35.582605775,35,582605775
35.632605776,35,632605776
