Time,clock.secs,clock.nsecs
20.076353099,20,76353099
20.126353099,20,126353099
20.126353099,20,176353100
20.226353101,20,226353101
20.276353102,20,276353102
20.326353102,20,326353102
20.376353103,20,376353103
20.426353104,20,426353104
20.476353105,20,476353105
20.476353105,20,526353105
20.576353106,20,576353106
20.626353107,20,626353107
20.676353108,20,676353108
20.726353108,20,726353108
20.776353109,20,776353109
20.82635311,20,826353110
20.876353111,20,876353111
20.926353111,20,926353111
20.976353112,20,976353112
21.026353113,21,26353113
21.076353114,21,76353114
21.076353114,21,126353114
21.176353115,21,176353115
21.226353116,21,226353116
21.276353117,21,276353117
21.276353117,21,326353117
21.376353118,21,376353118
21.426353119,21,426353119
21.47635312,21,476353120
21.52635312,21,526353120
21.576353121,21,576353121
21.626353122,21,626353122
21.676353123,21,676353123
21.726353123,21,726353123
21.776353124,21,776353124
21.826353125,21,826353125
21.876353126,21,876353126
21.926353126,21,926353126
21.976353127,21,976353127
22.026353128,22,26353128
22.076353128,22,76353128
22.076353128,22,126353129
22.126353129,22,176353130
22.226353131,22,226353131
22.276353131,22,276353131
22.276353131,22,326353132
22.376353133,22,376353133
22.426353134,22,426353134
22.476353134,22,476353134
22.526353135,22,526353135
22.576353136,22,576353136
22.626353137,22,626353137
22.676353137,22,676353137
22.726353138,22,726353138
22.776353139,22,776353139
22.82635314,22,826353140
22.87635314,22,876353140
22.926353141,22,926353141
22.976353142,22,976353142
23.026353143,23,26353143
23.076353143,23,76353143
23.126353144,23,126353144
23.126353144,23,176353145
23.226353146,23,226353146
23.276353146,23,276353146
23.276353146,23,326353147
23.326353147,23,376353148
23.426353149,23,426353149
23.476353149,23,476353149
23.52635315,23,526353150
23.576353151,23,576353151
23.626353152,23,626353152
23.676353152,23,676353152
23.726353153,23,726353153
23.726353153,23,776353154
23.776353154,23,826353155
23.876353155,23,876353155
23.926353156,23,926353156
23.976353157,23,976353157
24.026353158,24,26353158
24.076353158,24,76353158
24.126353159,24,126353159
24.17635316,24,176353160
24.226353161,24,226353161
24.276353161,24,276353161
24.326353162,24,326353162
24.376353163,24,376353163
