Time,clock.secs,clock.nsecs
19.233934062,19,233934062
19.283934062,19,283934062
19.333934063,19,333934063
19.383934064,19,383934064
19.433934065,19,433934065
19.483934065,19,483934065
19.483934065,19,533934066
19.583934067,19,583934067
19.633934068,19,633934068
19.683934068,19,683934068
19.683934068,19,733934069
19.78393407,19,783934070
19.833934071,19,833934071
19.883934071,19,883934071
19.933934072,19,933934072
19.983934073,19,983934073
20.033934073,20,33934073
20.083934074,20,83934074
20.133934075,20,133934075
20.183934076,20,183934076
20.233934076,20,233934076
20.283934077,20,283934077
20.333934078,20,333934078
20.383934079,20,383934079
20.433934079,20,433934079
20.48393408,20,483934080
20.533934081,20,533934081
20.583934082,20,583934082
20.633934082,20,633934082
20.683934083,20,683934083
20.733934084,20,733934084
20.783934085,20,783934085
20.833934085,20,833934085
20.833934085,20,883934086
20.933934087,20,933934087
20.983934088,20,983934088
21.033934088,21,33934088
21.083934089,21,83934089
21.13393409,21,133934090
21.183934091,21,183934091
21.233934091,21,233934091
21.283934092,21,283934092
21.333934093,21,333934093
21.333934093,21,383934094
21.433934094,21,433934094
21.483934095,21,483934095
21.533934096,21,533934096
21.583934097,21,583934097
21.633934097,21,633934097
21.683934098,21,683934098
21.733934099,21,733934099
21.7839341,21,783934100
21.8339341,21,833934100
21.883934101,21,883934101
21.933934102,21,933934102
21.983934103,21,983934103
22.033934103,22,33934103
22.083934104,22,83934104
22.133934105,22,133934105
22.183934106,22,183934106
22.233934106,22,233934106
22.283934107,22,283934107
22.333934108,22,333934108
22.383934109,22,383934109
22.383934109,22,433934109
22.48393411,22,483934110
22.533934111,22,533934111
22.533934111,22,583934111
22.633934112,22,633934112
22.633934112,22,683934113
22.733934114,22,733934114
22.783934114,22,783934114
22.833934115,22,833934115
22.883934116,22,883934116
22.933934117,22,933934117
22.933934117,22,983934117
23.033934118,23,33934118
23.083934119,23,83934119
23.13393412,23,133934120
23.18393412,23,183934120
23.233934121,23,233934121
23.233934121,23,283934122
23.333934123,23,333934123
23.383934123,23,383934123
23.433934124,23,433934124
23.483934125,23,483934125
23.533934126,23,533934126
23.583934126,23,583934126
23.583934126,23,633934127
23.683934128,23,683934128
23.733934129,23,733934129
23.783934129,23,783934129
23.83393413,23,833934130
23.883934131,23,883934131
23.933934132,23,933934132
23.983934132,23,983934132
24.033934133,24,33934133
24.033934133,24,83934134
24.133934135,24,133934135
24.183934135,24,183934135
24.233934136,24,233934136
24.283934137,24,283934137
24.333934138,24,333934138
24.383934138,24,383934138
24.383934138,24,433934139
24.48393414,24,483934140
24.533934141,24,533934141
24.583934141,24,583934141
24.633934142,24,633934142
24.683934143,24,683934143
24.733934144,24,733934144
24.783934144,24,783934144
24.833934145,24,833934145
24.883934146,24,883934146
24.933934147,24,933934147
24.983934147,24,983934147
24.983934147,25,33934148
25.083934149,25,83934149
25.133934149,25,133934149
25.18393415,25,183934150
25.233934151,25,233934151
25.283934152,25,283934152
25.333934152,25,333934152
25.383934153,25,383934153
25.433934154,25,433934154
25.483934155,25,483934155
25.533934155,25,533934155
25.583934156,25,583934156
25.633934157,25,633934157
25.683934158,25,683934158
25.733934158,25,733934158
25.783934159,25,783934159
25.83393416,25,833934160
25.883934161,25,883934161
25.933934161,25,933934161
25.933934161,25,983934162
26.033934163,26,33934163
26.083934164,26,83934164
26.133934164,26,133934164
26.183934165,26,183934165
26.233934166,26,233934166
26.283934167,26,283934167
26.333934167,26,333934167
26.383934168,26,383934168
26.433934169,26,433934169
26.48393417,26,483934170
26.53393417,26,533934170
26.53393417,26,583934171
26.633934172,26,633934172
26.683934173,26,683934173
26.733934173,26,733934173
26.783934174,26,783934174
26.833934175,26,833934175
26.883934176,26,883934176
26.933934176,26,933934176
26.933934176,26,983934177
26.983934177000002,27,33934178
27.033934178,27,83934179
27.133934179,27,133934179
27.18393418,27,183934180
27.233934181,27,233934181
27.233934181,27,283934182
27.333934182,27,333934182
27.383934183,27,383934183
27.433934184,27,433934184
27.483934185,27,483934185
27.533934185,27,533934185
27.583934186,27,583934186
27.583934186,27,633934187
27.683934187,27,683934187
27.683934187,27,733934188
27.783934189,27,783934189
27.83393419,27,833934190
27.88393419,27,883934190
27.933934191,27,933934191
27.983934192,27,983934192
28.033934193,28,33934193
28.083934193,28,83934193
28.133934194,28,133934194
28.183934195,28,183934195
28.233934196,28,233934196
28.283934196,28,283934196
28.333934197,28,333934197
28.383934198,28,383934198
28.383934198,28,433934199
28.483934199,28,483934199
28.5339342,28,533934200
28.5339342,28,583934201
28.633934202,28,633934202
28.683934202,28,683934202
28.733934203,28,733934203
28.733934203,28,783934204
