Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
89.652401614,1,89,652401614,ego_vehicle/lane_invasion,1
89.702401614,2,89,702401614,ego_vehicle/lane_invasion,1
89.902401617,3,89,902401617,ego_vehicle/lane_invasion,1
90.002401619,4,90,2401619,ego_vehicle/lane_invasion,1
90.10240162,5,90,102401620,ego_vehicle/lane_invasion,1
90.402401625,6,90,402401625,ego_vehicle/lane_invasion,1
90.452401625,7,90,452401625,ego_vehicle/lane_invasion,1
90.702401629,8,90,702401629,ego_vehicle/lane_invasion,1
90.952401633,9,90,952401633,ego_vehicle/lane_invasion,1
96.002401708,10,96,2401708,ego_vehicle/lane_invasion,1
96.202401711,11,96,202401711,ego_vehicle/lane_invasion,1
96.352401713,12,96,352401713,ego_vehicle/lane_invasion,1
96.402401714,13,96,402401714,ego_vehicle/lane_invasion,1
96.452401715,14,96,452401715,ego_vehicle/lane_invasion,1
96.552401716,15,96,552401716,ego_vehicle/lane_invasion,1
96.602401717,16,96,602401717,ego_vehicle/lane_invasion,1
96.952401722,17,96,952401722,ego_vehicle/lane_invasion,1
97.002401723,18,97,2401723,ego_vehicle/lane_invasion,2,1
97.102401725,19,97,102401725,ego_vehicle/lane_invasion,2,1
97.852401736,20,97,852401736,ego_vehicle/lane_invasion,2
97.902401736,21,97,902401736,ego_vehicle/lane_invasion,2
106.702401868,22,106,702401868,ego_vehicle/lane_invasion,1,1
106.752401868,23,106,752401868,ego_vehicle/lane_invasion,1
107.002401872,24,107,2401872,ego_vehicle/lane_invasion,1
107.352401877,25,107,352401877,ego_vehicle/lane_invasion,1
107.402401878,26,107,402401878,ego_vehicle/lane_invasion,1
107.802401884,27,107,802401884,ego_vehicle/lane_invasion,1
107.852401885,28,107,852401885,ego_vehicle/lane_invasion,1
108.352401892,29,108,352401892,ego_vehicle/lane_invasion,1
108.9024019,30,108,902401900,ego_vehicle/lane_invasion,1
109.352401907,31,109,352401907,ego_vehicle/lane_invasion,1
109.452401909,32,109,452401909,ego_vehicle/lane_invasion,1
109.852401915,33,109,852401915,ego_vehicle/lane_invasion,1
