Time,clock.secs,clock.nsecs
23.381666636,23,381666636
23.431666636,23,431666636
23.481666637,23,481666637
23.531666638,23,531666638
23.581666639,23,581666639
23.631666639,23,631666639
23.68166664,23,681666640
23.68166664,23,731666641
23.781666642,23,781666642
23.831666642000002,23,831666642
23.881666643,23,881666643
23.931666644,23,931666644
23.981666645,23,981666645
24.031666645,24,31666645
24.081666646,24,81666646
24.131666647,24,131666647
24.131666647,24,181666648
24.231666648,24,231666648
24.281666649,24,281666649
24.33166665,24,331666650
24.38166665,24,381666650
24.431666651,24,431666651
24.481666652,24,481666652
24.531666653,24,531666653
24.531666653,24,581666653
24.631666654,24,631666654
24.681666655,24,681666655
24.681666655,24,731666656
24.781666656,24,781666656
24.831666657,24,831666657
24.881666658,24,881666658
24.931666659,24,931666659
24.981666659,24,981666659
25.03166666,25,31666660
25.081666661,25,81666661
25.131666662,25,131666662
25.181666662,25,181666662
25.231666663,25,231666663
25.281666664,25,281666664
25.331666665,25,331666665
25.381666665,25,381666665
25.381666665,25,431666666
25.481666667,25,481666667
25.531666668,25,531666668
25.581666668,25,581666668
25.631666669,25,631666669
25.68166667,25,681666670
25.731666671,25,731666671
25.781666671,25,781666671
25.831666672,25,831666672
25.881666673,25,881666673
25.931666674,25,931666674
25.981666674,25,981666674
26.031666675,26,31666675
26.081666676,26,81666676
26.131666677,26,131666677
26.181666677,26,181666677
26.231666678,26,231666678
26.231666678,26,281666679
26.33166668,26,331666680
26.38166668,26,381666680
26.431666681,26,431666681
26.431666681,26,481666682
26.531666683,26,531666683
26.581666683,26,581666683
26.631666684,26,631666684
26.631666684,26,681666685
26.731666686,26,731666686
26.781666686,26,781666686
26.831666687,26,831666687
26.881666688,26,881666688
26.931666688,26,931666688
26.981666689,26,981666689
26.981666689,27,31666690
27.081666691,27,81666691
27.131666691,27,131666691
27.181666692,27,181666692
27.231666693,27,231666693
27.281666694,27,281666694
27.331666694,27,331666694
27.381666695,27,381666695
27.431666696,27,431666696
27.481666697,27,481666697
27.531666697,27,531666697
27.581666698,27,581666698
27.631666699,27,631666699
27.6816667,27,681666700
27.7316667,27,731666700
27.781666701,27,781666701
27.831666702,27,831666702
27.881666703,27,881666703
27.931666703,27,931666703
27.981666704,27,981666704
