Time,clock.secs,clock.nsecs
13.706781569,13,706781569
13.75678157,13,756781570
13.806781571,13,806781571
13.806781571,13,856781572
13.856781572,13,906781572
13.956781573,13,956781573
14.006781574,14,6781574
14.056781575,14,56781575
14.106781575,14,106781575
14.156781576,14,156781576
14.206781577,14,206781577
14.256781578,14,256781578
14.306781578,14,306781578
14.356781579,14,356781579
14.40678158,14,406781580
14.456781581,14,456781581
14.506781581,14,506781581
14.556781582,14,556781582
14.606781583,14,606781583
14.656781584,14,656781584
14.706781584,14,706781584
14.756781585,14,756781585
14.806781586,14,806781586
14.856781587,14,856781587
14.906781587,14,906781587
14.956781588,14,956781588
15.006781589,15,6781589
15.056781589,15,56781589
15.10678159,15,106781590
15.156781591,15,156781591
15.206781592,15,206781592
15.256781592,15,256781592
15.306781593,15,306781593
15.356781594,15,356781594
15.406781595,15,406781595
15.456781595,15,456781595
15.506781596,15,506781596
15.556781597,15,556781597
15.606781598,15,606781598
15.656781598,15,656781598
15.706781599,15,706781599
15.7567816,15,756781600
15.806781601,15,806781601
15.856781601,15,856781601
15.906781602,15,906781602
15.956781603,15,956781603
16.006781604,16,6781604
16.006781604,16,56781604
16.106781605,16,106781605
16.156781606,16,156781606
16.206781607,16,206781607
16.256781607,16,256781607
16.306781608,16,306781608
16.356781609,16,356781609
16.40678161,16,406781610
16.45678161,16,456781610
16.506781611,16,506781611
16.556781612,16,556781612
16.556781612,16,606781613
16.606781613,16,656781613
16.656781613,16,706781614
16.756781615,16,756781615
16.806781616,16,806781616
16.856781616,16,856781616
16.906781617,16,906781617
16.956781618,16,956781618
17.006781619,17,6781619
17.056781619,17,56781619
17.10678162,17,106781620
17.10678162,17,156781621
17.156781621,17,206781622
17.256781622,17,256781622
17.306781623,17,306781623
17.356781624,17,356781624
17.406781625,17,406781625
17.456781625,17,456781625
17.506781626,17,506781626
17.556781627,17,556781627
17.606781627,17,606781627
17.656781628,17,656781628
17.706781629,17,706781629
17.75678163,17,756781630
17.80678163,17,806781630
17.856781631,17,856781631
17.856781631,17,906781632
17.956781633,17,956781633
18.006781633,18,6781633
18.056781634,18,56781634
18.106781635,18,106781635
18.156781636,18,156781636
18.206781636,18,206781636
18.256781637,18,256781637
18.306781638,18,306781638
18.356781639,18,356781639
18.406781639,18,406781639
18.45678164,18,456781640
18.506781641,18,506781641
18.556781642,18,556781642
18.606781642,18,606781642
18.656781643,18,656781643
18.706781644,18,706781644
18.756781645,18,756781645
18.806781645,18,806781645
18.856781646,18,856781646
18.906781647,18,906781647
18.956781648,18,956781648
19.006781648,19,6781648
19.056781649,19,56781649
19.10678165,19,106781650
19.156781651,19,156781651
19.206781651,19,206781651
19.206781651,19,256781652
19.306781653,19,306781653
19.356781654,19,356781654
19.406781654,19,406781654
19.456781655,19,456781655
19.506781656,19,506781656
19.556781657,19,556781657
19.606781657,19,606781657
19.656781658,19,656781658
19.706781659,19,706781659
19.75678166,19,756781660
19.80678166,19,806781660
19.856781661,19,856781661
19.906781662,19,906781662
19.956781663,19,956781663
20.006781663,20,6781663
20.056781664,20,56781664
20.106781665,20,106781665
20.156781665,20,156781665
20.206781666,20,206781666
20.256781667,20,256781667
20.306781668,20,306781668
20.356781668,20,356781668
20.406781669,20,406781669
20.45678167,20,456781670
20.506781671,20,506781671
20.556781671,20,556781671
20.606781672,20,606781672
20.656781673,20,656781673
20.706781674,20,706781674
20.756781674,20,756781674
20.806781675,20,806781675
20.856781676,20,856781676
20.906781677,20,906781677
20.956781677,20,956781677
21.006781678,21,6781678
21.056781679,21,56781679
21.10678168,21,106781680
21.15678168,21,156781680
21.206781681,21,206781681
21.256781682,21,256781682
21.306781683,21,306781683
21.306781683,21,356781683
21.406781684,21,406781684
21.456781685,21,456781685
21.506781686,21,506781686
21.556781686,21,556781686
21.606781687,21,606781687
21.656781688,21,656781688
21.706781689,21,706781689
21.756781689,21,756781689
21.80678169,21,806781690
21.856781691,21,856781691
21.906781692,21,906781692
21.956781692,21,956781692
22.006781693,22,6781693
22.056781694,22,56781694
22.106781695,22,106781695
22.156781695,22,156781695
22.206781696,22,206781696
22.256781697,22,256781697
22.306781698,22,306781698
22.356781698,22,356781698
22.406781699,22,406781699
22.4567817,22,456781700
22.5067817,22,506781700
22.556781701,22,556781701
22.606781702,22,606781702
22.656781703,22,656781703
22.706781703,22,706781703
22.756781704,22,756781704
22.806781705,22,806781705
22.856781706,22,856781706
22.906781706,22,906781706
22.956781707,22,956781707
23.006781708,23,6781708
23.056781709,23,56781709
23.106781709,23,106781709
23.15678171,23,156781710
23.206781711,23,206781711
23.256781712,23,256781712
23.306781712,23,306781712
23.356781713,23,356781713
23.406781714,23,406781714
23.456781715,23,456781715
23.506781715,23,506781715
23.556781716,23,556781716
23.606781717,23,606781717
23.656781718,23,656781718
23.706781718,23,706781718
23.756781719,23,756781719
23.80678172,23,806781720
23.856781721,23,856781721
23.906781721,23,906781721
23.906781721,23,956781722
24.006781723,24,6781723
24.056781724,24,56781724
24.106781724,24,106781724
24.106781724,24,156781725
24.206781726,24,206781726
24.256781727,24,256781727
24.306781727,24,306781727
24.356781728,24,356781728
24.406781729,24,406781729
24.45678173,24,456781730
24.50678173,24,506781730
24.556781731,24,556781731
24.606781732,24,606781732
24.656781733,24,656781733
24.706781733,24,706781733
24.756781734,24,756781734
24.806781735,24,806781735
24.856781736,24,856781736
24.906781736,24,906781736
24.956781737,24,956781737
25.006781738,25,6781738
25.056781738,25,56781738
25.106781739,25,106781739
25.15678174,25,156781740
25.206781741,25,206781741
25.256781741,25,256781741
25.306781742,25,306781742
25.356781743,25,356781743
25.406781744,25,406781744
25.456781744,25,456781744
25.506781745,25,506781745
25.506781745,25,556781746
25.606781747,25,606781747
25.656781747,25,656781747
25.706781748,25,706781748
25.756781749,25,756781749
25.80678175,25,806781750
25.85678175,25,856781750
25.906781751,25,906781751
25.956781752,25,956781752
26.006781753,26,6781753
26.056781753,26,56781753
26.106781754,26,106781754
26.156781755,26,156781755
26.206781756,26,206781756
26.256781756,26,256781756
26.306781757,26,306781757
26.356781758,26,356781758
26.406781759,26,406781759
26.456781759,26,456781759
26.50678176,26,506781760
26.556781761,26,556781761
26.606781762,26,606781762
26.606781762,26,656781762
26.706781763,26,706781763
26.706781763,26,756781764
26.806781765,26,806781765
26.856781765,26,856781765
26.906781766,26,906781766
26.956781767,26,956781767
27.006781768,27,6781768
27.056781768,27,56781768
27.106781769,27,106781769
27.15678177,27,156781770
27.206781771,27,206781771
27.256781771,27,256781771
27.306781772,27,306781772
27.356781773,27,356781773
27.406781774,27,406781774
27.456781774,27,456781774
27.506781775,27,506781775
27.556781776,27,556781776
27.606781776,27,606781776
27.656781777,27,656781777
27.706781778,27,706781778
27.756781779,27,756781779
27.756781779,27,806781779
27.85678178,27,856781780
27.906781781,27,906781781
27.956781782,27,956781782
28.006781782,28,6781782
28.006781782,28,56781783
28.106781784,28,106781784
28.156781785,28,156781785
28.206781785,28,206781785
28.256781786,28,256781786
28.306781787,28,306781787
28.356781788,28,356781788
28.406781788,28,406781788
28.456781789,28,456781789
28.50678179,28,506781790
28.556781791,28,556781791
28.606781791,28,606781791
28.656781792,28,656781792
28.706781793,28,706781793
28.756781794,28,756781794
28.756781794,28,806781794
28.856781795,28,856781795
28.906781796,28,906781796
28.956781797,28,956781797
29.006781797,29,6781797
29.006781797,29,56781798
29.106781799,29,106781799
29.1567818,29,156781800
29.2067818,29,206781800
29.256781801,29,256781801
29.306781802,29,306781802
29.356781803,29,356781803
29.406781803,29,406781803
29.456781804,29,456781804
29.456781804,29,506781805
29.556781806,29,556781806
29.556781806,29,606781806
29.606781806,29,656781807
29.706781808,29,706781808
29.756781809,29,756781809
29.806781809,29,806781809
29.85678181,29,856781810
29.906781811000002,29,906781811
29.956781812,29,956781812
30.006781812,30,6781812
30.056781813,30,56781813
30.106781814,30,106781814
30.156781814,30,156781814
30.206781815,30,206781815
30.256781816,30,256781816
30.306781817,30,306781817
30.356781817,30,356781817
30.406781818,30,406781818
30.456781819,30,456781819
30.50678182,30,506781820
30.50678182,30,556781820
30.606781821,30,606781821
30.656781822,30,656781822
30.706781823,30,706781823
30.756781823,30,756781823
30.806781824,30,806781824
30.856781825,30,856781825
30.906781826,30,906781826
30.956781826,30,956781826
31.006781827,31,6781827
31.056781828,31,56781828
31.106781829,31,106781829
31.156781829,31,156781829
31.20678183,31,206781830
31.256781831,31,256781831
31.306781832,31,306781832
31.306781832,31,356781832
31.406781833,31,406781833
31.456781834,31,456781834
31.456781834,31,506781835
31.556781835,31,556781835
31.606781836,31,606781836
31.656781837,31,656781837
31.706781838,31,706781838
31.756781838,31,756781838
31.806781839,31,806781839
31.85678184,31,856781840
31.906781841,31,906781841
31.956781841,31,956781841
32.006781842,32,6781842
32.056781843,32,56781843
32.056781843,32,106781844
32.156781844,32,156781844
32.206781845,32,206781845
32.256781846,32,256781846
32.306781847,32,306781847
32.356781847,32,356781847
32.406781848,32,406781848
32.456781849,32,456781849
32.50678185,32,506781850
32.55678185,32,556781850
32.606781851,32,606781851
32.656781852,32,656781852
32.706781852,32,706781852
32.756781853,32,756781853
32.806781854,32,806781854
32.856781855,32,856781855
32.906781855,32,906781855
32.956781856,32,956781856
33.006781857,33,6781857
33.056781858,33,56781858
33.106781858,33,106781858
33.156781859,33,156781859
33.20678186,33,206781860
33.256781861,33,256781861
33.306781861,33,306781861
33.306781861,33,356781862
33.406781863,33,406781863
33.456781864,33,456781864
33.506781864,33,506781864
33.556781865,33,556781865
33.606781866,33,606781866
33.656781867,33,656781867
33.706781867,33,706781867
33.756781868,33,756781868
33.806781869,33,806781869
33.85678187,33,856781870
33.90678187,33,906781870
33.956781871,33,956781871
34.006781872,34,6781872
34.056781873,34,56781873
34.106781873,34,106781873
34.156781874,34,156781874
34.206781875,34,206781875
34.256781876,34,256781876
34.306781876,34,306781876
34.356781877,34,356781877
34.406781878,34,406781878
34.456781879,34,456781879
34.506781879,34,506781879
34.55678188,34,556781880
34.606781881,34,606781881
34.656781882,34,656781882
34.706781882,34,706781882
34.756781883,34,756781883
34.806781884,34,806781884
34.856781885,34,856781885
34.856781885,34,906781885
34.956781886,34,956781886
35.006781887,35,6781887
35.056781888,35,56781888
35.106781888,35,106781888
35.156781889,35,156781889
35.20678189,35,206781890
35.25678189,35,256781890
35.306781891,35,306781891
35.356781892,35,356781892
35.406781893,35,406781893
35.456781893,35,456781893
35.506781894,35,506781894
35.556781895,35,556781895
35.606781896,35,606781896
35.656781896,35,656781896
35.706781897,35,706781897
35.756781898,35,756781898
35.806781899,35,806781899
35.856781899,35,856781899
35.9067819,35,906781900
35.956781901,35,956781901
36.006781902,36,6781902
36.006781902,36,56781902
36.106781903,36,106781903
36.156781904,36,156781904
36.206781905,36,206781905
36.256781905,36,256781905
36.306781906,36,306781906
36.356781907,36,356781907
36.406781908,36,406781908
36.456781908,36,456781908
36.506781909,36,506781909
36.55678191,36,556781910
36.606781911,36,606781911
36.656781911,36,656781911
36.706781912,36,706781912
36.756781913,36,756781913
36.806781914,36,806781914
36.856781914,36,856781914
36.906781915,36,906781915
36.956781916,36,956781916
37.006781917,37,6781917
37.056781917,37,56781917
37.106781918,37,106781918
37.156781919,37,156781919
37.20678192,37,206781920
37.25678192,37,256781920
37.306781921,37,306781921
37.356781922,37,356781922
37.406781923,37,406781923
37.456781923,37,456781923
37.506781924,37,506781924
37.556781925,37,556781925
37.606781926,37,606781926
37.606781926,37,656781926
37.706781927,37,706781927
37.756781928,37,756781928
37.806781928,37,806781928
37.806781928,37,856781929
37.90678193,37,906781930
37.956781931,37,956781931
38.006781931,38,6781931
38.056781932,38,56781932
38.106781933,38,106781933
38.156781934,38,156781934
38.206781934,38,206781934
38.206781934,38,256781935
38.306781936,38,306781936
38.356781937,38,356781937
38.406781937,38,406781937
38.456781938,38,456781938
38.506781939,38,506781939
38.55678194,38,556781940
38.60678194,38,606781940
38.656781941,38,656781941
38.706781942,38,706781942
38.706781942,38,756781943
38.806781943,38,806781943
38.856781944,38,856781944
38.906781945,38,906781945
38.956781946,38,956781946
39.006781946,39,6781946
39.056781947,39,56781947
39.106781948,39,106781948
39.156781949,39,156781949
39.206781949,39,206781949
39.25678195,39,256781950
39.306781951,39,306781951
39.356781952,39,356781952
39.406781952,39,406781952
39.456781953,39,456781953
39.506781954,39,506781954
39.556781955,39,556781955
39.606781955,39,606781955
39.656781956,39,656781956
39.706781957,39,706781957
39.756781958,39,756781958
39.806781958,39,806781958
39.856781959,39,856781959
39.90678196,39,906781960
39.956781961,39,956781961
40.006781961,40,6781961
40.056781962,40,56781962
40.106781963,40,106781963
40.156781964,40,156781964
40.206781964,40,206781964
40.256781965,40,256781965
40.306781966,40,306781966
40.356781966,40,356781966
40.406781967,40,406781967
40.456781968,40,456781968
40.506781969,40,506781969
40.556781969,40,556781969
40.60678197,40,606781970
40.656781971,40,656781971
40.706781972,40,706781972
40.756781972,40,756781972
40.806781973,40,806781973
40.856781974,40,856781974
40.906781975,40,906781975
40.956781975,40,956781975
41.006781976,41,6781976
41.056781977,41,56781977
41.106781978,41,106781978
41.156781978,41,156781978
41.206781979,41,206781979
41.25678198,41,256781980
41.306781981,41,306781981
41.356781981,41,356781981
41.406781982,41,406781982
41.456781983,41,456781983
41.506781984,41,506781984
41.556781984,41,556781984
41.606781985,41,606781985
41.656781986,41,656781986
41.706781987,41,706781987
41.756781987,41,756781987
41.806781988,41,806781988
41.856781989,41,856781989
41.90678199,41,906781990
41.95678199,41,956781990
42.006781991,42,6781991
42.056781992,42,56781992
42.106781993,42,106781993
42.156781993,42,156781993
42.206781994,42,206781994
42.256781995,42,256781995
42.306781996,42,306781996
42.356781996,42,356781996
42.406781997,42,406781997
42.456781998,42,456781998
42.506781999,42,506781999
42.556781999,42,556781999
42.606782,42,606782000
42.656782001,42,656782001
42.706782002,42,706782002
42.756782002,42,756782002
42.806782003,42,806782003
42.806782003,42,856782004
42.906782004,42,906782004
42.956782005,42,956782005
43.006782006,43,6782006
43.056782007,43,56782007
43.106782007,43,106782007
43.156782008,43,156782008
43.206782009,43,206782009
43.25678201,43,256782010
43.30678201,43,306782010
43.356782011,43,356782011
43.406782012,43,406782012
43.456782013,43,456782013
43.506782013,43,506782013
43.556782014,43,556782014
43.606782015,43,606782015
43.656782016,43,656782016
43.706782016,43,706782016
43.756782017,43,756782017
43.806782018,43,806782018
43.856782019,43,856782019
43.906782019,43,906782019
43.95678202,43,956782020
43.95678202,44,6782021
44.056782022,44,56782022
44.106782022,44,106782022
44.156782023,44,156782023
44.206782024,44,206782024
44.206782024,44,256782025
44.306782025,44,306782025
44.356782026,44,356782026
44.406782027,44,406782027
44.456782028,44,456782028
44.506782028,44,506782028
44.556782029,44,556782029
44.60678203,44,606782030
44.656782031,44,656782031
44.706782031,44,706782031
44.756782032,44,756782032
44.806782033,44,806782033
44.856782034,44,856782034
44.906782034,44,906782034
44.956782035,44,956782035
44.956782035,45,6782036
45.056782037,45,56782037
45.106782037,45,106782037
45.156782038,45,156782038
45.206782039,45,206782039
45.256782039,45,256782039
45.30678204,45,306782040
45.30678204,45,356782041
